sense,sentence,centroid_cs
loss.n.02,It was shown that by proper anode design the net energy loss of the arc to the anode could be reduced to approximately 15 % of the total arc energy A detailed energy balance of the anode was established .,0.911530754093136
loss.n.02,"An attempt to improve the life of the anodes or the efficiency of the plasma generators must , therefore , aim at a reduction of the anode loss .",0.8410942483324297
loss.n.02,In this design the anode holder is water cooled and the heat losses by conduction from the anode were determined by measuring the temperature rise of the coolant .,0.8499441440309622
loss.n.02,The heat losses of the holder were to be reduced as far as possible and they should be such that an accurate heat balance can be made .,0.8344047948908678
loss.n.02,The total heat loss through the anode holder included also the heat conducted through the base of the cylindrical piece into the adjacent metal parts .,0.893890554393547
loss.n.02,The radiation loss from the anode surface was computed according to **f where **f is the mean of the fourth powers of the temperatures **f and **f calculated analogously to equation ( 1 ) .,0.8897680676853558
loss.n.02,Thermogravimetric analysis showed a weight loss of 1.8 % centered at 337 ` C and another weight loss of 10.8 % at 463 ` C .,0.8524168492444809
loss.n.02,Thermogravimetric analysis showed a weight loss of 1.8 % centered at 337 ` C and another weight loss of 10.8 % at 463 ` C .,0.8524168492444809
loss.n.02,The expected weight loss for **f going to **f and **f is 10.6 % .,0.8322724963213403
loss.n.02,"However , **f adsorbs water from the atmosphere and this may account for the low chromium analysis and high total weight loss .",0.8885131256079942
loss.n.02,"Such swollen fibers were deeply eosinophilic , contained a few pyknotic nuclei , and showed loss of cross striations , obliteration of myofibrils , and prominent vacuolization .",0.7286084252075823
loss.n.02,"In other studies , loss of differentiation in previously established conditioned reflexes resulted from repeated convulsive ( metrazol ) treatments , suggesting a fundamental disturbance in the balance between excitatory and inhibitory cerebral processes .",0.7468894549912579
loss.n.01,He nailed it for a yard loss '' .,0.5981906061603195
loss.n.01,"The weekly loss is partly counterbalanced by 500 arrivals each week from West Germany , but the hard truth , says Crossman , is that `` The closing off of East Berlin without interference from the West and with the use only of East German , as distinct from Russian , troops was a major Communist victory , which dealt West Berlin a deadly , possibly a fatal , blow .",0.8129885246200818
loss.n.01,"Since there is a continual loss of micrometeoritic material in space because of the radiation effects , there must be a continual replenishment : otherwise , micrometeorites would have disappeared from interplanetary space .",0.8435777820243617
loss.n.01,Even the loss of hotel business to the outskirt 's motel has been relatively painless ; the hotel-motel demarcation is becoming harder to find every year .,0.8018579289464179
loss.n.01,A skimming device at the effluent weir prevented loss of most of these light solids .,0.8267010843702084
loss.n.01,"Above all , disabuse yourselves of any thought that I propose to vent moral indignation at your rifling my residence , to whimper over the loss of a few objets d'art , or to shame you into rectitude .",0.7812516187986575
loss.n.01,"Increases gains , improves feed efficiency , and reduces losses from bacterial infections listed under `` how to feed '' section .",0.8677339097484267
loss.n.01,"Prevention of bacterial pneumonia , shipping fever , as an aid in reduction of losses due to respiratory infections ( infectious rhinotracheitis - shipping fever complex ) .",0.846240459876417
loss.n.01,"For cows , feed providing an intake of 0.1 milligram of Aureomycin per pound of body weight daily aids in the reduction of bacterial diarrhea , in the prevention of foot rot , and in the reduction of losses due to respiratory infection ( infectious rhinotracheitis - shipping fever complex ) .",0.8527640493013554
loss.n.01,"As an aid in reducing losses due to enterotoxemia ( overeating disease ) , feed a complete ration containing not less than 20 and not more than 50 grams of Aureomycin per ton .",0.8505274345736464
loss.n.01,"Reduces losses from stomach , hookworm , and nodular worms by interfering with reproduction of the female worm by reducing the number of eggs laid and essentially rendering all laid eggs sterile .",0.8319381462990759
loss.n.01,He cannot leave the farm to take work in another locality on short notice ; such a move may mean a loss of capital .,0.8098461193872166
loss.n.01,"Sickness or loss of some of the livestock may cut into the owner 's earnings , even into his capital .",0.8126928976569624
loss.n.01,"Statistically this has represented a loss to the nation , although one must admit that in an individual case the decision in retrospect may have been a wise one .",0.7925105026110734
loss.n.01,"It argued , inter alia , that a divestiture order would severely depress the market value of the stock of both General Motors and du Pont , with consequent serious loss and hardship to hundreds of thousands of innocent investors , among them thousands of small trusts and charitable institutions ; that there would be a similar decline in the market values of other automotive and chemical stocks , with similar losses to the stockholders of those companies ; that the tremendous volume of General Motors stock hanging over the market for ten years would hamper the efforts of General Motors and other automobile manufacturers to raise equity capital ; and that all this would have a serious adverse effect on the entire stock market and on general business activity .",0.8315342693811797
loss.n.01,"It argued , inter alia , that a divestiture order would severely depress the market value of the stock of both General Motors and du Pont , with consequent serious loss and hardship to hundreds of thousands of innocent investors , among them thousands of small trusts and charitable institutions ; that there would be a similar decline in the market values of other automotive and chemical stocks , with similar losses to the stockholders of those companies ; that the tremendous volume of General Motors stock hanging over the market for ten years would hamper the efforts of General Motors and other automobile manufacturers to raise equity capital ; and that all this would have a serious adverse effect on the entire stock market and on general business activity .",0.8315342693811797
