sense,sentence,centroid_cs
lose.v.02,Paradise lost to the alleged water needs of Texas ' big cities Thursday .,0.7186159351043742
lose.v.02,"His statistical record that year , when Texas won only one game and lost nine , was far from impressive : he carried the ball three times for a net gain of 10 yards , punted once for 39 yards and caught one pass for 13 yards .",0.7412147139182772
lose.v.02,"We 'd be losing at halftime to a good team and Hartweger would say , ' Do n't worry , Coach - we 'll get 'em all right '' ' .",0.8111812325885448
lose.v.02,The local Istiqlal and U.M.C.I.A. offices did not campaign and lost heavily .,0.7957528943361328
lose.v.02,"You know the law : if you lose the debate after accepting a challenge , you will be banished '' !",0.8107562917741458
lose.v.02,"Otherwise , she would be baited into a tantrum - teased and provoked until she lost control of herself , and thus lost still another battle in the maddening struggle of Tom Lord Vs. Joyce Lakewood .",0.60751092198961
lose.v.02,"The liberal pressure bloc ( which coyly masquerades under the name Democratic Study Group ) had fought the committee before , and had always lost .",0.8182427925756075
lose.v.02,"As the battle raged in the cloakrooms and caucuses , it became clear that Judge Smith could lose .",0.7840080565132013
lose.v.02,But in the prospect of winning the battle loomed the specter of losing a costlier war .,0.803481315583818
lose.v.02,"I 'll never forget one time I struck out three times , dropped a fly ball , and we lost the game .",0.7775171447669195
lose.v.02,"In 1920 , as the startling news that the 1919 White Sox had conspired to lose the World Series leaked out , fans grew disillusioned and disinterested in baseball .",0.8228542343321205
lose.v.02,"He lost , but settled for a cake in the shape of a fedora .",0.7098120041802425
lose.v.02,Mr. Mitchell had an excuse for losing - the steel strike lasted much longer than he anticipated .,0.812090153362396
lose.v.02,"The Indochina struggle was a war to stay out of in 1954 , when Gen. Ridgway estimated it would take a minimum of 10 to 15 divisions at the outset to win a war the French were losing .",0.8024011443965146
lose.v.02,We wish the President would remember that `` fiscal responsibility '' was the battle-cry of the party that lost the election .,0.814593918792809
lose.v.02,`` U. S. Flier loses Plea .,0.7126305677436077
lose.v.01,"Contemplating these posthumous punishments , Stalin should not lose all hope .",0.7411990046510287
lose.v.01,"When , therefore , it turned its attention to the concrete entities with which popular imagination had peopled the world of spirit , these entities soon lost whatever status they had enjoyed as actual elements of external reality .",0.8107872858112862
lose.v.01,"He does not mean to say that Adam lost the similitude of God and his immortality through the fall ; for he was created not exactly immortal , nor yet exactly mortal , but capable of immortality as well as of mortality .",0.8430978474684764
lose.v.01,"Without losing the distinctive undertow of Brahmsian rhythm , the pacing is firm and the over-all performance has a tightly knit quality that makes for maximum cumulative effect .",0.7196174832774238
lose.v.01,"Typically , Sarah Gross and Mr. A both lost more than their money as the result of their experiences with their Cleveland quacks .",0.7699178681274856
lose.v.01,"`` That 's a lot of hard earned money to lose '' , he says today .",0.7202150647494018
lose.v.01,"Yet nationalism has lost few of its charms for the historian , writer or man in the street .",0.8257429988527344
lose.v.01,"Related to written literature , and often remaining temporarily frozen in written form , it loses its vitality when transcribed or removed from its oral existence .",0.7447624667727726
lose.v.01,"He is a widower , his three children are dead , he has no one left on earth ; also he is a drunk , and has lost his job on that account .",0.8061774824645135
lose.v.01,"As the historic processes of modernization gradually gain momentum , their cohesion will be threatened by divisive forces , the gaps between rulers and subjects , town and country , will widen ; new aspirants for power will emerge whose ambitions far exceed their competence ; old rulers may lose their nerve and their sense of direction .",0.8258445755549224
lose.v.01,"In such a case , any attitude would be as fitting or unfitting as any other , which means that the notion of fitness has lost all point .",0.771709916149667
lose.v.01,"The figure leapt from the box , almost lost its balance , the flag draped there tore in the air , the figure landed on its left leg , fell on its hands , and pressed itself up .",0.6511252931020349
lose.v.01,"In the audience a man named Ferguson lost his head and tried to rescue a little girl from the mob , on the same principle which had led Miss Harris to demand water .",0.7435167560748408
lose.v.01,"As usual , Mrs. Lincoln had lost her head , but nobody blamed her for doing so now .",0.7563139152577218
lose.v.01,"She lost not a second , picking herself up and continuing her pilgrimage to Laura .",0.6389118125587738
lose.v.01,"They had already lost most of their corn , she thought .",0.7716246055075561
lose.v.01,"I 've lost faith , Styka .",0.7463007830183659
lose.v.01,Pat had been worried as hell ever since she 'd lost her job on that fashion magazine .,0.738324070797168
lose.v.01,"He was not going to lose the mission by default , and whatever reason Kayabashi had for bringing his little sight-seeing group to the mission , he was going to be in for a surprise .",0.7645343285761839
lose.v.01,"Solid , settled , lost .",0.6644173004550424
lose.v.01,He 'd not care about getting waked so he could give up some of his whisky to a slit of a kid and maybe lose one of his hiding places in the bargain .,0.8112417515409764
lose.v.01,"The doctor 's wits had not left him , however , for all his sixty-eight years , and the wails were almost immediately lost in the sound of water rushing out from the showerhead .",0.5633017272486992
lose.v.01,"Her friends and professional associates would sympathize with her , not because she had lost a beloved husband , but because she had been married to a man who thought unrealistically .",0.7316064658701884
lose.v.01,He was losing patience again .,0.6189973650563906
lose.v.01,It was a face that had lost its childlike softness and was beginning to fold within its fragile features a harshness that belied the lyric lines of its contours .,0.7372971589247517
lose.v.01,Prokofieff was able to adjust his creative personality to a swiftly changing world without losing his particular force and direction .,0.8183032383749526
lose.v.01,"One could also add to these analogies that steel loses its magnetism by heat , which proves that steel becomes a better conductor through a rise in temperature , just as electrical bodies do .",0.7801129645439174
lose.v.01,The farm may be an additional burden if the main job is lost .,0.7836231913812672
lose.v.01,"Part-time farming gives a measure of security if the regular job is lost , provided the farm is owned free of debt and furnishes enough income to meet fixed expenses and minimum living costs .",0.7865136536794224
lose.v.01,"Public relations strategists everywhere , watching the reaction of the German press , the liberal press , the lunatic fringe press , listening to their neighbors , studying interviews with men and women on the street , cried out : Too much , too much - the mind of the audience is becoming dulled , the horrors are losing their effect .",0.7335985715503648
lose.v.01,Only the vain and incurably sentimental among us will lose sleep simply because foreign peoples are not as impressed by our strength as they ought to be .,0.7028036470821487
lose.v.01,"The thing to lose sleep over is what people , having concluded that we are weaker than we are , are likely to do about it .",0.6615891430059191
lose.v.01,"With few exceptions , the major denominations are rapidly losing their hold on the central city .",0.8077944859996907
lose.v.01,"The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; moreover , residential mobility is so high in metropolitan areas that churches have to recruit constantly in their core stratum in order to survive ; they can lose higher - and lower status members from the church without collapsing , but they need adequate recruits for the core stratum in order to preserve economic integration .",0.7949695977444997
lose.v.01,It had a bucolic atmosphere that it has lost long since .,0.71075492387497
lose.v.01,"A word taken in its dictionary meaning , a photographic image of a recognizable object , the mere picturing of a `` scene '' tends to lose experiential vividness and to connote such conventional abstractions as to invite neutral reception without the incitement of value feelings .",0.7768996366154316
lose.v.01,"As long as perception is seen as composed only of isolated sense data , most of the quality and interconnectedness of existence loses its objectivity , becomes an invention of consciousness , and the result is a philosophical scepticism .",0.78375971787894
lose.v.01,The cliche loses its talismanic virtue in the light of a little history .,0.757639569774472
lose.v.01,"Here the New York Central Railroad , one of the Nation 's most important carriers , has alone lost 47.6 percent of its passengers since 1949 .",0.7492874746439837
lose.v.01,they are likely to lose dominant stress .,0.8238359794924337
lose.v.01,It lost sight of the individual almost entirely and confined itself to rules limiting the exercise of state power for reasons essentially unconnected with justice or morality save as these values might affect international relations .,0.7491059041292449
lose.v.01,"Otherwise , she would be baited into a tantrum - teased and provoked until she lost control of herself , and thus lost still another battle in the maddening struggle of Tom Lord Vs. Joyce Lakewood .",0.7143844931813994
lose.v.01,The instinct of discipline has been lost .,0.7894885478542196
lose.v.01,"And when he did , when he gave to his ship that protection necessary to preserve her honor , he knew he would lose forever the Navy to which he had dedicated his soul .",0.7739174708610597
lose.v.01,"`` Nothing to lose , either , Spencer '' .",0.5657102213006917
lose.v.01,"And you wonder if that is why the little man lost his job and his car and stayed drunk about a year before he straightened out and moved to St. Louis , where he got to be a big unhappy success .",0.7914156850663949
lose.v.01,"If he dwelt on the indignities he suffered he would lose all respect for her , and without the respect he might lose his view of her , too .",0.7955074413551776
lose.v.01,"If he dwelt on the indignities he suffered he would lose all respect for her , and without the respect he might lose his view of her , too .",0.7955074413551776
lose.v.01,Jobs would be lost and new faces would become prominent .,0.7615393464910029
lose.v.01,"Nothing that Plainfield last year had lost the Mack Truck Co. plant , he said industry will not come into this state until there is tax reform .",0.7313896769061883
lose.v.01,The suit against the union was successful and many workers lost their homes to pay off the judgment .,0.7391837764332757
lose.v.01,"Arnold Palmer , the defending champion , lost his title on the 72 nd hole after a few minutes of misfortune that left even his fellow pros gaping in disbelief .",0.7045421256140751
lose.v.01,"He did seem hasty on his second and third shots , but then there was an agonizing wait of several minutes while Coe graciously putted out , giving Palmer a chance to recover his composure , which he had quite visibly lost .",0.7344497301244587
lose.v.01,"But if anything can bring home to Mr. Khrushchev the idea that he will not really get much enjoyment from watching this Braddock-against-the-Indians contest , it will probably be the fact that SEATO forces are ready to attempt it - plus the fact that Moscow has something to lose from closing off disarmament and other bigger negotiations with Washington .",0.6184735712675569
lose.v.01,"By reducing rates as much as 60 per cent , it and its associated railroads hope to win back some of the business they have lost to truckers and barge lines .",0.7242171882623487
lose.v.01,Chancellor Adenauer 's Christian Democratic Party slipped only a little in the voting but it was enough to lose the absolute Bundestag majority it has enjoyed since 1957 .,0.7825264406257292
lose.v.01,The only real problem is to devise a plan whereby the owners of the above-water land can develop their property without the public losing its underwater land and the right to its development for public use and enjoyment .,0.7631888203681738
lose.v.01,"Some plant-location specialists take these signs to mean St. Louis county does n't want industry , and so they avoid the area , and more jobs are lost .",0.7394027546250506
lose.v.01,"The Viet Cong , the Communist rebels , may have lost their stored grain and arms factories .",0.8176338275614499
lose.v.01,"He loses now-misplaced tax collection duties , which go to the Finance Department .",0.6555768349937406
lose.v.01,"Borough Presidents , while retaining membership in the Board of Estimate , lose their housekeeping functions .",0.7585056242025232
lose.v.01,Freedom of the press was lost in Cuba because of decades of corruption and social imbalances .,0.7954184517781687
lose.v.01,In such conditions all freedoms are lost .,0.7947641270332164
lose.v.01,"Walking along the lake before breakfast , Mr. Podger had seen the feather , and the bird that had lost it in flight .",0.7660243910638741
lose.v.01,"At the risk of losing my charge-a-plate at Marshall Field and Company , I would like to challenge an old and hallowed stereotype .",0.7359581417407869
lose.v.01,"But if we closed the store for a vacation , we would lose our customers to the chain stores in the next block .",0.8225435300141609
lose.v.01,In the last war Russia lost more than ten million killed and its lands and factories were devastated .,0.6908044710960511
lose.v.01,"But he painted some of the boldest and most original pictures of his time , and even after nearly half a century , the tense , tormented world he put on canvas has lost none of its fascination .",0.7822334696628875
lose.v.01,We would lose our export markets and deny ourselves the imports we need .,0.825119234311208
lose.v.01,The master 's hand has lost none of its craft .,0.8417123451833592
lose.v.01,"With curiosity and elan , he explored every inch of glen , beach and burn , once stranding himself for hours on a ledge high up a sheer seventy-foot cliff and waiting with calm faith to be rescued by Maxwell , who nearly lost his life in doing so .",0.6686906644529969
lose.v.01,"Beatie , getting no sympathy for her misfortune , soon rallies and finds that although she has lost a lover she has gained her freedom .",0.7550074552710997
lose.v.01,"Unfortunately , in our rush to beat the Russians , we have forgotten these truth-packed words of Jesus Christ : `` What shall it profit a man , if he shall gain the whole world [ that includes outer space ] , and lose his own soul ?",0.8036023951325383
lose.v.01,Gaining outer space and losing `` inner '' space is bad business according to God 's standards .,0.7529199610690365
lose.v.01,"Thus , while it remains possible that the Babylonians and / or the Pythagoreans may perhaps have had the magic square of three before the Chinese did , more definite evidence will have to turn up from the Middle East or the Classical World before China can lose her claim to the earliest known magic square by more than a thousand years .",0.7618670558428202
lose.v.01,A study of major denominational membership statistics over a twenty-year period revealed the appalling fact that nearly 40 per cent of those who joined the Church were lost to the Church within seven years .,0.7026275372761058
lose.v.01,These figures indicate that we are losing almost as many as we are receiving into membership .,0.7887498183212235
lose.v.01,But this esoteric doctrine was lost in the shuffle to acquire special powers .,0.7755763525272507
lose.v.01,`` You will lose the paper .,0.8161857363525142
lose.v.01,You may lose your life .,0.7433197688207007
lose.v.01,"Once the grains are ground , vitamin E begins to deteriorate immediately and half of it is lost by oxidation and exposure to the air within one week .",0.7352076889687377
lose.v.01,"As might be expected , girls in this situation bleed very little and perhaps not at all in the process of losing their virginity .",0.7138777404435258
lose.v.01,He can take security from the fact that the progress he has made by his gentle approach will not be lost .,0.7054258988948907
