sense,sentence,centroid_cs
see.v.05,"Irenaeus does not regard Adam and Eve merely as private individuals , but as universal human beings , who were and are all of humanity .",0.8693156225869259
see.v.05,"Present conservation practices regard wildlife , not as an expendable natural resource , but as an annual harvest to be sown and also reaped .",0.8408732254906273
see.v.05,"And she begins to regard him as savage , bestial and unworthy .",0.8570185240983765
see.v.05,The Roman Catholic natural-law tradition regards as self-evident that the primary objective purpose of the conjugal act is procreation and that the fostering of the mutual love of the spouses is the secondary and subjective end .,0.7757463472363447
see.v.05,"Intermarriage , which is generally regarded as a threat to Jewish survival , was regarded not with horror or apprehension but with a kind of mild , clinical disapproval .",0.7588480006783656
see.v.05,For better or worse we cannot regard `` imitation '' in the arts in the simple mode of classical rationalism or detached realism .,0.8575302994821578
see.v.05,"On the other hand , we cannot regard artistic invention as pure , uncaused , and unrelated to the times in which it occurs .",0.8629622145387736
see.v.05,This is in large part a code of behavior and a glossary of values : what is it that people do and should do and how one should regard it .,0.750836443927003
see.v.05,"Regarded from the outside , an action is an event or series of events occurring in the physical world ; regarded from the inside , it is the carrying into action of a certain thought .",0.6682693821900179
see.v.05,"Regarded from the outside , an action is an event or series of events occurring in the physical world ; regarded from the inside , it is the carrying into action of a certain thought .",0.6682693821900179
see.v.05,"While it is easy enough to ridicule Hawkins ' pronouncement in Pleas of the Crown from a metaphysical point of view , the concept of the `` oneness '' of a married couple may reflect an abiding belief that the communion between husband and wife is such that their actions are not always to be regarded by the criminal law as if there were no marriage .",0.7999762296116264
see.v.05,We cannot regard foreign policy as something left over after defense policy or trade policy or fiscal policy has been extracted .,0.8793971277118254
see.v.05,"But there is every reason to regard deal as a monosyllable , and because of the fact that / l / commonly has the quality of / / when it follows vowel sounds , deal seems to be a perfectly satisfactory rhyme with real .",0.851265011418359
see.v.05,The union does not regard unemployment of its own members as a matter of concern when setting its own wage policy - its concern with employment makes itself felt in pressure upon the government to maintain full employment .,0.8512674550903802
see.v.05,"First , and most obvious , was the growing nationalism and the tendency to regard the state , and the individual 's identification with the state , as transcending other ties of social solidarity .",0.884632222359144
see.v.05,"President Kennedy , in signing the relief measure into law , stressed he regarded it as an exception .",0.8283063200383026
see.v.05,Diocesan authorities generally have not regarded this as their direct responsibility .,0.8278580462592858
see.v.05,"Puritan New England regarded obesity as a flagrant symbol of intemperance , and thus a sin .",0.8242483540687532
see.v.05,"He does what he can and may and must , without regarding himself as lord of the future or , on the other hand , as covered with guilt by accident or unforeseen consequences or by results he did not `` permit '' in the sense explained .",0.7898447983279088
see.v.05,"Historians have traditionally regarded the great debates of the Seventeen Nineties as polarizing the issues of centralized vs. limited government , with Hamilton and the nationalists supporting the former and Jefferson and Madison upholding the latter position .",0.802590112335908
see.v.05,"In many societies , what we regard as corruption , favoritism , and personal influence are so accepted as consistent with the mores of officialdom and so integral a part of routine administrative practice that any attempt to force their elimination will be regarded by the local leadership as not only unwarranted but unfriendly .",0.7912032299945791
see.v.05,"With world peace constantly being threatened , most of us regard the future skeptically , and even with fear .",0.7612602596847312
see.v.05,"Thus , casework involving a limited number of interviews is still to be regarded in terms of the quality of service rendered rather than of the quantity of time expended .",0.8066227625023947
see.v.05,"`` We regard it as fair only when each party feels that what he has received is as valuable , or more valuable , than what he has given '' .",0.8336849416670237
see.v.05,"She regarded them as signs that she was nearing the glen she sought , and she was glad to at last be doing something positive in her unenunciated , undefined struggle with the mountain and its darkling inhabitants .",0.7005135732486004
see.v.05,Only at this moment - perhaps because it was before dawn and she was lying in Doaty 's bed - she found herself examining how others might regard her .,0.7192053468578111
see.v.05,"There are Spanish girls who look like Tommy Momoyama , brunettes with a Moorish hint of the Orient in their faces ; there are beauties from the Balkan states who are similarly endowed , and - back in the blessed United States - they were regarded simply as pretty women .",0.7702193800268051
involve.v.01,"Regarding Atlanta 's new million dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .",0.806531439951354
involve.v.01,"County judges , commissioners , engineers , assessors , and others who have lived in the area for a long time may have valuable knowledge regarding the site or opinions to offer from their varied professional experiences .",0.7922731128053806
involve.v.01,We stressed the reciprocal relation of these systems with respect to the autonomic somatic downward discharge as well as regarding the hypothalamic cortical discharge .,0.8293068963462878
involve.v.01,Let us now regard D as a linear operator on the subspace V .,0.5799312956626475
involve.v.01,"Even in the united states , with its freedom of religious belief and worship and its vast denominational differentiation , there is a general consensus regarding the basic Christian values .",0.8234387814098822
involve.v.01,"Furthermore , religion tends to integrate the whole range of values from the highest or ultimate values of God to the intermediary and subordinate values ; for example , those regarding material objects and pragmatic ends .",0.8463949747083868
involve.v.01,"He had gone into the Japanese navy , had been trained as an officer , had participated in one or two battles - he never went into detail regarding his military experience - and at the age of twenty-five , quite as a bolt out of the blue , he had walked into the mission as if he belonged here and had become a Christian .",0.7628148803975745
involve.v.01,"Bake and Shirl Winter , on separate telephones , could not reach him at any conceivable location in Los Angeles , nor could they secure any clear-cut information regarding his efforts .",0.7993805675702886
involve.v.01,"One species is restricted to statements which are neither explicit nor precise regarding a particular person , place , time or thing .",0.8622662719733473
involve.v.01,"The actual mean of 1.07 being about halfway between 0 of complete correlation and 2.0 of no correlation , it is evident that there is a pretty fair degree of similarity in the behavior even of particular individual items of meaning as regards long-term stem displacement .",0.7415422866571448
involve.v.01,"However , by comparing the TV snatches , two different radio station re-runs , and the censored Los Angeles Times version , I found that the radio stations had edited out questions ( ABC removed the one regarding Laos ) or even a paragraph out of the middle of the President 's answer .",0.7938892373169781
involve.v.01,"Although the laws of the various states , in general , specify the situs of property , i. e. , residence or domicile of the owner , or location of the property , the exceptions regarding boats , airplanes , mobile homes , etc. , seem to add to the uncertainty of the proper origination point for assessment .",0.8017613056042008
