sense,sentence,centroid_cs
yard.n.01,"George Kerr , the swift striding Jamaican , set a meet record in the 600 - yard run in the Knights of Columbus track meet tonight , beating Purdue 's Dave Mills in a hot duel in 1.10.1 .",0.7516450608466456
yard.n.01,"Kerr , who set the world record earlier this month in New York with a clocking of 1.09.3 , wiped out Mills 's early pace and beat the young Big 10 quarter-mile king by 5 yards .",0.7016590314576047
yard.n.01,"His statistical record that year , when Texas won only one game and lost nine , was far from impressive : he carried the ball three times for a net gain of 10 yards , punted once for 39 yards and caught one pass for 13 yards .",0.8807545927459988
yard.n.01,"His statistical record that year , when Texas won only one game and lost nine , was far from impressive : he carried the ball three times for a net gain of 10 yards , punted once for 39 yards and caught one pass for 13 yards .",0.8807545927459988
yard.n.01,"His statistical record that year , when Texas won only one game and lost nine , was far from impressive : he carried the ball three times for a net gain of 10 yards , punted once for 39 yards and caught one pass for 13 yards .",0.8807545927459988
yard.n.01,"In their first three games , the Longhorns have had the ball 41 times and scored 16 times , or 40 per cent their total passing yardage in three games , 447 on 30 completions in 56 attempts , is only 22 yards short of their total passing yardage in 1959 , when they made 469 on 37 completions in 86 tries .",0.8182133828884738
yard.n.01,"Tailback James Saxton already has surpassed his rushing total for his brilliant sophomore season , when he netted 271 yards on 55 carries ; he now has 273 yards in 22 tries during three games .",0.8789275576952393
yard.n.01,"Tailback James Saxton already has surpassed his rushing total for his brilliant sophomore season , when he netted 271 yards on 55 carries ; he now has 273 yards in 22 tries during three games .",0.8789275576952393
yard.n.01,"Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56 - yard touchdown run before retiring to the bench .",0.788768401059844
yard.n.01,"Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56 - yard touchdown run before retiring to the bench .",0.788768401059844
yard.n.01,"Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56 - yard touchdown run before retiring to the bench .",0.788768401059844
yard.n.01,He nailed it for a yard loss '' .,0.6955879117662185
yard.n.01,"The Air Force's , and the game 's , final play , was a long pass by quarterback Bob McNaughton which Gannon intercepted on his own 44 and returned 22 yards .",0.8142112798260033
yard.n.01,He was called upon 26 times - more than all of the other ball carriers combined - and delivered 145 yards .,0.8754829851162158
yard.n.01,Texas ' 545 - yard spree against Washington State gave the Longhorns a 3 - game total offense of 1512 yards ( 1065 rushing and 447 passing ) a new SWC high .,0.8631553630988985
yard.n.01,Texas ' 545 - yard spree against Washington State gave the Longhorns a 3 - game total offense of 1512 yards ( 1065 rushing and 447 passing ) a new SWC high .,0.8631553630988985
yard.n.01,"Arkansas combined 280 yards rushing with 64 yards passing ( on 5 completions in 7 tosses ) and a tough defense to whip TCU , and A+M , with a 38 - point bulge against Texas Tech ran up its biggest total loop play since 1950 .",0.7883228946409107
yard.n.01,"Arkansas combined 280 yards rushing with 64 yards passing ( on 5 completions in 7 tosses ) and a tough defense to whip TCU , and A+M , with a 38 - point bulge against Texas Tech ran up its biggest total loop play since 1950 .",0.7883228946409107
yard.n.01,"Completing 12 of 15 passes for 174 yards , the Aggies had a total offense of 361 yards .",0.8255773321154227
yard.n.01,"Completing 12 of 15 passes for 174 yards , the Aggies had a total offense of 361 yards .",0.8255773321154227
yard.n.01,"Texas leads in per game rushing averages , 355 yards , and passing 149 ( to Baylor 's 126 ) , but idle Baylor has the best defensive record ( 187.5 yards per game to Texas ' 189 ) .",0.84351117482716
yard.n.01,"Texas leads in per game rushing averages , 355 yards , and passing 149 ( to Baylor 's 126 ) , but idle Baylor has the best defensive record ( 187.5 yards per game to Texas ' 189 ) .",0.84351117482716
yard.n.01,"A+M has the best defense against passes , 34.7 yards per game .",0.855595054678553
yard.n.01,He boomed a 280 - yard drive .,0.7817121509835966
yard.n.01,"On the narrow fairway of a 508 - yard hole , Arnold whipped into his second shot .",0.7135073391251767
yard.n.01,About 300 yards up the creek was a cluster of Mexican houses containing six rooms in the form of a square .,0.6258689001781865
yard.n.01,"He improvised as he went along , completing a life-size clay figure , then bought yards of an inexpensive material from a draper , wet the lightweight cloth in a basin and covered it over with clay that Argiento brought from the bank of the Tiber , to the consistency of thick mud .",0.530899403303341
yard.n.01,"Cardboard noisemakers , substitutes for the unavailable tin models , were being hawked and bought at makeshift stands every few yards along Broadway , and one 's ears were continually serenaded by the horns ' rasps and bleats .",0.605534817621916
yard.n.01,"An inquest was held , and after a good deal of testimony about the anonymous notes , the county coroner estimated that the shooting had been done from a distance of 300 yards .",0.6870533673298597
yard.n.01,"`` Dead center at three hundred yards , that coroner said '' ! he 'd grin .",0.6713054457493198
yard.n.01,He had not covered a hundred yards before a gun crashed from somewhere behind .,0.6344375745237087
yard.n.01,The valley was only a few hundred yards wide with just about room enough for a properly performed hundred-and-eighty degree turn .,0.6475490011681037
yard.n.01,"While several yards from it , still concealed by the shrubbery , she 'd seen two men on her left at the pool 's edge .",0.614617899079739
yard.n.01,"A few yards beyond the group of men , a man 's nude body lay face down on a patch of thick green dichondra .",0.5855980697223337
yard.n.02,The most beautiful bed of pansies I 've seen was in a South Dakota yard on a sizzling day .,0.8669676209308324
yard.n.02,"He was able , now , to sit for hours in a chair in the living room and stare out at the bleak yard without moving .",0.8722779772487911
yard.n.02,"The yards , front and back , were narrow ; some were trash dumps , some had flower gardens .",0.8367887039431353
yard.n.02,"He ran out into the downpour , sped across the yard and into the buggy room .",0.9048330945000609
yard.n.02,The week after Manassas the sound of horses in the yard brought Kate up in shock from an afternoon 's rest when she saw the Federal soldiers from her upstairs window .,0.8322101498380374
yard.n.02,"At home , he would n't even wash his hands for supper , and he wandered around the yard in a pair of sweaty old corduroys .",0.9032290642263985
yard.n.02,"Now the yard looked wet and bald , the trees bare under their buds , but in a while Miss Ada 's flowers would bloom like a marching parade .",0.9255290884196503
yard.n.02,"Across the front of a yard and down the side , they were iron , either spiked along the top or arched in half circles .",0.851647595614174
yard.n.02,"Every path from back door to barn was covered by a grape-arbor , and every yard had its fruit trees .",0.8375955918884632
yard.n.02,"My great grandmother , I have been told , made her garden her great pride ; she cherished rare and delicate plants like oleanders in tubs and wall-flowers and lemon verbenas in pots that had to be wintered in the cellar ; she filled the waste spots of the yard with common things like the garden heliotrope in a corner by the woodshed , and the plantain lilies along the west side of the house .",0.9106391560921328
yard.n.02,"Houses of settlers who 'd treated the company herds as a natural resource , free for the taking , were sitting empty , with weeds growing high in their yards .",0.7860380054118186
yard.n.02,"Presently he heard footsteps crossing the yard , and Jess 's smothered curses .",0.8950196391445309
