sense,sentence,centroid_cs
phase.n.01,"Toying with her field in the early stages , Garden Fresh was asked for top speed only in the stretch by Jockey Philip Grimm and won by a length and a half in 1.24 3 - 5 for the 7 furlongs .",0.34100261275946175
phase.n.01,"Richard M. Forbes 's Paget , which had what seemed to be a substantial lead in the early stages , tired rapidly nearing the wire and was able to save place money only a head in front of Glen T. Hallowell 's Milties Miss .",0.5434597545883801
phase.n.01,Gannon contributed saving plays on the Falcons ' aerial thrusts in the late stages .,0.6317300979895923
phase.n.01,"`` How many is that , Jim '' ? asked Willie at one stage of his excavation project .",0.7874571337937024
phase.n.01,We are in a transitional stage in which many of the connotations of former usage have had to be revised or rejected .,0.804724752084332
phase.n.01,"Let us not try to key them out at this stage of the game , and let us just call them Bombus ; there must be several dozen species in the United States alone .",0.8188601326198099
phase.n.01,"For four of the six ( the anaconda and the amethystine python cannot be included for lack of data ) there is also a correlation between size at maturity and maximum length , the boa constrictor being the smallest and the Indian python the next in size at the former stage .",0.8444788515921565
phase.n.01,"size at which life is started and at which sexual maturity is reached ; time required to reach maturity ; rate of growth both before and after this crucial stage ; and maximum length , with confirmation or amplification of Oliver 's figures .",0.8509446046075102
phase.n.01,"The mean onset age was 25.3 months ( Table 1 ) , and the average Span of the osseous stage was 133 months .",0.7809112710261228
phase.n.01,"Nevertheless , with foresight and careful planning , some of the more disruptive and dangerous consequences of social change which have troubled other countries passing through this stage can be escaped .",0.8399813840757125
phase.n.01,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments .,0.8194845062755411
phase.n.01,"Lastly , governmental and private planners will at this stage begin to see large capital requirements looming ahead .",0.7912571941193918
phase.n.01,"Although it is not possible to sunder old and new in this era , I shall consider in the present chapter primarily the first decades of the eighth century and shall interpret them as an apogee of the first stage of Greek civilization .",0.7747865451303756
phase.n.01,"In their vases were embodied the basic aesthetic and logical characteristics of Greek civilization , at first hesitantly in Protogeometric work , and then more confidently in the initial stages of the Geometric style .",0.8252793238351525
phase.n.01,"For me , these will belong more completely to their surroundings if they are conceived in this early stage , though I freely admit that I do not hesitate to add or eliminate figures on the full sheet when it serves my final purpose .",0.8538662912411509
phase.n.01,"An attempt should be made to see if electricity , in its most latent stage , has any action on the magnet as such '' .",0.802777545922504
phase.n.01,"Increases rate of gain and improves feed efficiency , aids in the prevention or treatment ( depending on level fed ) of the early stages of shipping fever , prevents or treats bacterial diarrhea , and aids in reducing incidence of bloat and liver abscesses .",0.7543759033601856
phase.n.01,"For the prevention or treatment of the early stages of shipping fever complex , increase feeding level to 0.5 to 2 grams per head per day .",0.7123997021608496
