sense,sentence,centroid_cs
ear.n.01,"Place flat palms on either side of the head a few inches away from the ears , fingers pointing toward the shoulders .",0.7691762016504603
ear.n.01,"Scotty murmured , `` No , thanks '' , so softly his father had to bend his gaunt height across the table and turn a round brown ear to him .",0.7601759751785664
ear.n.01,Scotty regarded the ear and the grizzled hair around it with a moment of interest .,0.7173124820262633
ear.n.01,He smiled and stuck a large finger with white hairs sprouting on it into his ear as though that might help .,0.7953820898897278
ear.n.01,"The doctor , with the air of a man whose professional interests have found scope , drew Alex 's attention to those excellences which might otherwise have escaped him : the fine color in comb and wattles , the length and quality of neck and saddle hackles , the firm , wide spread of the toes , and a rare justness in the formation of the ear lappets .",0.7450468453635282
ear.n.01,"It was Giselle , the fille de chambre , come to clean the room , and while she stood before him with ears pricked up and regard all curiosity , explaining her errand , Alex could see from the corner of his eye the doctor doing all he could to calm the displeased bird .",0.7081112641031699
ear.n.01,"The hall was empty and Alex beckoned ; they climbed the stairs which creaked , very loudly to their sensitive ears , and reached the next floor .",0.7985841347310099
ear.n.01,"Alex suppressed those expressions of relief which offered to prevail in his face and escape from his throat ; unwarranted they were in any case for , as he stood facing the fille de chambre , his ears were assailed by new sounds from the interior of the shower room .",0.8235786555749323
ear.n.01,"That Prokofieff 's harmonies and forms sometimes seem professionally routine to our ears , may or may not indicate that he was less of an `` original '' than we prefer to believe .",0.7474856429472301
ear.n.01,Could it be that my own eyes and ears had deceived me ?,0.735081602550472
ear.n.01,"Cows were kept in backyard barns , boys were hired to drive them to and from the pasture on the edge of town , and familiar to the ear , morning and evening , were the boys ' coaxing voices , the thud of hooves , and the thwack of a stick on cowhide .",0.7335021648918126
ear.n.01,"The information is furnished by each of the guests , is sent by oral broadcasting over the air waves , and is received by the ears .",0.8001231993927426
ear.n.01,Johnny Mercer practically grew up with the sound of jazz and the blues in his ears .,0.7703157941518287
ear.n.01,"He knew that anything a brainy little lady like her had to say would be plumb important , as well as pleasin ' to the ear , and he did n't want to miss a word of it .",0.758980181918867
ear.n.01,"The way his red rubber lips were stretched across his pearly little teeth I though he was only having a little joke , but , no , he wanted me to bend down from the roar of wind so he could roar something into my ear .",0.7567597700259461
ear.n.01,"At once my ears were drowned by a flow of what I took to be Spanish , but - the driver 's white teeth flashing at me , the road wildly veering beyond his glistening hair , beyond his gesticulating bottle - it could have been the purest Oxford English I was half hearing ; I would n't have known the difference .",0.7953242904871918
ear.n.01,"White teeth suddenly vanishing , the driver slammed the side of his bottle against Johnson 's ear .",0.762782932747131
ear.n.01,"In the Riverside dugout Frankie Ricco , shortstop , whispered into Phil 's ear : `` There 's gonna be a fight '' .",0.7033809902635906
