sense,sentence,centroid_cs
offer.v.01,"The appointment of U Thant of Burma as the U.N.'s Acting Secretary General - at this writing , the choice appears to be certain - offers further proof that in politics it is more important to have no influential enemies than to have influential friends .",0.6300005443454357
offer.v.01,"They are willing to settle , however , in anything that offers pheasants to shoot at and peasants to work at .",0.7573366096746821
offer.v.01,"A few years ago a `` Timex All Star Jazz Show '' offered a broad range of styles , ranging from Lionel Hampton 's big band to the free-wheeling Dukes of Dixieland .",0.7525371782774102
offer.v.01,"The twenty-five year old recording offers rather faded string tone , but the balance between the instruments is good and the transfer is very quiet .",0.7686824713690286
offer.v.01,"Turning to the more modern versions , Curzon 's ( London ) offers the most sophisticated keyboard work .",0.8018908399717594
offer.v.01,In many cases the revolutionary production has offered no more than sensational effects :,0.8112942266944672
offer.v.01,"County judges , commissioners , engineers , assessors , and others who have lived in the area for a long time may have valuable knowledge regarding the site or opinions to offer from their varied professional experiences .",0.663349300750238
offer.v.01,A site which overlooks a harbor or river may offer interest in the activities of boating traffic .,0.7420881463668457
offer.v.01,"An examination of some forty catalogs of schools offering courses in interior design , for the most part schools accredited by membership in the National Association of Schools of Art , and a further `` on the spot '' inspection of a number of schools , show their courses adhere pretty closely to the recommendations .",0.6899309507493562
offer.v.01,The suggested course of the A.I.D. was based on the usual course offered and on the opinion of many educators as to curricular necessities .,0.7122263348721714
offer.v.01,Since there are almost no schools in the country offering graduate work in interior design this rule cannot at present be observed .,0.679381162656391
offer.v.01,"Most professors in the course must , naturally , again have a higher degree than the course offers .",0.7256418740310736
offer.v.01,"In spite of this , many universities offer adequate and even distinguished courses in the subject .",0.7745846825476701
offer.v.01,"SBA offers Administrative Management Courses , which are designed to improve the management efficiency and `` know-how '' of small business concerns within a community .",0.7022148860304178
offer.v.01,"To encourage exploration for domestic sources of minerals , the Office of Minerals Exploration ( OME ) of the U.S. Department of the Interior offers financial assistance to firms and individuals who desire to explore their properties or claims for 1 or more of the 32 mineral commodities listed in the OME regulations .",0.6699585823262811
offer.v.01,This help is offered to applicants who ordinarily would not undertake the exploration under present conditions or circumstances at their sole expense and who are unable to obtain funds from commercial sources on reasonable terms .,0.7582573712292845
offer.v.01,"Because of the simplicity of the molecules , isotopic exchange reactions between elemental halogens and the corresponding carbon tetrahalides would appear to offer particularly fruitful possibilities for obtaining unambiguous basic kinetic data .",0.7705238589800915
offer.v.01,"The best chance , of course , is offered by gently sloping terrain where the water remains close to the surface and where the air is dry , so that a high evaporation leaves salty deposits which permit only sparse plant growth .",0.7157244965409291
offer.v.01,"We should do what we can to discourage this conclusion , both by offering assistance for their domestic needs and by reacting firmly to irresponsible actions on the world scene .",0.8077285882436247
offer.v.01,Religion at its best also offers the experience of spiritual fulfillment by inviting man into the highest realm of the spirit .,0.8185726610183363
