sense,sentence,centroid_cs
function.n.03,"And their roles are paralleled by those of Patrick Henry , Nathan Hale , Andrew Jackson , Davy Crockett , Theodore Roosevelt and many , many more .",0.7287503115621806
function.n.03,"Though it may exist in either literate or illiterate societies , it assumes a role of true cultural importance only in the latter .",0.8481197621979439
function.n.03,What additional roles has the scientific understanding of the 19th and 20th centuries played ?,0.8066904189555398
function.n.03,"After another two weeks , the first young emerge , four to eight small daughters that begin to play the role of worker bees , collecting pollen and nectar in the field and caring for the new young generation while the queen retires to a life of egg laying .",0.7607967384978747
function.n.03,"There is some evidence that naturally occurring goitrogens may play a role in the development of goitre , particularly in Tasmania and Australia ( Clements and Wishart , 1956 ) .",0.8392512548538799
function.n.03,"Besides the presence of goitrogens in the diet , the level of iodine itself in the diet plays a major role in governing the activity of the thyroid gland .",0.8349892367378392
function.n.03,"In addition , the neocortical hypothalamic relations play a great role in primates , as Mirsky 's interesting experiment on the `` communication of affect '' demonstrates .",0.8689919814964189
function.n.03,"It should be added that in man neocortical hypothalamic interrelations probably play a role in the fusion of emotional processes with those underlying perception , memory , imagination , and creativity .",0.8224707705686858
function.n.03,The foregoing remarks imply that the hypothalamic balance plays a crucial role at the crossroads between physiological and pathological forms of emotion .,0.8893559602432943
function.n.03,"In view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes .",0.831351316934271
function.n.03,"In view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes .",0.831351316934271
function.n.03,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments .,0.779842358154217
function.n.03,They were stressed in the speeches of Si Mubarak Bekkai when the first Council of Ministers was formed and again when the Istiqlal took a leading role in the second Council .,0.808118666046513
function.n.03,And the authors give numerous instances of calculated guessing on the patient 's part to show how large a role it played in his process of readapting himself and how proficient he became at it .,0.8886874202093255
function.n.03,In all the respects just indicated Utopian communism differs from previous conceptions in which community of possessions and living plays a role .,0.84865230814227
function.n.03,- he had to play a role of self-effacement .,0.8181173691130702
function.n.03,Then why was he assuming the role - the gesture and the suffering ?,0.7648720508917416
function.n.03,"Or was he now taking the role - the gesture and the suffering - because it was the only way to affirm his history and identity in the torpid , befogged loneliness of this land .",0.734050347500208
function.n.03,"Alex returned to the hotel , rather weary and with no new prospects of a role , in the late afternoon , but found the doctor in an ebullient mood .",0.6650047812839858
function.n.03,"The latter plays a prominent role in Roman Catholic theology and is considered decisive , entirely apart from Scripture , in determining the ethical character of birth-prevention methods .",0.8543345417140851
function.n.03,"The role of an earthquake in starting the destruction of whole cities is tremendously frightening , but fire may actually be the principal agent in a particular disaster .",0.8097858465093798
function.n.03,This interpretation of the role of residence in the economy of middle-class culture could lead to various projections for the churches .,0.8622862424092256
function.n.03,An understanding of the new role of residential association in an industrial society serves to illuminate the forces which have fashioned the iron cage of conformity which imprisons the churches in their suburban captivity .,0.8219993762493721
function.n.03,"In Plato 's judgment , the arts play a meaningful role in society only in the education of the young , prior to the full development of their intellectual powers .",0.8925706461979376
function.n.03,Great stress is placed on the role that the monitoring of information sending plays in maintaining the effectiveness of the network .,0.8661969326783827
function.n.03,"To perpetuate wealth control led by small groups of individuals who played no role in its creation prevents those with real initiative from coming to the fore , and is basically anti democratic .",0.796512246649084
function.n.03,"Children , conditioned by this mistaken notion , have feared stepmothers , while adults , by their antagonistic attitudes , have made the role of the substitute parents a difficult one .",0.7814664205594921
function.n.03,"Bertha , blue-eyed like Mamma , was from the start her mother 's daughter , destined for her mother 's role in life .",0.7551452245943241
function.n.03,"With this enlarged role in mind , I should like to make a few suggestions : What we in the United States do or do not do will make a very large difference in what happens in the rest of the world .",0.7495110615539903
function.n.03,I have requested the Secretary of Defense to reexamine the roles and missions of the reserve components in relation to those of the active forces and in the light of the changing requirements of modern warfare .,0.719444484078319
function.n.03,In life we learn to play our roles and we `` freeze '' into patterns which become so habitual that we are not really aware of what we do .,0.7101006425170484
function.n.03,"Even the states remain primarily in an assisting role , providing leadership and teacher training .",0.7448965379071646
