sense,sentence,centroid_cs
eat.v.02,"They ate the cafeteria food with its orange sauces and Scotty gazed without interest at his food , the teachers , the heroic baronial windows , and the bright ranks of college banners .",0.7518918953604411
eat.v.02,"He ate what he felt like , slept as much or as little as he pleased , and moved about the draughty rooms of the house , when he was not in bed , with slow dubious steps , like an elderly tourist in a cathedral .",0.834269569509762
eat.v.02,"I have observed that being up on a horse changes the whole character of a man , and when a very small man is up on a saddle , he 'd like as not prefer to eat his meals there .",0.8691668431521198
eat.v.02,Charlie ate some supper in the kitchen and went into the TV room to hear the news .,0.7541605518946348
eat.v.02,She ate .,0.8306080460238427
eat.v.02,"They had cleaned up an old ice box and begun to buy fifty pound blocks of ice in town , as the electric refrigerator came nowhere near providing enough ice for the crowds who ate and drank there .",0.7721427130903432
eat.v.02,"Then , as he doubled , gasping , vomiting the breakfast he had so lately eaten , Lord straightened him with an uppercut .",0.7889120653645851
eat.v.02,"Most members of the U. S. Senate , because they are human , like to eat as high on the hog as they can .",0.8756145856132467
eat.v.02,The practice of charging employes for meals whether they eat at the hospital or not should be abolished .,0.8251110551751049
eat.v.02,"James P. Mitchell , when he was the head of the department , promised to eat his hat if unemployment did n't drop below three million a couple of years ago .",0.708564305694939
eat.v.02,Eat in a restaurant or motel mornings and evenings ; or just evenings .,0.8007864206071905
eat.v.02,"`` Well '' , remarked one gentleman who had been forced to accompany his wife , `` the good Lord can eat where angels fear to tread '' .",0.8586233886627825
eat.v.01,"The dialogue is sharp , witty and candid - typical `` do n't eat the daisies '' material - which has stamped the author throughout her books and plays , and it was obvious that the Theatre-by-the-Sea audience liked it .",0.7780928558321912
eat.v.01,"`` Along with the fruit they did also fall under the power of death , because they did eat in disobedience ; and disobedience to God entails death .",0.8515795775314534
eat.v.01,"In any case , though they had been promised immortality if they ate of the tree , they obtained mortality instead .",0.8130669953970119
eat.v.01,"And unlike other fruits , one cannot eat the skin of the avocado .",0.8636692545122425
eat.v.01,"Since strong nociceptive stimuli produce an experimental neurosis during which the animals fail to eat in the experimental situation , Wolpe thought that he could utilize the feeding pain antagonism to inhibit the neurotic symptoms through feeding .",0.8656328120932022
eat.v.01,"There are signs that it has struggled for days to escape and that in a frenzy of hunger , pain , and fear , it has all but eaten off its own leg .",0.6740303615798446
eat.v.01,"He had eaten almost nothing on the crested , three sectioned plate and had drunk about half the milk in its paper container .",0.8378385837543763
eat.v.01,"`` You do n't eat enough , honey .",0.8585490803329375
eat.v.01,Hanging over the bar was an oil painting of a nude Al had accepted from a student at the Corcoran Gallery who needed to eat and drink and was broke .,0.8408334782131048
eat.v.01,"Top dog , sleeping and eating right there with the Staff .",0.7999371318565923
eat.v.01,"She was personally sloppy , and when she had colds would blow her nose in the same handkerchief all day and keep it , soaking wet , dangling from her waist , and when she gardened she would eat dinner with dirt on her calves .",0.7704897060805463
eat.v.01,"Linda Kay told him he could n't do anything like that with his Grandma dying , and he said well they had to eat , did n't they , they were n't all dying .",0.8963911009244425
eat.v.01,"`` Why , Winston '' , she 'd cry , `` I just now saw you eating it out of the jar '' !",0.7885977173366315
eat.v.01,That 'll be plenty to eat by '' .,0.8363443849659793
eat.v.01,"No , the fish could eat their bodies for all the Sturch cared .",0.8209610767114449
eat.v.01,"Forty years ago an English writer , W. L. George , dealt with this subject in Eddies of the Day , and said , as an example , that ' Saint George for Merry England ' would not start a spirit half so quickly as ' Strike frog eating Frenchmen dead '' ' !",0.6317952142529212
eat.v.01,One wrote : `` [ I am so hungry ] I could eat a rider off his horse + snap at the stirups '' .,0.7813343654602339
eat.v.01,I eat too much eggs and poark it sowered [ on ] my stomack and turn loose on me '' .,0.8485508043410666
eat.v.01,Pale yellow snapdragons that by pinching could be made to bite ; seed-pods of the balsams that snapped like fire-crackers at a touch ; red and yellow columbines whose round tipped spurs were picked off and eaten for the honey in them ; morning-glory buds which could be so grasped and squeezed that they burst like a blown-up paper bag ; bright flowers from the trumpet vine that made `` gloves '' on the ends of ten waggling fingers .,0.7046055818123725
eat.v.01,"He had talked one other member of the group to stay with him , but that friend had tired of not eating regularly and returned to Savannah .",0.8373766000267534
eat.v.01,"Thus in it 's incredible what that boy can eat dominant stress is likely to be on incredible , and eat will have strong stress also .",0.7854168977450295
eat.v.01,"Thus in it 's incredible what that boy can eat dominant stress is likely to be on incredible , and eat will have strong stress also .",0.7854168977450295
eat.v.01,"`` We 've got to eat '' , Sarah said , curtly , because a chill crawled over her again .",0.8607197792918277
eat.v.01,"She ate what she could and went out along the covered passageway , with the rain dripping from the vines .",0.751332790565747
eat.v.01,"For fifty-five years he had lived , progressing towards a no-goal , eating , working , breathing without plan , without reason .",0.8100294072854094
eat.v.01,"`` He 's finished eating '' , Hogan said .",0.8743324863111843
eat.v.01,"Would not the children , if they received all their food on the first day of the month , eat it up immediately , and later go hungry ?",0.81735274836189
eat.v.01,Why not put a cafe in each so the tourists would not have to travel too far to eat ?,0.8659510844139898
eat.v.01,"The reading public , the theatergoing public , the skindiving public , the horse-playing public - all these and others fill substantial roles in U. S. life , but none is so varied , vast and vigilant as the eating public .",0.7640145456256575
eat.v.01,And in the wake of the new affluence and the new techniques of processing comes a new American interest in how what people eat affects their health .,0.8490078293714484
eat.v.01,"To eat is human , the nation is learning to think , to survive divine .",0.8735731103238791
eat.v.01,"He has measured the skinfolds ( the fleshy areas under the shoulder blades ) of Neapolitan firemen , studied the metabolism of Finnish woodcutters , analyzed the `` mealie-meal '' eaten by Capetown coloreds , and experimented on Minneapolis businessmen .",0.7806423101845817
eat.v.01,Americans eat too much .,0.8062854510764579
eat.v.01,Americans eat too much fat .,0.7666488312811024
eat.v.01,But Keys worries that the Metrecal drinker will never make either the psychological or physiological adjustment to the idea of eating smaller portions of food .,0.8588104751919833
eat.v.01,"Despite his personal distaste for obesity ( `` disgusting '' ) , Dr. Keys has only an incidental interest in how much Americans eat .",0.8275093112985542
eat.v.01,"Even eggs and other cholesterol-rich foods , eaten in normal amounts , says Dr. Keys , do not materially affect the amount of cholesterol in the blood .",0.7838507246847601
eat.v.01,He was copious in his praise of those that served food that was good to eat .,0.8722684170304209
eat.v.01,It was the silver foil from the chocolate bar he had been eating .,0.8304424679915119
eat.v.01,"When served in a psychological atmosphere that allows young bodies to assimilate the greatest good from what they eat because they are free from tension , a foundation is laid for a high level of health that releases the children from physical handicaps to participate with enjoyment in the work assignments , the athletic programs and the most important phase , the educational opportunities .",0.8420584988241464
eat.v.01,"The basis for compost materials already existed on the school farm with a stable of animals for the riding program , poultry for eggs , pigs to eat garbage , a beef herd and wastes of all kinds .",0.7755409649622225
eat.v.01,"`` Lillian 's bread is so good and everything tastes so much better here that it is hard not to eat too much '' , said the secretary ruefully eyeing her extra pounds .",0.9000875517861775
eat.v.01,"At the beginning of the school year , the new students do n't eat the cereal right away , but within a short time they are eating it voraciously .",0.8526382743835254
eat.v.01,"At the beginning of the school year , the new students do n't eat the cereal right away , but within a short time they are eating it voraciously .",0.8526382743835254
eat.v.01,"They tasted good to him , so he brought some to breakfast to eat in his cereal bowl with milk and honey .",0.7656825669315106
eat.v.01,"It 's one thing to go without food when you 're occupied with some work or when you 're simply postponing a meal , but when you 're dependent on someone else and know that you can n't eat until he 's bedded down for the night , hunger can be a gnawing torture .",0.8887869769772117
eat.v.01,She wanted to hang around while I was eating .,0.8112317086367596
eat.v.01,She 'll eat just a pineapple and cottage cheese salad and I 'm to have one with her so she won n't feel out of place '' .,0.8180414552697298
eat.v.01,It was one thing to awaken outside a restaurant where your parents were eating and quite another to awaken in a strange garage and know your parents had gone on home without you .,0.7723901977020432
eat.v.01,He remembered the last time he had eaten - actual eggs from an actual pan .,0.8221450765837045
eat.v.01,We ran out of money and we have n't eaten for two days '' .,0.7865189734595218
eat.v.01,"It 's not much of a meal , but it 's what I eat '' .",0.8379377970350524
eat.v.01,He told himself he had never seen two people eat so much .,0.8429596193041496
eat.v.01,"After they had finished eating , Melissa took Sprite the kitten under her arm - `` so that Auntie Grace can teach it about the whistle '' - and climbed into the station wagon beside her mother .",0.750961251529458
eat.v.01,"The children are eating , and Miss Blackwell 's on her way somewheres '' .",0.7790090435304057
eat.v.01,"He ate breakfast in a sullen mood , but afterwards , when he walked out onto Virginia Street , he felt braced .",0.73491585644257
eat.v.01,"`` I wonder if they did eat each other at the end '' , Owen mused .",0.8406890195061825
eat.v.01,"They headed in that direction and , at San Juan Capistrano by-the-Sea came upon Barco sitting in the quaint old Spanish Mission Drive-in , eating a hot tamale .",0.7287774681764666
