sense,sentence,centroid_cs
study.v.02,"In addition , Dr. Clark has studied at Rhode Island State College and Massachusetts Institute of Technology .",0.7796450904249356
study.v.02,"The strong feeling is certainly there ; but there is a leavening of liberalism among college graduates throughout the South , especially among those who studied in the North .",0.8546536113653775
study.v.02,`` At what university did you study '' ? he asks .,0.8399427940509394
study.v.02,"`` To have become so corrupt '' , he says , `` surely you must have studied many arts and sciences '' .",0.8207160782787981
study.v.02,"Ever since he had first begun to study music and to teach it , Rousseau had dreamed of piercing through to fame as the result of a successful opera .",0.8395734600755073
study.v.02,"Third , the significance of the vocational courses is that those enrolled are keenly interested in the work ; they realize the relevance of what they are learning to their future careers , and this sense of purpose is carried over to the academic courses which they are studying at the same time .",0.8057691105544071
study.v.02,"In the following year her father undertook to give a course in Hebrew theology to Johns Hopkins students , and this brought to the Szold house a group of bright young Jews who had come to Baltimore to study , and who enjoyed being fed and mothered by Mamma and entertained by Henrietta and Rachel , who played and sang for them in the upstairs sitting room on Sunday evenings .",0.8452636158251636
study.v.02,"I had studied with Burns ten years before , during the scholarship year the Manhattan gave me , along with the five-hundred dollar prize for my paintings of bums on Hudson Street .",0.7606876567975112
study.v.02,`` That was before I studied law .,0.8412170654573892
study.v.02,The lawyer with whom I studied law steered me off the Socialist track .,0.8301667444471844
study.v.02,"The Richard S. Burkes ' home in Wayne may be the setting for the wedding reception for their daughter , Helen Lambert , and the young Italian she met last year while studying in Florence during her junior year at Smith college .",0.8190311983472398
study.v.02,"Insofar as its own governing documents are concerned , Emory University could now consider applications from prospective students , and others seeking applications from prospective students , and others seeking the opportunity to study or work at the university , irrespective of race , color or creed .",0.8589208509523009
study.v.02,"`` When and if it can do so without jeopardizing constitutional and statutory tax-exemption privileges essential to the maintenance of its educational program and facilities , Emory University will consider applications of persons desiring to study or work at the University without regard to race , color or creed , continuing university policy that all applications shall be considered on the basis of intellectual and moral standards and other criteria designed to assure the orderly and effective conduct of the university and the fulfillment of its mission as an institution of Christian higher education '' .",0.8306021519334584
study.v.02,"Reared in England , she studied to be a teacher , earned several scholarships and was graduated with honors from the University of London .",0.77143675707084
study.v.02,Charlayne studied journalism at Detroit 's Wayne State University .,0.7527597834970724
study.v.02,"I am proud of my country , the small city I live in , my wonderful parents , my friends and my school ; but I am also a young , able and willing girl who wants to study the Chinese language but is not old enough .",0.864480078523554
study.v.02,"All belong to the collection being given to Wilmington over a period of years by Mrs. Sloan , who has cherished such revelatory items ever since she first studied with Sloan at the Art Students League , New York , in the 1920 's .",0.7925539773932232
analyze.v.01,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,0.7824264356174125
analyze.v.01,"On the one side we have the university professors and their students , trained in Teutonic methods of research , who have sought out , collected and studied the true products of the oral traditions of the ethnic , regional and occupational groups that make up this nation .",0.8175236660154217
