sense,sentence,centroid_cs
look.v.01,"He does n't want her to look frowningly at him , or speak to him angrily .",0.7794661044716408
look.v.01,"`` O Blessed Virgin Mary , Mother of God and our most gentle queen and mother , look down in mercy upon England , thy '' dowry `` , and upon us all who greatly hope and trust in thee .",0.5195115469870645
look.v.01,That cold frame was my morale builder ; its mass of bright bloom set in a border of snow made my spirits rise every time I looked at it .,0.7185212107030512
look.v.01,"Look at the physical features of the land to determine how desirable it is for use , what can be done to correct the faults , and what it will cost to make the area meet your needs in comparison to other sites .",0.6321285894477824
look.v.01,"Look at the trees as to size and interest , the amount of shade they provide , how healthy they are , the problems of maintenance , fire hazards , wind throw , etcetera .",0.6220330800079404
look.v.01,Be sure the head drops backward so that the child looks at the floor rather than toward the ceiling .,0.695541739625119
look.v.01,"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side .",0.7307414458085932
look.v.01,"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side .",0.7307414458085932
look.v.01,"Feelings of a community of interest will have to be recreated - in some of the new nations , indeed , they must be built for the first time - on a new basis which looks toward the future and does not rely only on shared memories of the past .",0.6373898348836455
look.v.01,"The pain of the rabbit was not itself bad ; nothing evil was happening when that pain was being endured ; badness , in the only sense in which it is involved at all , waited for its appearance till I came and looked and felt .",0.7547141843415844
look.v.01,"In short , both his own declarations and his figural blindness , when he looked at objects , seem to present undeniable evidence that he had simply no visual memory at all .",0.7542474494939498
look.v.01,"Perhaps the very important question - What is , then , exactly the role of kinesthetic sensations in the patient 's ability to recognize forms and shapes by means of the tracing movements when he is actually looking at things ?",0.7194294436752802
look.v.01,"Scotty 's father sat sprawled in his chair , angular , alert as a cricket , looking about at the huge stainless-steel appointments of the room with an expression of proprietorship .",0.7116616318906097
look.v.01,"He looked at his son , his face worried .",0.8085929721247849
look.v.01,"Scotty gazed out at ugly gray slums and said softly , `` Look at those stupid kids '' .",0.6097028463214845
