sense,sentence,centroid_cs
door.n.01,"Russell had reached the house as Cook surmised , dismounted , but just as the old trapper opened the door to receive him , he fell into the trapper 's arms - dead .",0.8604868427087145
door.n.01,"When they were refused entrance to his brother 's house nearby , they smashed down the door , broke the window , and threw lighted clothes wet with kerosene into the room .",0.8526656500485154
door.n.01,"As he pushed open the door he fell on his face , one of his comrades pulling him inside .",0.8822123946955173
door.n.01,"When the house was about half consumed , his comrade ran to the door and threw up his hands , declaring repeatedly that he did not know the whereabouts of Manuel .",0.8383108160402301
door.n.01,But it is an answer which opens the door wide to an onrush of objections and denials .,0.755983918846678
door.n.01,"The monk who opened the door immediately calmed his worries about his reception : `` I speak English '' , the old man said , `` but I do not hear it very well '' .",0.8729288648125949
door.n.01,A nigger boy opened the door .,0.8819072925847125
door.n.01,Someone blocked the door from inside .,0.8945396812382092
door.n.01,"At the rear of the auditorium , upstairs , some men tried to push open the door to the box corridor .",0.850863938341091
door.n.01,"Someone opened the corridor door from the inside , and called for a doctor .",0.9024915831820267
door.n.01,"He pulled with all his strength at the heavy , brass bound door , and shuffled along the wainscoted wall .",0.8880356338228602
door.n.01,"Aggie might fly into a closet , shut the door and bury her head in the clothes ; he dared to wait for the lightning .",0.7979647977450872
door.n.01,"But he recalled that Rameau had once had a private performance of his opera Armide , behind closed doors , just for himself alone .",0.6958186785104233
door.n.01,"Over the door was a board with large , inept lettering :",0.8688642322910525
door.n.01,He saw the sign above the door of the hut : Home Sweet Home .,0.8456748794101835
door.n.01,"Pullen James humbly lowered his head , pushed aside the hardtack box door of the hut , and was gone from sight .",0.8396044585513737
door.n.01,Adam stared at the door and remembered that Simms Purdew had been awarded the Medal of Honor for gallantry at Antietam .,0.8577891045131034
door.n.01,"In their search for what turned out to be the right breakfast china but the wrong table silver , they opened every cupboard door in the kitchen and pantry .",0.8156268216643692
door.n.01,"He did n't , but it was not really a question , and so he left the room , walked down the hall to the front of the apartment , hesitated , and then knocked lightly on the closed door of the study .",0.8132437316115911
door.n.01,"At that moment the bathroom door flew open and Eugene came out , with his face lathered for shaving , and strode down the hall , tying the sash of his dressing gown as he went .",0.8327610110585743
door.n.01,Before he left the apartment he knocked on their door and asked if there was anything he could do for them .,0.7681959812612297
door.n.01,"Looking around slowly , he saw a marble fireplace , a desk , a low bookcase of mahogany with criss-crossed brass wire instead of glass panes in the doors .",0.720364201146588
door.n.01,He tried the doors of the bookcase .,0.7655992226197937
door.n.01,"When he opened the door , there stood Eugene , on his way out of the apartment .",0.870842974857387
door.n.01,"Juanita stopped just inside the open door , her hand to her mouth .",0.8794117817372616
door.n.01,She was told by the manservant who opened the door that his lordship was engaged on work from which he had left strict orders he was not to be disturbed .,0.8541110015462771
door.n.01,But the Blevins were away ; their maid gave him an envelope with a check in it and shut the door .,0.8329782267762642
door.n.01,"She took a good look at herself in the mirror before she turned and , walking with very small steps , started toward the door .",0.7885811389538562
