sense,sentence,centroid_cs
mouse.n.01,"In attempting to improve specificity of staining , the fluorescein labeled antisera used in both direct and indirect methods were treated in one of several ways : ( 1 ) They were passed through Dowex-2-chloride twice and treated with acetone insoluble powders ( Coons , 1958 ) prepared from mouse liver or from healthy sweet clover stems or crown gall tissue produced by Agrobacterium tumefaciens ( E. F. Smith + Townsend ) Conn , on sweet clover stems .",0.7945088029413743
mouse.n.01,"Two absorptions of * * f with ethyl acetate or two absorptions of * * f ( which had been passed through Dowex-2-chloride ) , NS and * * f with crown gall tissue powder , or mouse liver powder did not further improve the specificity of staining .",0.8233871605357047
mouse.n.01,"Treatment of the conjugates with ethyl acetate , and the conjugates ( which had been passed through Dowex-2-chloride ) with mouse liver powder , sweet clover crown gall tissue powder , or healthy sweet clover proteins did not satisfactorily remove nonspecifically staining substances in the conjugates .",0.8154187889773525
mouse.n.01,"In litters of eight mice from similar parents , the number of mice with straight instead of wavy hair is an integer from 0 to 8 .",0.8157486370283374
mouse.n.01,"In litters of eight mice from similar parents , the number of mice with straight instead of wavy hair is an integer from 0 to 8 .",0.8157486370283374
mouse.n.01,"In the examples above , the occurrence of a bull's-eye , a straight haired mouse , or an ace could be called a `` success '' .",0.8702539090828992
mouse.n.01,"For the marksman , we study sets of five shots ( * * f ) ; for the mice , we restrict attention to litters of eight ( * * f ) ; and for the aces , we toss three dice ( * * f ) .",0.833243928823293
mouse.n.01,"It is natural from the marksman 's viewpoint to call a bull's-eye a success , but in the mice example it is arbitrary which category corresponds to straight hair in a mouse .",0.8767110407509735
mouse.n.01,"It is natural from the marksman 's viewpoint to call a bull's-eye a success , but in the mice example it is arbitrary which category corresponds to straight hair in a mouse .",0.8767110407509735
mouse.n.01,"We classify mice as `` straight haired '' or `` wavy haired '' , but a hairless mouse appears .",0.8570702346779767
mouse.n.01,"We classify mice as `` straight haired '' or `` wavy haired '' , but a hairless mouse appears .",0.8570702346779767
mouse.n.01,"The debris of his other careers was piled everywhere ; a pile of wire cages for mice from his time as a geneticist and a microscope lying on its side on the window sill , vertical steel columns wired for support to the open ceiling beams with spidery steel cantilevers jutting out into the air , masonry constructions on the floor from the time he was inventing his disastrous fireplace whose smoke would pass through a whole house , visible all the way up through wire gratings on each floor .",0.8272228156529804
mouse.n.01,"`` Such as ' sending the cat to guard the mice ' , or ' the falcon to protect the dove ' , or most terribly sharp of all , ' the human being to save humanity '' ' .",0.7914835282103593
mouse.n.01,"After heavy rains and an onslaught of mice , snow fell on October 15 , 1825 , and remained on the ground through a winter so cold that the ice on the Red was five feet thick .",0.7648794218540114
