sense,sentence,centroid_cs
dream.v.01,"Ever since he had first begun to study music and to teach it , Rousseau had dreamed of piercing through to fame as the result of a successful opera .",0.7919556901182391
dream.v.01,"And listening to such a conversation one morning while taking a cup of chocolate in a cafe , Rousseau found himself bathed in perspiration , trembling lest his authorship become known , and at the same time dreaming of the startling effect he would make if he should proclaim himself suddenly as the composer .",0.8206529112083037
dream.v.01,"Geneva , instead of becoming the City of God , as John had dreamed , had in the two years since he had been there , continued to be a godless place where all manner of vice flourished .",0.7857569785922839
dream.v.01,"The Old Man 's son threw himself down , belly first , upon a concrete step , taking in the coolness of it , and dreaming of the day he would be rich .",0.7998076348973743
dream.v.01,If Mr. Skyros had dreamed of all the trouble that young man would eventually cause -,0.8278560752856781
dream.v.01,"For when he began to talk and dream all at the same time , making his plans as he went , she had begun dreaming too .",0.798638265523332
dream.v.01,"For when he began to talk and dream all at the same time , making his plans as he went , she had begun dreaming too .",0.798638265523332
dream.v.01,"I never dreamed of the logistical difficulties involved until , at long last , both of my boys got squeezed into high school .",0.7863343525198494
dream.v.01,"If you are dreaming of a blue , shimmering pool right outside your living room windows , close your eyes firmly and fill in the picture with lots and lots of children , damp towels , squashed tubes of suntan oil and semi-inflated plastic toys .",0.8081148127314282
dream.v.01,"From here on out , the Ariadne was going to be hotter than any space cruiser man had ever dreamed of .",0.7583859619001715
dream.v.01,"Her mouth , soft and full , was something for any man to dream about .",0.8089457081352762
dream.v.01,"They all had the hard look of gamblers who had stopped dreaming , who automatically turned the cards , hardly caring what showed up .",0.7879147788127127
dream.v.01,"But if true , it was the case of which he had dreamed , the case which would throw him into headlines all over America as the hero of a great murder trial .",0.8212428075826547
