sense,sentence,centroid_cs
industry.n.01,"Earlier this month Edward R. Murrow , director of the United States Information Agency , came to Hollywood and had dinner with more than 100 leaders of the motion picture industry .",0.7366472803965749
industry.n.01,"And to an industry that prides itself on authenticity , he urged greater realism .",0.8391391955878043
industry.n.01,"In response , the industry allowed the discovery of the motion picture as a form of fiction and thus gave the movies the essential form they have had to this day .",0.7398912859086159
industry.n.01,The movie was The Great Train Robbery and its effects on the young industry and art were all but incalculable .,0.7682968317399832
industry.n.01,"As a source of investment capital , the system is beneficial to local communities and encourages the development of industries in rural areas .",0.7490585436230067
industry.n.01,"When we consider the electronic industry potential for human betterment , the prospect is staggering .",0.8117909599390459
industry.n.01,The American gun and ammunition producers sponsor a successful promotional program through their industry trade association .,0.7210350383558416
industry.n.01,Here you begin to appreciate the scope of the challenges and possibilities facing the industry .,0.8844525768323565
industry.n.01,"Since the magnitude of the plan made secrecy impossible , once the wheels had began to turn , persons controlling German industries , social institutions , and armed forces became , through their anti-Semitism or their tolerance of it , conscious accomplices of Hitler 's crimes ; whether in the last degree or a lesser one was a matter to be determined individually .",0.7173030968447145
industry.n.01,Some of this trend toward area vocational schools has been related to the problems of persistent labor surplus areas and their desire to attract new industry .,0.7620619221320282
industry.n.01,A prospective industry also may be interested in the long-run advantages of training programs in the area to supply future skilled workers and provide supplementary extension courses for its employees .,0.8615224874229993
industry.n.01,"Additional courses can readily be added and special cooperative programs worked out with any new industry if the basic facilities , staff and program are in being .",0.8678583093168811
industry.n.01,"Thus , besides the training provided to youth in school , the existence of the school program can have supplementary benefits to industry which make it an asset to industrial development efforts .",0.8615056618386152
industry.n.01,Few states make effective use of their existing vocational education programs or funds for the purpose of attracting new industry .,0.794453868577333
industry.n.01,Even industrial development leaders find it hard to win local support for training unless a new industry is in sight and requests it .,0.8500265441859199
industry.n.01,"Such specialized training institutions could be located near the most rapidly growing industries , where the equipment and job experience exist and where the future employment opportunities are located .",0.8134718986830382
industry.n.01,Wage price policies of industry are the result of a complex of forces - no single explanation has been found which applies to all cases .,0.8740322039856605
industry.n.01,"The purpose of this paper is to analyze one possible force which has not been treated in the literature , but which we believe makes a significant contribution to explaining the wage price behavior of a few very important industries .",0.8220720418408848
industry.n.01,"While there may be several such industries to which the model of this paper is applicable , the authors make particular claim of relevance to the explanation of the course of wages and prices in the steel industry of the United States since World War 2 , .",0.7967062787813138
industry.n.01,"While there may be several such industries to which the model of this paper is applicable , the authors make particular claim of relevance to the explanation of the course of wages and prices in the steel industry of the United States since World War 2 , .",0.7967062787813138
industry.n.01,"Indeed , the apparent stiffening of the industry 's attitude in the recent steel strike has a direct explanation in terms of the model here presented .",0.9060164409304835
industry.n.01,"The model of this paper considers an industry which is not characterized by vigorous price competition , but which is so basic that its wage price policies are held in check by continuous critical public scrutiny .",0.895587289736726
industry.n.01,"Where the industry 's product price has been kept below the `` profit maximizing '' and `` entry limiting '' prices due to fears of public reaction , the profit seeking producers have an interest in offering little real resistance to wage demands .",0.9143601237946568
industry.n.01,"For expository purposes , this is best treated as a model which spells out the conditions under which an important industry affected with the public interest would find it profitable to raise wages even in the absence of union pressures for higher wages .",0.9056602251427749
industry.n.01,"The industry with which this model is concerned is a basic industry , producing a substantial share of gross national product .",0.8356101255369772
industry.n.01,"The industry with which this model is concerned is a basic industry , producing a substantial share of gross national product .",0.8356101255369772
industry.n.01,"For the purposes of setting the product price , the industry behaves as a single entity .",0.8885085853899336
industry.n.01,"In wage negotiations , the industry bargains as a unit with a single union .",0.9204671697214785
industry.n.01,We are concerned with aggregate demand for the industry 's product .,0.9143832891094854
industry.n.01,"In any given time period , the aggregate demand for the industry 's product is determined by two things : the price charged by the industry , and the level of GNP .",0.8964910806017773
industry.n.01,"In any given time period , the aggregate demand for the industry 's product is determined by two things : the price charged by the industry , and the level of GNP .",0.8964910806017773
industry.n.01,"The form of the industry demand function is one which makes quantity demanded vary inversely with the product price , and vary directly with the level of GNP .",0.8505580049999479
industry.n.01,The industry of this model is so important that its wage and price policies are affected with a public interest .,0.8746272003821622
industry.n.01,"Because of its importance , and because the lack of price competition is well recognized , the industry is under considerable public pressure not to raise its price any more than could be justified by cost increases .",0.9168447201588296
industry.n.01,"For the industry of this model , the effect of such public pressures in the past has been to hold the price well below the short-run profit maximizing price ( given the wage rate and the level of GNP ) , and even below the entry limited price ( but not below average cost ) .",0.8612132769096867
industry.n.01,"For such an industry , it is only `` safe '' to raise its price if such an increase is manifestly `` justified '' by rising costs ( due to rising wages , etc . ) .",0.8972730406912393
industry.n.01,"Thus , if public pressure sets the effective limit to the price that the industry may charge , this pressure is itself a function of the wage rate .",0.9413735258580699
industry.n.01,"In such circumstances , it may well be to the advantage of the industry to allow an increase in the basic wage rate .",0.9266339537928115
industry.n.01,"Where this approach becomes critical , the industry can be expected to put much emphasis on this as evidence of its sincerity in `` resisting '' the wage pressures of a powerful union , requesting tariff relief after it has `` reluctantly '' acceded to the union pressure .",0.9155017874391671
industry.n.01,"Whether or not it is in the industry 's interest to allow the basic wage rate to rise obviously depends upon the extent to which the public limit price rises in response to a basic wage increase , and the relation of this response to the increase in costs accompanying the wage increase .",0.8966276387445451
industry.n.01,"We are abstracting from the fact of strikes here , but it should be obvious that the extent to which the public limit price is raised by a given increase in the basic wage rate is also a function of the show of resistance put up by the industry .",0.9154868949209312
industry.n.01,"The industry may deliberately take a strike , not to put pressure on the union , but in order to `` educate '' the government and the customers of the industry .",0.9034928579088685
industry.n.01,"The industry may deliberately take a strike , not to put pressure on the union , but in order to `` educate '' the government and the customers of the industry .",0.9034928579088685
industry.n.01,"As a strike continues , these parties increase their pressure on the industry to reach an agreement .",0.9108256078458922
industry.n.01,They become increasingly willing to accept the price increase that the industry claims the wage bargain would entail .,0.8916905661317766
industry.n.01,"Similarly , higher levels of GNP do not , in themselves , provide grounds for raising prices , but they do relax some of the pressure on the industry so that it can raise prices higher for a given wage increase .",0.9171917050563867
industry.n.01,"We assume that average total unit cost in the relevant region of operation is constant with respect to quantity produced ( the average cost curve is horizontal , and therefore is identical with the marginal cost curve ) , and is the same for every firm ( and therefore for the industry ) .",0.8802972484154046
industry.n.01,"The single union which faces the industry does not restrict its membership , and there is an adequate supply of labor available to the firms of the industry at the going wage rate .",0.8667405950701011
industry.n.01,"The single union which faces the industry does not restrict its membership , and there is an adequate supply of labor available to the firms of the industry at the going wage rate .",0.8667405950701011
industry.n.01,"Productivity is something of an amorphous concept and the amount of productivity increase in a given time period is not even well known to the industry , much less to the union or to the public .",0.9254076533800121
industry.n.01,"For internal political reasons , the union asks for ( and accepts ) increases in the basic wage rate , and would vigorously oppose a reduction in this rate , but the adjustment of the basic wage rate upwards is essentially up to the discretion of the companies of the industry .",0.8887815250411105
industry.n.01,"In this model , then , the industry is presumed to realize that they could successfully resist a change in the basic wage rate , but since such a change is the only effective means to raising prices they may , in circumstances to be spelled out in Part 2 , below , find it to their advantage to allow the wage rise .",0.9142978455238426
industry.n.01,"Thus , for non negative changes in the basic wage rate , the industry becomes the active wage setter , since any increase in the basic wage rate can occur only by reason of industry acquiescence .",0.8944098697165247
industry.n.01,"Thus , for non negative changes in the basic wage rate , the industry becomes the active wage setter , since any increase in the basic wage rate can occur only by reason of industry acquiescence .",0.8944098697165247
industry.n.01,"The presumption in the literature would appear to be that the basic wage rate would be unchanged in this case , on the grounds that it is `` clearly '' not in the interest of the industry to raise wages gratuitously .",0.9259472332905969
industry.n.01,It is convenient to assume that the union industry contract is of one year 's duration .,0.8395178503954221
industry.n.02,This is an enormous industry that is subject to sabotage .,0.8564896574528591
industry.n.02,"Huge industries are involved also in the production of biological products , drugs and cosmetics which are liable to this type of attack .",0.8330035900194777
industry.n.02,"The appeal of the suburb is particularly strong for heavy industry , which must move bulky objects along a lengthy assembly line and wants enough land area to do the entire job on one floor .",0.8223135043339213
industry.n.02,"To light industry , the economies of being on one floor are much slighter , but efficiency engineers usually believe in them , and manufacturers looking for ways to cut costs cannot be prevented from turning to efficiency engineers .",0.8379891595921342
industry.n.02,This movement of industry away from the central cities is not so catastrophically new as some prophets seem to believe .,0.8807083696441168
