sense,sentence,centroid_cs
prevent.v.02,The tragic irony of the play is that the very belief in and concern with a devil who could be met in the woods and combatted with formulae set out in books was the very thing that prevented them from detecting the real devil when he came among them .,0.816092132271265
prevent.v.02,"This has not , however , prevented publishers from labeling him a `` folk poet '' , simply because he is a rural one .",0.7838781040695486
prevent.v.02,Inflow of air from the surrounding atmosphere was prevented by the two disks shown in figure 2 .,0.7926942729193178
prevent.v.02,This prevents the occurrence of an infinite sequence of isolated tangent points .,0.774524496719512
prevent.v.02,"Thus , although the agenda of external assistance in the economic sphere are cumulative , and many of the policies suggested for nations in the earlier stages remain relevant , the basic purpose of American economic policy during the later stages of development should be to assure that movement into a stage of self-sustaining growth is not prevented by lack of foreign exchange .",0.7560265738347343
prevent.v.02,"Although the elections were for local officials , it was not necessary to conduct the elections so as to prevent parties from publicly identifying their candidates .",0.8603598417494288
prevent.v.02,"The process of flattening seemed inexorable , and it became necessary to emphasize the surface still further in order to prevent it from fusing with the illusion .",0.8478530456494476
prevent.v.02,"To light industry , the economies of being on one floor are much slighter , but efficiency engineers usually believe in them , and manufacturers looking for ways to cut costs cannot be prevented from turning to efficiency engineers .",0.7086486683740166
prevent.v.02,"Stirring , he said : `` I am sorry that my work prevents me from doing anything with you today '' .",0.7275359194060164
prevent.v.02,"Perhaps , the psychological barriers that had prevented her from conceiving Hal 's child would no longer be present .",0.7080247248985891
prevent.v.02,"Mexico , Panama , and Venezuela are displaying open sympathy for Castroism , and there is no country - save the Dominican Republic whose funeral services we recently arranged - where Castroism and anti Americanism does not prevent the government from unqualifiedly espousing the American cause .",0.8387892041802573
prevent.v.02,"But that did not prevent him from writing more long letters , or from coming to spend his Christmas vacations with the hospitable , lively Szolds in their pleasant house on Lombard Street .",0.7526352992459513
prevent.v.02,Spherical concave backing surfaces support the diaphragm when excessive pressures are applied and prevent the stresses within the diaphragm from exceeding the elastic limit .,0.8218655304971085
prevent.v.02,"Mr. Speaker , in my latest newsletter to my constituents I urged the imposition of a naval blockade of Cuba as the only effective method of preventing continued Soviet armaments from coming into the Western Hemisphere in violation of the Monroe Doctrine .",0.8017083971404008
prevent.v.02,"Once the full extent of this Russian military penetration of Cuba was clear , President Kennedy announced we would take whatever action was appropriate to prevent this , even if we had to go it alone .",0.7654932659962239
prevent.v.02,"The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .",0.8641235714815245
prevent.v.02,The purpose of the adjusted Federal share relating to the base allotment and of the transition provisions for reaching the unadjusted Federal share is to prevent dislocations from abrupt changes in matching rates .,0.8259273153473224
prevent.v.02,This section prevents the military departments and the Office of Civil and Defense Mobilization from carrying out certain transactions involving real property unless they come into agreement with the Committees on Armed Services of the Senate and the House of Representatives .,0.7799586436322808
prevent.v.02,"To prevent the manager from deliberately controlling himself only during the sessions , they were rather lengthy ( about twenty minutes ) , the situations were imperfectly described to the manager so that he would not know what to expect , new antagonists were brought on the scene unexpectedly , and the antagonists were instructed to deliberately behave in such ways as to upset the manager and get him to operate in a manner for which he had been previously criticized .",0.820169976613961
prevent.v.02,"Gun set the captain 's fifth of Hiram Walker inside the safe before he reported to Lt. Killpath , though he knew that Killpath 's ulcer prevented him from making any untoward incursion on Herman Wolff 's gift .",0.8149074322174548
prevent.v.02,"He sucked in his breath and kept quiet while Killpath laid down the sheet again , wound the gold wire stems of his glasses around his ears and then , eying the report as it lay before him on the desk , intoned , `` Acting Lieutenant Gunnar Matson one failed to see that the station keeper was properly relieved two absented himself throughout the entire watch without checking on the station 's activities or the whereabouts of his section sergeants three permitted members of the Homicide Detail of the Inspector's Bureau to arrogate for their own convenience a patrolman who was thereby prevented from carrying on his proper assignment four failed to notify the station commander Acting Captain O. T. Killpath of a homicide occurring in the district five frequented extralegal establishments known as after-hours spots for purposes of an unofficial and purportedly social nature and six '' - he leaned back and peeled off his glasses `` - failed to co-operate with the Acting Captain by returning promptly when so ordered .",0.6696556317297834
prevent.v.02,"It may have been true for all I know , because his glasses were like the bottoms of milk bottles , but it did n't prevent the paintings from being exciting .",0.7916261722407598
