sense,sentence,centroid_cs
bring.v.01,"Ralph Houk , successor to Casey Stengel at the Yankee helm , plans to bring the entire New York squad here from St. Petersburg , including Joe Dimaggio and large crowds are anticipated for both weekend games .",0.7601110846223057
bring.v.01,`` He almost brought it back all the way '' .,0.7983872852173246
bring.v.01,"It is brought to packing houses , cleaned and graded as to size and quality , and packed in protective excelsior .",0.7626533803296359
bring.v.01,"Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious indication that he is playing with Viennese musicians ) , and the gossamer shading throughout .",0.5962941261392027
bring.v.01,Care should be taken to see that the hands are placed on the floor before the kick starts and also that the landing foot is brought as close to the hands as possible .,0.7064764500002958
bring.v.01,"The child should then bring both legs together overhead , point the toes and tighten the seat muscles .",0.7117618363865816
bring.v.01,Be sure that the landing foot is brought close to the hands and that only one foot lands at a time .,0.7191301438178885
bring.v.01,Long hard years of `` on the job '' training had brought them to their competence .,0.6738233095123672
bring.v.01,This brings us to the question of accreditation of art schools in general .,0.6094087821612263
bring.v.01,"The monk Savonarola , brought over from the Renaissance and placed against the background of Munich at the turn of the century , protests against the luxurious works displayed in the art shop of M. Bluthenzweig ; in particular against a Madonna portrayed in a voluptuous style and modeled , according to gossip , upon the painter 's mistress .",0.6743488968002532
bring.v.01,"Oversized monsters are never brought home either alive or preserved , and field measurements are obviously open to doubt because of the universal tendency to exaggerate dimensions .",0.7379287182811692
bring.v.01,To greet them with repulsion would turn what before was neutral into something bad ; it would needlessly bring badness into the world ; and even on subjectivist assumptions that does not seem very bright .,0.7617604828948793
bring.v.01,"On the other hand , to greet them with delight would convert what before was neutral into something good ; it would bring goodness into the world .",0.7482531302053201
bring.v.01,The commotion had brought her into the wings .,0.7145436862090222
bring.v.01,"An occasional traveler from Italy brought news of Peter Robert , who was now distributing his Bible among the Waldensian peasants .",0.7293117709597288
bring.v.01,"He did not want to bring the Andruses to the station house too early - Rheinholdt had summoned a press conference , and he did n't want them subjected to the reporters again .",0.8097412367767095
bring.v.01,The first shrill ring of the telephone brought Harold out into the hall .,0.6440722912876331
bring.v.01,"He brought with him a mixture of myrrh and aloes , of about a hundred pounds ' weight .",0.7033796190999361
bring.v.01,"He improvised as he went along , completing a life-size clay figure , then bought yards of an inexpensive material from a draper , wet the lightweight cloth in a basin and covered it over with clay that Argiento brought from the bank of the Tiber , to the consistency of thick mud .",0.703719407101876
bring.v.01,The boy was becoming acquainted with the contadini families that brought produce into Rome .,0.7132252251015783
bring.v.01,"Argiento made him lie down on the bed , brought a pan of hot water , dipped some clean white linen cloth and applied it to extract the splinter .",0.7058893515245533
bring.v.01,"`` What brings you here again , Colonel Marsh '' ? she asked , taking him and Juanita into the parlor where the shutters were closed against the afternoon sun .",0.41969840817641046
bring.v.01,He 's used to me bringing home strange men .,0.7319786445906148
bring.v.01,When would the oyabun like to bring his guests up here '' ?,0.7939152279866738
bring.v.01,"No , Kayabashi was bringing his associates here for a specific purpose and Rector would not be able to fathom it until they arrived .",0.7554139714070945
bring.v.01,"He was not going to lose the mission by default , and whatever reason Kayabashi had for bringing his little sight-seeing group to the mission , he was going to be in for a surprise .",0.7664741745762735
bring.v.01,"He refused to bring Claire to it even as an occasional visitor , claiming that his every move was watched by spies of the Milbankes .",0.7388736143454753
bring.v.01,"She grasped the chair arms and brought her thin body upright , like a bird alert for flight .",0.6959416598917582
bring.v.01,"`` My nephews will be coming down '' , she said that evening as Angelina brought her dinner into the dining room , the whole meal on a vast linen covered tray .",0.768855354289746
bring.v.01,"`` Um '' , said the old lady , and brought her eyes down to the tray .",0.625372977480661
