sense,sentence,centroid_cs
distribution.n.02,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,0.7657058484076413
distribution.n.02,"West Berlin morale is low and , in age distribution , the situation is unfavorable .",0.7930109895738905
distribution.n.02,"( D ) Since the shape of the drop conforms to the force field , it does not appreciably affect the distribution of forces in the fluid .",0.8344812326189741
distribution.n.02,"When some thirteen records of newly and recently born individuals are collated , little or no correlation between length and distribution can be detected .",0.8506715583543105
distribution.n.02,The bronchial artery in its course and distribution differs somewhat from that found in other mammals .,0.8137303185961128
distribution.n.02,The only area in which one might find major disagreement in this matter is in regard to the alveolar distribution of the bronchial arteries .,0.8972341159856164
distribution.n.02,"As early as 1858 , Le Fort claimed an alveolar distribution of the bronchial arteries in human beings .",0.8671624473589692
distribution.n.02,The meaning of this variation in distribution of the bronchial artery as found in the horse is not clear .,0.868450519630143
distribution.n.02,"However , this artery is known to be a nutrient vessel with a distribution primarily to the proximal airways and supportive tissues of the lung .",0.7882571467272925
distribution.n.02,"The same conclusions can be drawn from the other physical evidence of the Dark ages , from linguistic distribution , and from the survivals of early social , political , and religious patterns into later ages .",0.8360066646237067
distribution.n.02,"It is true , that nothing has been found comparable with electricity by communication ; but the phenomena observed had such a degree of analogy to those depending on electrical distribution that one could not find the slightest difference .",0.7801026265886348
distribution.n.02,"When now we count the frequency of the 71 items in the two language families appearing in the same column or grade , or one column or grade apart , or two or three or four , we find these differences : * * f This distribution can be summarized by averaging the distance in grades apart : * * f ; which , divided by * * f gives a mean of 1.07 grades apart .",0.7307217959675499
distribution.n.02,"If the distribution of the 71 items were wholly concordant in the two families , the distance would of course be 0 .",0.8631150737384966
distribution.n.01,"Not all the observers have used the same procedures or made the same assumptions about the lunar brightness distribution when reducing the data , and this , together with differences in the methods of calibrating the antennae and receivers , must account for much of the disagreement in the measured radio brightness temperatures .",0.9081549740139327
distribution.n.01,"In the observations at 4.3 mm ( Coates , 1959 a ) , the diameter of the antenna beam , 6 ' .7 , was small enough to allow resolution of some of the larger features of the lunar surface , and contour diagrams have been made of the lunar brightness distribution at three lunar phases .",0.9015908264108975
distribution.n.01,The measured brightness temperature is a good approximation to the brightness temperature at the center of the lunar disk because of the narrow antenna beam and because the temperature distribution over the central portion of the moon 's disk is nearly uniform .,0.9088553322838941
distribution.n.01,Two pyrometers shown in figure 1 and 2 ( Pyrometer Instrument Co. Model 95 ) served for simultaneous measurement of the anode surface temperature and the temperature distribution along the anode holder .,0.912808917669678
distribution.n.01,"Thus , the dotted line shown in figure 4 was taken as typical for the temperature distribution for all blowing rates .",0.8936336861410675
distribution.n.01,"The total heat flux from the porous plug into the plug holder is thereby **f The temperature distribution of figure 4 gives **f for all blowing rates , assuming **f .",0.8823234905026863
distribution.n.01,"The fraction of exchange was determined as the ratio of the counts / minute observed in the carbon tetrachloride to the counts / minute calculated for the carbon tetrachloride fractions for equilibrium distribution of the activity between the chlorine and carbon tetrachloride , empirically determined correction being made for the difference in counting efficiency of * * f in * * f and * * f .",0.8725634637892913
distribution.n.01,"It was possible to make estimates of the quantum yield by observing the extent of reduction of a uranyl oxalate actinometer solution illuminated for a known time in a typical reaction cell and making appropriate conversions based on the differences in the absorption spectra of uranyl oxalate and of chlorine , and considering the spectral distribution of the light source .",0.8533440220670413
distribution.n.01,"In addition , the size distribution obtained from visual and radar observations of meteors may be extrapolated to the micrometeorite domain .",0.9079806423957136
distribution.n.01,"From the brightness of the F component of the solar corona and the brightness of the zodiacal light , an estimate of the particle sizes , concentrations , and spatial distribution can be derived for regions of space near the ecliptic plane .",0.8913782696526941
distribution.n.01,"If one assumes that the average flux did not change between measurements , a mass distribution curve is obtained which relates the flux of particles larger than a given radius to the inverse 7 2 power of the radius .",0.7608313648690311
distribution.n.01,"A concentration distribution has been derived from radar observations sensitive to the fifteenth magnitude ( Manning and Eshleman , 1959 ) .",0.8779667593131779
distribution.n.01,The observational data determining the concentration distribution have a range of error which is magnified in the extension into the micrometeorite region .,0.8828216522864852
distribution.n.01,The solar electromagnetic - and corpuscular-radiation pressure and the associated Poynting-Robertson effect increase in effectiveness as the particle size decreases and modify the distribution and limit sizes to larger than a few microns .,0.8676084376221412
distribution.n.01,"Also , it has been suggested that the source of all or part of the dust may not be the same as that for visual or radar meteorites ( Best , 1960 ) , and the same distribution would not be expected .",0.8704804673614427
distribution.n.01,"There appeared to be no difference in the distribution of anti - A and anti - B activity in group O serum , though in two group O donors ( J. F. and E. M. ) only one type of agglutinin was found in the regions of low anionic binding capacity ( Figs. 1 and 2 ) .",0.8379306237205263
distribution.n.01,"If the deficiency persists long enough , it is reasonable to suppose that the * * f label will reflect the * * f distribution in the thyroglobulin .",0.8631809275254481
distribution.n.01,Within the pseudophloem cells the distribution of WTV antigen was irregular in the cytoplasm .,0.8452783659189468
distribution.n.01,A study of the distribution of WTV antigen within the pseudophloem cells indicates that it is irregularly distributed in the cytoplasm .,0.8317380218609052
distribution.n.01,"The choice of p and n determines the binomial distribution uniquely , and different choices always produce different distributions ( except when * * f ; then the number of successes is always 0 ) .",0.6941285556644342
distribution.n.01,"The subjects for this study were randomly selected from stratified areas of the distribution , one-third as underachievers , one-third medium , and one-third over-achievers .",0.7452135231342224
distribution.n.01,"The rating scale of compulsivity was constructed by first perusing the interview records , categorizing all evidence related to compulsivity , then arranging a distribution of such information apart from the case records .",0.8109911160000643
distribution.n.01,Final ratings were made on the basis of a point system which was developed after studying the distributions of actual behaviors recorded and assigning weight values to each type of behavior that was deviant from the discovered norms .,0.8321191631855579
