sense,sentence,centroid_cs
originate.v.02,"I like to make a seedbed right in the open , though many people start them successfully in cold frames .",0.7762889846707943
originate.v.02,I started the seed in a flat in June and set out the little pansies in a cold frame .,0.793054603318209
originate.v.02,A high frequency starter was used to start the arc .,0.7327603437765238
originate.v.02,"Instead of isolating the literal flatness by specifying and circumscribing it , the pasted paper or cloth releases and spreads it , and the artist seems to have nothing left but this undepicted flatness with which to finish as well as start his picture .",0.7710842026946076
originate.v.02,"Large planes juxtaposed with other large planes tend to assert themselves as independent shapes , and to the extent that they are flat , they also assert themselves as silhouettes ; and independent silhouettes are apt to coincide with the recognizable contours of the subject from which a picture starts ( if it does start from a subject ) .",0.7211181001181209
originate.v.02,"Large planes juxtaposed with other large planes tend to assert themselves as independent shapes , and to the extent that they are flat , they also assert themselves as silhouettes ; and independent silhouettes are apt to coincide with the recognizable contours of the subject from which a picture starts ( if it does start from a subject ) .",0.7211181001181209
originate.v.02,But the liaison successfully started in the last days of autumn was now languishing .,0.7087379476902514
originate.v.02,"And it is thought by many who think about such things that Quasimodo is the logical culmination of a school that started with Monet , progressed through Kandinsky and the cubist Picasso , and blossomed just recently in Pollock and De Kooning .",0.6741668474092316
originate.v.02,"A tsunami may be started by a sea bottom slide , an earthquake or a volcanic eruption .",0.7055668170102694
originate.v.02,"He 'd started a fire and put coffee on , and now was busy at the work board of his chuck wagon .",0.6366286165074022
originate.v.02,`` That 's what started all the trouble in the first place .,0.6973205736332482
originate.v.02,"Up to date , however , his garden was still more or less of a mess , he had n't even started his workshop and if there was a meadow pond in the neighborhood he had n't found it .",0.7654498267228937
originate.v.02,"Some opposition to the home rule movement started to be heard yesterday , with spokesmen for the town 's insurgent Democratic leadership speaking out against the home rule charter in favor of the model municipal league charter .",0.6596761051167301
originate.v.02,Do start fires one or two hours ahead of time to obtain a lasting bed of glowing coals .,0.7668471643866849
originate.v.02,"As a matter of fact , Fogg and his plane did n't get beyond Pennsylvania in the race - an engine oil leak forced him down - but the flying service and school he started subsequently were first steps in paying off his wry-faced backers .",0.7353507090674388
originate.v.02,"`` Ah , you 're too old '' , was invariably his ungallant and untrue retort whenever I suggested `` starting a family '' .",0.6698405058586996
depart.v.03,"He started down the steps to meet the near-blind preacher , who had been one of the early Gospelers in Paris .",0.8984651907966237
depart.v.03,The crowd moved back and John started dizzily down the hill .,0.8281193894594426
depart.v.03,"She took a good look at herself in the mirror before she turned and , walking with very small steps , started toward the door .",0.7855275094668803
depart.v.03,Then Mel Chandler started up the hill .,0.8141387412872761
depart.v.03,"She started back for the house , saw a light in the office , opened the door and surprised a domestic little scene which was far outside the dark realm of murder or attempted murder .",0.8147730953301477
depart.v.03,"But even before he started across the oiled road to his Plymouth , parked in the lot under the cypress trees across from the station , he knew that he was n't going home .",0.8495338315746692
depart.v.03,"`` Do n't try it '' , Brannon told him , dismounting and starting up the steps with his men following .",0.8360727027753325
depart.v.03,"Vastly relieved , Summers nodded and started toward the door .",0.8407464979558347
