sense,sentence,centroid_cs
catch.v.01,District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms - he just did n't catch anyone .,0.7978272981172202
catch.v.01,District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms - he just did n't catch anyone .,0.7978272981172202
catch.v.01,"They caught Trig stealing liquor from the officers ' mess , and he got a couple of girls in trouble .",0.7298667019059887
catch.v.01,He had caught her coming out of the shack .,0.784367940266285
catch.v.01,"`` You 're gonna get caught '' , she heard Joel say to Uncle Randolph by the pump one morning .",0.8040788588031778
catch.v.01,`` If I catch you one more time down here without stockings '' -,0.7610173452453689
catch.v.01,"The crime showed too much planning , the kidnappers appeared too proficient to be caught by a checklist .",0.8014864200713246
catch.v.01,"`` Imagine you won't get your allowance if you 're caught not smiling - or smiling with your lips trembling too much '' , Arlene suggested .",0.7962622598301619
catch.v.01,"Caught at last , he was sentenced to prison .",0.76102562265051
catch.v.01,"Though his inner thoughts cringed at it , he forced himself to think back , recreating the scene in which Mae claimed to have caught him molesting the child .",0.7467455353491803
catch.v.01,"She had caught him off guard , no preparation , nothing certain but that ahead lay some kind of disaster .",0.6930676268289742
catch.v.01,"Tom had been laying for Aaron McBride for a long time , just waiting to catch him out of line .",0.7620043040229366
catch.v.01,He 'd hoped to catch Jesse Macklin there .,0.8023061263857407
catch.v.01,And their arrival caught John Clayton and Charles Ansley off guard .,0.6948013170604833
catch.v.01,He was caught driving the day after the sentence was pronounced and given a warning .,0.776400028114055
catch.v.01,"In any case , he had no intention of being caught asleep , so he carried his revolver in its holster on his hip and he took his Winchester with him and leaned it against the fence .",0.7231141357539799
catch.v.01,"Not a breeze exactly , but a pocket of icy air that settled with a loathsome familiarity upon the deep confines of the grove , catching Pamela in a leering embrace .",0.6202356494158692
catch.v.01,Now Welch had a pet theory that everyone is guilty of breaking more laws than he ever gets caught at .,0.7996589355720634
catch.v.01,"For indeed it seemed incredible that anyone could go on committing murder for ten years and not get caught at it , even in Hollywood .",0.8246964489270028
