sense,sentence,centroid_cs
refuse.v.02,"When they were refused entrance to his brother 's house nearby , they smashed down the door , broke the window , and threw lighted clothes wet with kerosene into the room .",0.7328888674965132
refuse.v.02,"`` I refused '' , Duclos said .",0.8783327090361939
refuse.v.02,And I was certain he would refuse '' .,0.8809815775963912
refuse.v.02,"So John had refused to agree to his appointment as a preacher , and now Caroli sought revenge .",0.7566415366974121
refuse.v.02,"There was really no reason to refuse , and Linda Kay had never ridden in a Cadillac .",0.8030563045767167
refuse.v.02,"Mercer is supposed to have refused it with , `` Anyone who wears a square monocle must be affected '' !",0.8812072222390399
refuse.v.02,"You should make any request for an extension early so that if it is refused , your return may still be on time .",0.83049040487408
refuse.v.02,To have refused would have been political suicide .,0.864970337852736
refuse.v.02,The United States and the U. N. denounce their own principles when they defend the Communist oppressors and refuse to acknowledge the right of self-determination of the Katangans .,0.6776152328718791
refuse.v.02,"You may refuse Him , spit on Him , call Him a devil , curse Him .",0.8291170836606881
refuse.v.02,"Although she found she was thirsty , she was about to refuse ( never , never take candy from a strange man ) when she saw the bottle was unopened .",0.8078513477034795
refuse.v.02,"The jail authorities - attaching no particular significance to the episode - offered Barco whisky to revive him ; but the old fellow , a lifelong teetotaler , refused it , and no more was thought of the matter .",0.7839699259053021
refuse.v.01,Philadelphia permitted him to seek a better connection after he had refused to reconsider his decision to end his career as a player .,0.8357383721504454
refuse.v.01,"State Department officials refusing to show their passes at the boundary , and driving two blocks into East Berlin under military escort , will not avail .",0.7907602737539875
refuse.v.01,"If to be a Christian means to say yes where I otherwise say no , or where I do not have the right to say anything at all , then my only choice is to refuse to be a Christian .",0.7374518730198381
refuse.v.01,"The commercial propagandist , who can n't afford to be critical , gets along well with the amateur , from whom he feeds , but he frequently steps on the analyst 's toes by refusing to keep his material genuine .",0.8406802057497523
refuse.v.01,"The officer demanded the names of the injured men ; the Mexicans not only refused to give them , but told the possemen if they wanted a fight they could have it .",0.8492046828198864
refuse.v.01,Again he refused .,0.7314171707794426
refuse.v.01,"If this analysis is correct , the suburban branches will turn out to be what management 's cost accountants refuse to acknowledge , marginal operations rather than major factors .",0.7705145874989939
refuse.v.01,They refuse to mention or to notice that they are not there .,0.7837556818286855
refuse.v.01,He refuses to believe that the bandit chief never attended a higher institution .,0.7299340909940943
refuse.v.01,Those who refused to believe that He was the eternal Son of God were termed Arianists .,0.814021934220604
refuse.v.01,"He refused to bring Claire to it even as an occasional visitor , claiming that his every move was watched by spies of the Milbankes .",0.8692386682868644
refuse.v.01,Suppose her father had changed his mind and had refused to let her leave ?,0.7992247578361901
