sense,sentence,centroid_cs
cause.n.01,"The report called racial discrimination in employment `` one of the most serious causes of family breakdown , desertion , and ADC dependency '' .",0.8515334009520198
cause.n.01,"These , he said , are `` two of the principal underlying causes for family breakups leading to ADC '' .",0.8590933910330599
cause.n.01,Research projects as soon as possible on the causes and prevention of dependency and illegitimacy .,0.8203132000337079
cause.n.01,This is a common symptom and the cause usually is pressure on the nerve leading to the affected hand .,0.810861949725236
cause.n.01,"A back brace might help , depending upon the cause of sciatica .",0.759150689639567
cause.n.01,There is a haunting resemblance between the notion of cause in Copernicus and in Freud .,0.6915365117275188
cause.n.01,"Lucretius has remarked : `` The reason why all Mortals are so gripped by fear is that they see all sorts of things happening in the earth and sky with no discernable cause , and these they attribute to the will of God '' .",0.7983622569307259
cause.n.01,The experiments of Romagnosi and others have already been noted but no one had determined the cause and effect relationship between these two primary forces .,0.7798414511807099
cause.n.01,A Georgia soldier gave his wife the following description of the cause and consequence of diarrhoea : `` I have bin a little sick with diorah two or three days .,0.8364320598460442
cause.n.01,"And I suggest further that the main cause of the trouble we are in has been the failure of American policy-makers , ever since we assumed free world leadership in 1945 , to deal with this problem realistically and seriously .",0.8231156238118339
cause.n.01,the causes of injuries and health hazards in metal and nonmetallic mines ( excluding coal and lignite mines ) ;,0.8108269178452377
cause.n.01,"The causes of the decline of the commuter railroads are many and complex - high taxes , losses of revenue to Government subsidized highway and air carriers , to name but two .",0.837052610372159
cause.n.01,"Here , too , the cause to hate lay well back in the years .",0.7232463678031251
