sense,sentence,centroid_cs
exceed.v.01,As an example of the interpretation of an arrow in the figure which exceeds four months in shaft length in conjunction with its position in the figure : girl 2 had a delayed Onset and further delayed Completion .,0.8262682839911653
exceed.v.01,"But not a single human life was lost , and property damage in the Hawaiian Islands did not exceed $ 800000 .",0.7585809439759695
exceed.v.01,"In spite of the dreams of the host for oneness in the group , the * * f incoming messages for each guest overload his receiving system beyond comprehension if N exceeds about six .",0.7641336544983461
exceed.v.01,"From an initial investment of $ 1200 in 1943 , it has grown , with no additional capital investment , to a present value estimated by some as exceeding $ 10000000 ( we do n't disclose financial figures to the public ) .",0.7940343109967622
exceed.v.01,"Despite this danger , however , we are informed on every hand that ideas , not machines , are our finest tools ; they are priceless even though they cannot be recorded on a ledger page ; they are the most valuable of commodities - and the most salable , for their demand far exceeds supply .",0.7609963915972974
exceed.v.01,Spherical concave backing surfaces support the diaphragm when excessive pressures are applied and prevent the stresses within the diaphragm from exceeding the elastic limit .,0.8454459708653641
exceed.v.01,"In connection with any claim decided by the Commission pursuant to this Title in which an award is made , the Commission may , upon the written request of the claimant or any attorney heretofore or hereafter employed by such claimant , determine and apportion the just and reasonable attorney 's fees for services rendered with respect to such claim , but the total amount of the fees so determined in any case shall not exceed 10 per centum of the total amount paid pursuant to the award .",0.8421509970851131
exceed.v.01,"Written evidence that the claimant and any such attorney have agreed to the amount of the attorney 's fees shall be conclusive upon the Commission : Provided , however , That the total amount of the fees so agreed upon does not exceed 10 per centum of the total amount paid pursuant to the award .",0.893302520296342
exceed.v.01,"Whoever , in the United States or elsewhere , pays or offers to pay , or promises to pay , or receives on account of services rendered or to be rendered in connection with any such claim , compensation which , when added to any amount previously paid on account of such services , will exceed the amount of fees so determined by the Commission , shall be guilty of a misdemeanor , and , upon conviction thereof , shall be fined not more than $ 5000 or imprisoned not more than twelve months , or both , and if any such payment shall have been made or granted , the Commission shall take such action as may be necessary to recover the same , and , in addition thereto , any such person shall forfeit all rights under this title .",0.8441227002922647
exceed.v.01,"Subject to the limitations hereinafter provided , the Secretary of the Treasury is authorized and directed to pay , as prescribed by section 8 of this Title , an amount not exceeding the principal of each award , plus accrued interests on such awards as bear interest , certified pursuant to section 5 of this Title , in accordance with the award .",0.832368934297622
exceed.v.01,to make additional payment of not to exceed 25 per centum of the unpaid principal of awards in the principal amount of more than $ 1000 ;,0.8120954599555804
exceed.v.01,"( Each State 's unadjusted allotment for any fiscal year , which exceeds its minimum allotment described in item 13 below by a percentage greater than one and one-half times the percentage by which the sum being allotted exceeds $ 23000000 , must be reduced by the amount of the excess . )",0.8480369568704887
exceed.v.01,"( Each State 's unadjusted allotment for any fiscal year , which exceeds its minimum allotment described in item 13 below by a percentage greater than one and one-half times the percentage by which the sum being allotted exceeds $ 23000000 , must be reduced by the amount of the excess . )",0.8480369568704887
exceed.v.01,"The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .",0.846750272568939
exceed.v.01,"Pitch differences from one speaker to another , or from one emotional state to another , may far exceed the small differences between tones .",0.787182711986634
exceed.v.01,"Some vocational training schools provide such training , but the current need exceeds the facilities .",0.7499953042005535
exceed.v.01,"Throughout the history of the program , state government expenditures in the aggregate have usually matched or exceeded the Federal expenditures , while local districts all together have spent more than either Federal or state governments .",0.817742197726171
exceed.v.01,"A startlingly high percentage do not exceed $ 500 annually , which includes the librarian 's salary , and not even the New York Public has enough money to meet its needs - this in the world 's richest city .",0.8181933923132317
exceed.v.01,`` Article 19 : A Member of the United Nations which is in arrears in the payment of its financial contributions to the Organization shall have no vote in the General Assembly if the amount of its arrears equals or exceeds the amount of the contributions due from it for the preceding two full years '' .,0.8655746439065161
exceed.v.01,"Thus , as a development program is being launched , commitments and obligations must be entered into in a given year which may exceed by twofold or threefold the expenditures to be made in that year .",0.8798877030472386
exceed.v.01,"For example , the level of improvement noted in a recent experiment with a short course of immediate treatment for parent-child relationship problems compared favorably with the results reported by typical child guidance clinics where the hours spent in purely diagnostic study may equal or exceed the number of hours devoted to actual treatment interviews in the experimental project .",0.8799903729352252
