sense,sentence,centroid_cs
evidence.n.02,Another piece of evidence appears in a dispatch from Bonn in the Observer ( London ) .,0.8125899744611517
evidence.n.02,There is ample evidence from many sources that the **f bond in **f is symmetric .,0.8615433484965054
evidence.n.02,"There is evidence , though less convincing than for **f , that the **f bond in nickel dimethylglyoxime is symmetric .",0.7938484057521726
evidence.n.02,"A randomization of `` ups '' and `` downs '' is more likely than ordered `` ups '' and `` downs '' in position ( 3 ) since the hydrogen atoms are well separated and so the position of one could hardly affect the position of another , and also since ordered `` up '' and `` down '' implies a larger unit cell , for which no evidence exists .",0.8045577539939658
evidence.n.02,There are several sources of evidence on the micrometeorite environment .,0.8647997779239508
evidence.n.02,Another important source of evidence only recently receiving much attention is the analysis of atmospheric dust for a meteoritic component .,0.8506774319029431
evidence.n.02,"However , the conversion from mass to size is unreliable , since many photographic meteors give evidence of a fluffy , loosely bound meteorite structure with densities as low as * * f .",0.8264365811217806
evidence.n.02,"Zodiacal light and the gegenschein give some evidence for such a dust blanket , a phenomenon also to be expected if the dust before capture is in circular orbits about the sun , as indicated by the trend of the smaller visible meteors .",0.872466186386794
evidence.n.02,"A summary of meteorite data , prepared by Whipple ( 1958 ) on the basis of photographic , visual , and radar evidence , is given in Table 5 - 1 .",0.8274740916333959
evidence.n.02,"Interesting evidence can be found in the results of the Chamber of Commerce elections , which took place three weeks before national elections .",0.8572009877115755
evidence.n.02,"Though it is not easy to apply the evidence of the Iliad to any specific era , this marvelous product of the epic tradition had certainly taken definitive shape by 750 .",0.828258809262129
evidence.n.02,The editor of the Newport Advertiser could discover no evidence of extenuating circumstances in the Brown trial which would warrant making an exception to the infliction of capital punishment .,0.8502427492447535
evidence.n.02,"For hundreds of years , the evidence available consisted of ( 1 ) the captain 's fragmentary journal , ( 2 ) a highly prejudiced account by one of the survivors , ( 3 ) a note found in a dead man 's desk on board , and ( 4 ) several second-hand reports .",0.8469608192513869
evidence.n.02,"The evidence suggests that foreign peoples believe the United States is weaker than the Soviet Union , and is bound to fall still further behind in the years ahead .",0.8393041954154419
evidence.n.02,"Now Pathet Lao propagandists were reported marching him barefoot from village to village , as evidence of evil American intervention .",0.7265101486838641
evidence.n.02,"But before I try to diagnose it , I would offer other evidence .",0.8529073142933411
evidence.n.02,"Subject to the limitations of this Act , the Secretary shall make stabilization payments to small domestic producers upon presentation of evidence satisfactory to him of their status as such producers and of the sale by them of newly mined ores , or concentrates produced therefrom , as provided in this Act .",0.7786740612656382
evidence.n.02,"Children scoring high in compulsivity were those who gave evidence of tension or emotionality in situations where there was lack of organization or conformity to standards and expectations , or who made exaggerated efforts to achieve these goals .",0.7637759473669127
evidence.n.02,"But the farther out he moves , the thinner will be his hold on conclusive evidence , and the larger the speculative component in his inferences .",0.8206305207588116
evidence.n.02,"Where this approach becomes critical , the industry can be expected to put much emphasis on this as evidence of its sincerity in `` resisting '' the wage pressures of a powerful union , requesting tariff relief after it has `` reluctantly '' acceded to the union pressure .",0.7538366614683315
evidence.n.02,"They 've found some sort of new evidence , a bundle of clothes or something , and it must link the kid even stronger to the crime .",0.7819470511348938
evidence.n.01,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election produced `` no evidence '' that any irregularities took place .,0.8441661535609803
evidence.n.01,"If Bultmann 's own definition of myth is strictly adhered to ( and it is interesting that this is almost never done by those who make such pronouncements ) , the evidence is overwhelming that he does not at all exaggerate the extent to which the mythological concepts of traditional theology have become incredible and irrelevant .",0.8649134340820445
evidence.n.01,Nor is it necessary to look for such evidence in the great urban centers of our culture that are admittedly almost entirely secularized and so profoundly estranged from the conventional forms in which the gospel has been communicated .,0.8508811454147374
evidence.n.01,Further evidence that Roman Catholicism enjoys a more favorable position today than in 1861 is the respectful attention given to it in the mass media of England .,0.8087487810993368
evidence.n.01,"Skeptics may deny the more startling phenomena of dreams as things they have never personally observed , but failure to wonder at their basic mystery is outright avoidance of routine evidence .",0.8441965771773524
evidence.n.01,"Some time later the missing part of the relic was found and the complete inscription , together with other new evidence , fully corroborated the ancient priest 's information .",0.7882644402021045
evidence.n.01,"The evidence shows that fake therapeutic machines , substituted for valid medical cures , have hastened the deaths of thousands .",0.8172045801857307
evidence.n.01,"In fact , there is much evidence to indicate they do n't care a bit about anything beyond their particular regional , ethnic and occupational limits .",0.8923725265083158
evidence.n.01,We shall return to these statements and deal with them more fully as the evidence for them accumulates .,0.837762099028029
evidence.n.01,Evidence that other sources of financing are unavailable must be provided .,0.8417105157975491
evidence.n.01,it is apparent from the above and from experimental evidence that the cooling requirements for the anode of free burning arcs are large compared with those for the cathode .,0.8398846162505075
evidence.n.01,"The first is the strictly scientific , which demands concrete proof and therefore may err on the conservative side by waiting for evidence in the flesh .",0.7988130726421379
evidence.n.01,"The next level attempts to weigh varied evidence and come to a balanced , sensible conclusion ; field measurements by experienced explorers are not rejected , and even reports of a less scientific nature are duly evaluated .",0.8006016702290927
evidence.n.01,"This iodoprotein does not appear to be the same as what is normally present in the thyroid , and there is no evidence so far that thyroglobulin can be iodinated in vitro by cell-free systems .",0.8368534601095375
evidence.n.01,There is so far no evidence to indicate conclusively that this coupling is under enzymatic control .,0.823177840254691
evidence.n.01,There is no conclusive evidence yet that either of the proteases has been prepared in highly purified form nor is their specificity known .,0.8604977698746549
evidence.n.01,"There is some evidence that naturally occurring goitrogens may play a role in the development of goitre , particularly in Tasmania and Australia ( Clements and Wishart , 1956 ) .",0.8291874649673241
evidence.n.01,Electromyography revealed no evidence of lower motor neuron disease .,0.752770113772272
evidence.n.01,There was no evidence of fibrosis .,0.7421301830015377
evidence.n.01,"However , the regionally differentiated results , which appear below in tables , are interesting evidence of the problems of developing self-government under even the most favorable circumstances .",0.7953684775117272
evidence.n.01,"Apart from some areas of recurring trouble , like Bani Mellal , where inexperienced officials had been appointed , there is little evidence that local officials intervened in the electoral process .",0.8666828830244004
evidence.n.01,"The pathetic evidence is no longer before us ; and we are now so fatigued in body and mind that feeling is , as we say , quite dead .",0.7738548645693413
evidence.n.01,"This circumstance in the patient 's case plus the fact that his tactual capacity remained basically in sound working order constitutes its exceptional value for the problem at hand since the evidence presented by the authors is overwhelming that , when the patient closed his eyes , he had absolutely no spatial ( that is , third-dimensional ) awareness whatsoever .",0.8541038756101267
evidence.n.01,( 2 ) What evidence is there that he was psychically blind ?,0.860527400619016
evidence.n.01,"Obviously , a satisfactory answer to the third question is imperative , if the argument is to get under way at all , for if there is any possibility of doubt whether the patient 's tactual sensitivity had been impaired by the occipital lesion , any findings whatsoever in regard to the first question become completely ambiguous and fail altogether , of course , as evidence to establish the desired conclusion .",0.8085344402268666
evidence.n.01,"First of all , what is their evidence that the tactual apparatus was fundamentally undamaged ?",0.8812858365970381
evidence.n.01,The patient himself denied that he had any visual imagery at all ; and there was ample evidence of the following sort to corroborate him .,0.890144180494547
evidence.n.01,"In short , both his own declarations and his figural blindness , when he looked at objects , seem to present undeniable evidence that he had simply no visual memory at all .",0.8343528773163797
evidence.n.01,"The same conclusions can be drawn from the other physical evidence of the Dark ages , from linguistic distribution , and from the survivals of early social , political , and religious patterns into later ages .",0.8071464681373706
evidence.n.01,"The historian can only point out those lines which were major enough to find reflection in our limited evidence , and must hope that future excavations will enrich our understanding .",0.747049983762512
evidence.n.01,The first slanting rays of the new day cannot yet dispel all the dark shadows which lie across the Aegean world ; but our evidence grows considerably in variety and shows more unmistakably some of the lines of change .,0.8172488613850335
evidence.n.01,"Thinking the evidence insufficient to get a conviction , he later released him .",0.7770779029695426
evidence.n.01,"And the evidence that he does , indeed , stand there derives quite simply from the vigorous interest with which rather casual readers have responded to that book for the past century or so .",0.8601396307639312
evidence.n.01,"But to say that at a moment in history something is new is not necessarily to say that it is modern ; and for this statement the best evidence comes within the five years following the publication of Utopia , when Martin Luther elaborates a new perception of the nature of the Divine 's encounter with man .",0.8632785933845718
evidence.n.01,"The killer , if in our present group , would certainly be interested in knowing that much , and even though with the fingerprint evidence what it was I could see no way he could use this bit of information to improve on his situation , there might always be some way .",0.7592796857015939
evidence.n.01,"That he mastered every aspect of his medium according to his own great talents and contemporary judgments , is a good and solid symbol of his people under the tremendous pressures of proclaiming and practising the rigors of a new culture ; and perhaps of even greater significance - his music is strong 20 th Century evidence of the effectiveness of Evolution , based on a broad Traditionalism for the creative art of music .",0.7512093882452109
evidence.n.01,There is no evidence that these Milquetoasts became suddenly emboldened when they crossed the threshhold of the master bedroom .,0.8160359861006479
evidence.n.01,"Adult education courses , work-study programs of various sorts - these are all evidence of a continuing interest of the schools in furthering educational opportunities for out-of-school youth .",0.7232052217921859
evidence.n.01,"We have seen that the folksy spirit is confined to economic peers ; consequently , the vulnerability to social difference should not be attributed to the stress on personal community in Protestant congregations ; actually , there is little evidence of such personal community in Protestant congregations , as we shall see in another connection .",0.8560969409620618
evidence.n.01,Noting such evidence is the first step ; and almost the only `` cure '' is early detection and removal .,0.8375538406020664
evidence.n.01,"Hence , the only defensible procedure is to repress any and every notion , unless it gives evidence that it is perfectly safe .",0.8285223551462231
evidence.n.01,"The young William Faulkner in New Orleans in the 1920 's impressed the novelist Hamilton Basso as obviously conscious of being a Southerner , and there is no evidence that since then he has ever considered himself any less so .",0.8156467025233961
evidence.n.01,"Evidence is plentiful that early and later also he has been indebted to the Gothic romancers , who deal in extravagant horror , to the symbolists writing at the end of the preceding century , and in particular to the stream-of-consciousness novelists , Henry James and James Joyce among them .",0.8384088536534893
evidence.n.01,"There is evidence to suggest , in fact , that many authors of the humorous sketches were prompted to write them - or to make them as indelicate as they are - by way of protesting against the artificial refinements which had come to dominate the polite letters of the South .",0.7845899499650938
evidence.n.01,"I think these attributes cluster , but I have no evidence .",0.8422359558545526
evidence.n.01,The knowledge in virtue of which a man is an historian is a knowledge of what the evidence at his disposal proves about certain events '' .,0.7864016147933662
evidence.n.01,"The rating scale of compulsivity was constructed by first perusing the interview records , categorizing all evidence related to compulsivity , then arranging a distribution of such information apart from the case records .",0.8077220287560941
