sense,sentence,centroid_cs
respective.s.01,"Not satisfied with various unofficial checks on the liveliness of baseballs currently in use , the major leagues have ordered their own tests , which are in progress at Massachusetts Institute of Technology .",0.8106385212407378
respective.s.01,"This features the marching songs of several nations , recorded as though the various national bands were marching by your reviewing stand .",0.8846060434072733
respective.s.01,"In the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand - and this usually means one or another of the various forms of `` folk religion '' current in the situation .",0.8840758188617076
respective.s.01,"The Church Unity Octave , January 18 - 25 , was enthusiastically devoted to prayer and discussion by the various churches .",0.8568827903079648
respective.s.01,"In addition to this the U. S. Civil Service Bureau , when examining applicants for government positions as interior designers , expects that `` when various needed objects are not obtainable on the market he will design them .",0.8399787436513617
respective.s.01,"The professional organizations such as American Institute of Interior Designers , National Society of Interior Designers , Home Fashions League and various trade associations , can and do aid greatly in this work .",0.8273579925950614
respective.s.01,"Only the independent art schools , that is , those not connected with any university or college , receive severe and separate investigation before accreditation by the various regional organizations .",0.8701270924483466
respective.s.01,"As retinal images are conceded to be an integral function of the brain it seems logical to suppose that the nerves , between the inner brain and the eyes , carry the direct drive for cooperation from the various brain centers - rather than to theorize on the transmission of an image which is already in required location .",0.8575609507555518
respective.s.01,"Not only do these quacks assume impressive titles , but represent themselves as being associated with various scientific or impressive foundations - foundations which often have little more than a letterhead existence .",0.8670108601503194
respective.s.01,"Small Business Administration , What It Is , What It Does , SBA Services for Community Economic Development , and various other useful publications on currently important management , technical production , and marketing topics are available , on request , from Small Business Administration , Washington 25 , D.C. .",0.6702624196476923
respective.s.01,"A number of semiempirical estimates by various workers lead to the conclusion that the **f bond becomes symmetric when the **f bond length is about 2.4 to 2.5 A , but aside from the possible example of nickel dimethylglyoxime there have been no convincing reports of symmetric **f bonds .",0.7896164058898166
respective.s.01,"This material proved to be unsatisfactory , since we could not obtain reproducible results on various portions of the sample .",0.8740856298052035
respective.s.01,There are optimal humidity requirements for various agents when airborne .,0.8424564456776558
respective.s.01,"The unstained strips were then marked , using the stained ones as a guide , and cut transversely so as to separate the various protein bands .",0.8862405175847817
respective.s.01,Sedimentation coefficients were computed as * * f values and relative amounts of the various components were calculated from the Schlieren patterns .,0.895121141089293
respective.s.01,"Brown ( 1959 ) has reviewed generally the various methods of assaying TSH , and the reader is referred to her paper for further information on the subject .",0.8652781097478448
respective.s.01,"If this is the case , one would expect that not only the various procedures just mentioned which alter the hypothalamic balance would influence emotional state and behavior but that emotion itself would act likewise .",0.8772792451455597
respective.s.01,"Historically , religion has also functioned as a tremendous engine of vindication , enforcement , sanction , and perpetuation of various other institutions .",0.8203682036692312
respective.s.01,Routine microscopic examinations were made of the mixed liquor as indicated by McKinney and Gram for the various types of protozoa .,0.9022341651519488
respective.s.01,A cross-section of a normal lower human leg is shown in Fig. 8 with the various parts labeled .,0.8757127101667066
respective.s.01,"The various team sports assuredly have their place in every school , and they are important to proper physical development .",0.8311335210490935
respective.s.01,You read various guesses on how many Americans are camping .,0.7704711582940819
respective.s.01,Specific requirements for each of various types of enterprises are discussed on pages 8 to 14 .,0.8800111901437596
respective.s.01,"In deciding on the enterprises to be managed by family labor , compare the amount of labor that can be supplied by the family with the labor needs of various enterprises listed in table 1 .",0.8665643248844548
respective.s.01,Was n't this meaning of Eichmann 's experience in various countries worth highlighting ?,0.8554926816645849
respective.s.01,"The various Lambeth Conferences , expressing the Anglican viewpoint , mirror the gradual change that has taken place among Protestants generally .",0.8162318455876533
respective.s.01,"By monitoring , we mean some system of control over the types of information sent from the various centers .",0.8982617127310994
respective.s.01,"Again , he may discover embodied within its texture a theme or idea that has been presented elsewhere and at other times in various ways .",0.809983281015889
respective.s.01,School principals and guidance workers made ratings of the various neighborhoods and the research team made independent observations of houses and dwelling areas .,0.8548519826031239
respective.s.01,The director helped tailor-make a check list of the district manager 's errors by asking various observers to write out sentences commenting on the mistakes they felt he made .,0.8327329370174446
respective.s.01,Increased participation in politics and the demands of various groups for status and recognition had dramatic effects upon law institutions .,0.8683372348990173
respective.s.01,"The efforts of various interest groups to control or influence governmental decisions , particularly when taken in conjunction with the impact of industrialization , led to a concentration of attention on the legislative power and the means whereby policy could be formulated and enforced as law through bureaucratic institutions .",0.8496579702820978
respective.s.01,The truck dropped them off at the various revetments spread through the jungle .,0.8439758618980707
