sense,sentence,centroid_cs
directly.r.01,"Says Wallace F. Jannsen , director of the FDA 's Division of Public Information : `` Quacks are apt to direct their appeal directly to older people , or to sufferers from chronic ailments such as arthritis , rheumatism , diabetes , and cancer .",0.7950976992344836
directly.r.01,"The **f layers are stacked normal to the [ 111 ] axis with the lower oxygens of one layer directly above the upper oxygens of the neighboring lower layer , in such a manner that the repeat is every three layers .",0.7717179524666989
directly.r.01,"Even in the neighborhood of the Earth , where information has been obtained both directly and indirectly , the derived flux values vary by at least four orders of magnitude .",0.7534135182914548
directly.r.01,"There is a difference in the experimental arrangement , in that the U.S. microphones are attached directly to the vehicle skin while the Russian instruments are isolated from the skin .",0.8747139065141212
directly.r.01,"The pulmonary artery , in addition to supplying the distal portion of the respiratory bronchiole , the alveolar duct , and the alveoli , continues on and directly supplies the thin pleura ( fig. 8 ) .",0.8048844989994907
directly.r.01,"This vessel could be followed to the parenchyma where it directly provided bronchial arterial blood to the alveolar capillary bed ( figs. 17 , 18 ) .",0.8457807763451668
directly.r.01,"In type 3 , the bronchial artery also provides blood directly to the alveolar capillary bed .",0.855551165955761
directly.r.01,"Onsets , Completions , and Skeletal Ages ( Hand ) of boy 34 and girl 2 may be directly compared and classified , using only those Skeletal Ages which appear immediately below the Onset Profile and the Completion Profile .",0.7025626492236967
directly.r.01,The concentration and apparent localization of the WTV antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiplies in the phloem and may need to be directly placed in this tissue in order to infect plants .,0.8173848880298298
directly.r.01,This tendency can be broken either by restoring hypothalamic excitability directly or via cortico-hypothalamic pathways .,0.8085655273120935
directly.r.01,The raw sewage was introduced directly under the turbine aerator to insure maximum mixing of the raw sewage with the aeration tank contents .,0.8433275799892453
directly.r.01,"Under the trees , there was a dead redcoat , a young boy with a pasty white skin and a face full of pimples , who had taken a rifle ball directly between the eyes .",0.6806427218628056
directly.r.01,"With enormous interest , Adam watched his hands as they touched and shifted the objects on the board directly before him .",0.7272238704756067
directly.r.01,"Without looking at him , without looking at anything except Drexel Street directly in front of her , she climbed up into one of those orange streetcars , rode away in it , and never came back .",0.7208338814520086
directly.r.01,This is particularly acute for those who attended Midwood High School directly across the street from Brooklyn College .,0.7679111154328061
directly.r.01,The fast opening of the shutter consists of a piece of aluminum foil ( approximately * * f ) placed directly in front of the camera lens so that no light may pass into the camera .,0.8334790068783559
directly.r.01,"I could evoke no further elaboration from her about this ; but a few seconds later she was standing directly across the room from me , looking me in the eyes and saying in a scathingly condemnatory tone , `` Your father despises you '' !",0.7662065835774378
directly.r.01,"If Ferguson 's car had been in sight , Holden would have walked directly to it .",0.7170281267885563
directly.r.01,Madden explained that he was thinking of an application sent directly to Mrs. Meeker .,0.7810725460433952
directly.r.01,Most of them could be eliminated ; Muller 's would have to be one of the half dozen almost directly opposite .,0.7745406360179179
directly.r.01,A .30-30 bullet smashed directly into the center of William Lewis ' chest .,0.7128150169842522
directly.r.02,"In addition , our way of dealing directly with natural phenomena has also changed .",0.822415654653445
directly.r.02,The last column shows the rate of exchange that would have been observed at a relative intensity of 4 ( 14.7 cm. distance ) calculated on the assumptions that the incident light intensity is inversely proportional to the square of the distance of the lamp from the cell and that the rate is directly proportional to the incident light intensity .,0.8360146840604065
directly.r.02,"Whitehead is here questioning David Hume 's understanding of the nature of experience ; he is questioning , also , every epistemology which stems from Hume 's presupposition that experience is merely sense data in abstraction from causal efficacy , and that causal efficacy is something intellectually imputed to the world , not directly perceived .",0.8441690247164931
directly.r.02,"A point like p gets information directly from n , but all information beyond n is indirectly relayed through n .",0.8315883587231623
directly.r.02,"These assumptions lead to an organization with one man at the top , six directly under him , six under each of these , and so on until there are six levels of personnel .",0.7550809553227538
directly.r.02,"It would be profitable , I believe , to read these realistic humorists alongside Faulkner 's works , the thought being not that he necessarily read them and owed anything to them directly , but rather that they dealt a hundred years ago with a class of people and a type of life which have continued down to our time , to Faulkner 's time .",0.8537865248406931
directly.r.02,"It rested its decision solely on 7 , which reads in pertinent part : `` [ N ] o corporation engaged in commerce shall acquire , directly or indirectly , the whole or any part of the stock or other share capital of another corporation engaged also in commerce , where the effect of such acquisition may be to substantially lessen competition between the corporation whose stock is so acquired and the corporation making the acquisition , or to restrain such commerce in any section or community , or tend to create a monopoly of any line of commerce .",0.7226367106421584
directly.r.02,"What is the probable attitude of other governments , including those less directly involved ?",0.7887497793757487
directly.r.02,We propose a method for selecting only dictionary information required by the text being translated and a means for passing the information directly to the occurrences in text .,0.8462005682735577
directly.r.02,A location in the computer store is also named for each marked form ; dictionary information about the form stored at this location can be retrieved directly by occurrences of the form in text .,0.8302369077129481
directly.r.02,"Actually , none of these papers says much directly about field techniques .",0.7316622542586507
directly.r.02,"The form of the industry demand function is one which makes quantity demanded vary inversely with the product price , and vary directly with the level of GNP .",0.863821427057473
directly.r.02,"The foreign entry limit price would be approached more rapidly , since domestic wage rates do not enter foreign costs directly .",0.8355135593212415
