sense,sentence,centroid_cs
circle.n.01,He just shot at the board and then drew circles around the holes to form a bull's-eye .,0.8195576861690277
circle.n.01,"The straight line would symbolize its uniqueness , the circle its universality .",0.7585830963345519
circle.n.01,"Not a circle , then , nor a straight line , but a spiral represents the shape of death as Irenaeus sees it ; for a spiral has motion as well as recurrence .",0.830381306621048
circle.n.01,Start on the knees in a large circle .,0.853263637916753
circle.n.01,"Start with the class standing in a circle , with weight on the right foot and the left extended a little way into the circle .",0.8797272818189191
circle.n.01,"Start with the class standing in a circle , with weight on the right foot and the left extended a little way into the circle .",0.8797272818189191
circle.n.01,We talk about national character in the same way that Copernicus talked of the compulsions of celestial bodies to move in circles .,0.8229067494442512
circle.n.01,"Consider a simple , closed , plane curve C which is a real analytic image of the unit circle , and which is given by **f .",0.6725953043187511
circle.n.01,"He swayed like a drunkard , his arms milling in slow circles .",0.7560763640196133
circle.n.01,"He saw the Starbird as she lay , her slender mast up and gently turning , its point describing constant languid circles against a cumulus sky .",0.7893117150498534
circle.n.01,"Across the front of a yard and down the side , they were iron , either spiked along the top or arched in half circles .",0.8360255987021236
circle.n.01,"Everything in the office , the spreading circle of lamplight , the patch of leather in Lolotte 's hands .",0.7402844644276859
circle.n.01,The circle with the dot in the center showed up yellow on the reflector glass in front of him .,0.8190467773480153
circle.n.01,He made a circle with his thumb and fingers .,0.8516636041187804
