sense,sentence,centroid_cs
right_field.n.01,"Whitey Herzog , performing in right as the Orioles fielded possibly their strongest team of the spring , worked Keegan for a base on balls .",0.8403946634325397
right_field.n.01,"The Orioles got a run in the first inning when Breeding , along with Robinson , the two Birds who got a pair of hits , doubled to right center , moved to third on Russ Snyder 's single to right and crossed on Kunkel 's wild pitch into the dirt in front of the plate .",0.9619920417896808
right_field.n.01,"The Orioles got a run in the first inning when Breeding , along with Robinson , the two Birds who got a pair of hits , doubled to right center , moved to third on Russ Snyder 's single to right and crossed on Kunkel 's wild pitch into the dirt in front of the plate .",0.9619920417896808
right_field.n.01,Lumpe worked a walk as the first batter to face Hyde and romped around as Siebern blasted Hyde 's next toss 415 feet over the scoreboard in right center .,0.9478570697521388
right_field.n.01,"In the third Frank Robinson hammered a long home run deep into the corner of the bleachers in right center , about 400 feet away , with two men on .",0.9460429673298665
right.n.02,At right is a casual style in a crushed unlined white leather .,0.7397188331952645
right.n.02,"Only too often , however , you have the feeling that you are sitting in a room with some of the instruments lined up on one wall to your left and others facing them on the wall to your right .",0.82135926305274
right.n.02,"With the first reports , Russell 's horse wheeled to the right and ran towards the buildings while Cook , followed by a hail of bullets , raced towards the arroyo of Salyer 's Canyon immediately in front of him , just reaching it as his horse fell .",0.8985132095976525
right.n.02,On their right rose the embankment covered with brush and trees .,0.854024991647703
right.n.02,"Thus , stealthily they advanced upstream ; then they turned to the right , climbed the embankment , and walked into the valley again .",0.8900523696129209
right.n.02,"Her quarters were on the right as you walked into the building , and her small front room was clogged with heavy furniture - a big , round , oak dining table and chairs , a buffet , with a row of unclaimed letters inserted between the mirror and its frame .",0.8281353074216473
right.n.02,"Mynheer , Sir Francis , the valley society , the very smell of the river on his right purling along to the bay past fish weirs and rocks , and ahead the sleepy ribbon of moon drenched road .",0.8334434968519951
right.n.02,"Scarcity of paper caused many Southerners to adopt the practice of cross writing , i. e. , after writing from left to right of the page in the usual manner , they gave the sheet a half turn and wrote from end to end across the lines previously written .",0.7317899161834586
right.n.02,"Private Jenkins Lloyd Jones of the Wisconsin Light Artillery wrote in his diary : `` I strolled among the Alabamans on the right , found some of the greenest specimens of humanity I think in the universe their ignorance being little less than the slave they despise with as imperfect a dialect ' They Recooned as how you ' uns all would be a heap wus to we ' uns all '' ' .",0.824536704131524
right.n.02,"He walked with a heavy list to the right , as that leg was four inches shorter than the other , but the lurch did not reduce his feline quickness with his guns .",0.8763521110844074
right.n.02,"Chandler , looking to right and left to see how his men were faring , suddenly saw another figure bounding up the hill , hurling grenades and hollering the battle cry as he ran .",0.8219692353846909
right.n.02,"Cooper was beside his car , on the curb at the right , just standing there morosely ; he did n't even look up .",0.8670363936808242
right.n.04,No one who has studied the radical Right can suppose that words are their sole staple in trade .,0.844006996749341
right.n.04,"If the demand for demythologization is unavoidable and so must be accepted by theology unconditionally , the position of the `` right '' is clearly untenable .",0.9758902530999649
