sense,sentence,centroid_cs
paper.n.01,"It was for this reason , and no other that I can see , that in September 1912 , Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint .",0.8140651729447913
paper.n.01,"By its greater corporeal presence and its greater extraneousness , the affixed paper or cloth serves for a seeming moment to push everything else into a more vivid idea of depth than the simulated printing or simulated textures had ever done .",0.8973546251116541
paper.n.01,"Because of the size of the areas it covers , the pasted paper establishes undepicted flatness bodily , as more than an indication or sign .",0.8593162069298746
paper.n.01,"Instead of isolating the literal flatness by specifying and circumscribing it , the pasted paper or cloth releases and spreads it , and the artist seems to have nothing left but this undepicted flatness with which to finish as well as start his picture .",0.8535529261930476
paper.n.01,"In their very first collages , Braque and Picasso draw or paint over and on the affixed paper or cloth , so that certain of the principal features of their subjects as depicted seem to thrust out into real , bas-relief space - or to be about to do so - while the rest of the subject remains imbedded in , or flat upon , the surface .",0.8562695825728063
paper.n.01,"Yet the violent immediacy of the wallpaper strips pasted to the paper , and the only lesser immediacy of block capitals that simulate window lettering , manage somehow to push the grape cluster back into place on the picture plane so that it does not `` jump '' .",0.8470950963568654
paper.n.01,"Left in their previous atom-like smallness , they would have cut away too abruptly into depth ; and the broad , opaque shapes of pasted paper would have been isolated in such a way as to make them jump out of plane .",0.8898600222029716
paper.n.01,"He had eaten almost nothing on the crested , three sectioned plate and had drunk about half the milk in its paper container .",0.8014522480640142
paper.n.01,He moved over to the desk and stood looking at the papers on it but not touching anything .,0.67801270227643
paper.n.01,He started by making free sketches to loosen up his thinking so that images would appear on paper .,0.798835986192065
paper.n.01,"In particular he sought the gentle , sweet-faced nuns , with head coverings and veils coming to the middle of their foreheads , remembering their expressions until he reached home and set them down on paper .",0.824180431466029
paper.n.01,"Andrei glanced up over the top of the paper and looked into the mustached , homely face of Sergeant Styka .",0.8057221127605017
paper.n.01,She looked at him impudently over the corner of the paper .,0.8232984601512489
paper.n.01,"Sighing , Leona dropped the paper and stood up .",0.7751278645592404
paper.n.01,"By the time Felix turned up it was early afternoon , which , one would think , would be late enough so that by then , except for small children and a few hardy souls who had not yet sobered up , it could have been expected that people would no longer be having any sort of active interest in the previous night 's noisemakers and paper hats .",0.8077160226490344
paper.n.01,"You still have your paper hat and you 're wearing it , but then , it is an extraordinary paper hat and , in addition to anything else you may be , you are also the sculptor who created that most peculiar dame out in the back yard .",0.7970211402342908
paper.n.01,"You still have your paper hat and you 're wearing it , but then , it is an extraordinary paper hat and , in addition to anything else you may be , you are also the sculptor who created that most peculiar dame out in the back yard .",0.7970211402342908
paper.n.01,It 's not too much to assume that you will have a more lasting interest in paper hats than will Mr. Average Citizen .,0.7996864246351522
paper.n.01,"You have your paper horn clutched in your big , craggy fist , and for your entrance you have planned a noisy , colorful and exuberant greeting to your friends and tenants .",0.8049640572217325
paper.n.01,Can you imagine yourself forgetting under the circumstances that you are approaching this startling and unexpected situation so unsuitably hatted and armed with a paper horn ?,0.8036745380892739
paper.n.01,"In my studio I work at a tilt-top table , but leave the paper unfixed so that I can move it freely to control the washes .",0.8553696794195766
paper.n.01,"I have used a variety of heavy-weight hand-made papers , but prefer an English make , rough surface , in 400 - pound weight .",0.7733475836375501
paper.n.01,"Are you using the most economical printing methods , paper , etc. .",0.8221668356524304
paper.n.01,"In the South , after the first year of the war , paper and ink were very poor .",0.7996210671627959
paper.n.01,"Scarcity of paper caused many Southerners to adopt the practice of cross writing , i. e. , after writing from left to right of the page in the usual manner , they gave the sheet a half turn and wrote from end to end across the lines previously written .",0.8124248942489465
paper.n.01,The figures on the worksheet paper in front of her were jumping and waving around so badly it was all she could do to make them out clearly enough to copy them with the typewriter .,0.8580078895758857
paper.n.01,"Killpath sailed the paper across the desk , but Matson did n't pick it up or even glance at it .",0.8123786002837494
paper.n.01,"They got tin cups of coffee from the big pot on the coosie 's fire , rolled and lighted brown paper cigarettes , lounged about .",0.7250119029821472
paper.n.01,"Mr. Mills had done some figuring on a scrap of paper and given him the various kinds of boards and two-by-fours which , properly handled , would , he had assured him , turn into a workbench .",0.8549412458574677
newspaper.n.01,"It should be admitted , too , that there is a good percentage of lapsed or nonchurchgoing Catholics ( one paper writes 50 per cent ) .",0.7159683034726343
newspaper.n.01,"In the kitchen , Leona , his little young wife , was reading the morning paper .",0.7683723350982762
newspaper.n.01,"Readers of the Reader 's Digest are familiar with such items which often appear in its lists of verbal slips , like the ad in a California paper that advertised `` House for rent .",0.8188433818123103
newspaper.n.01,"At four o ' clock , or four thirty , the coming of the newsboy marked the end of the day ; he tossed a paper toward every front door , and housewives came down to their steps to pick them up and read what their neighbors had been doing .",0.8327100474411508
newspaper.n.01,"Under her father 's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field , but she did begin writing for other Anglo Jewish papers and thus increased her output and her audience .",0.7934766761602802
newspaper.n.01,"Young Morris , who , while attending the University of Pennsylvania , also taught and edited a paper , found time to write Henrietta twenty page letters on everything that engaged his interest , from the acting of Sarah Bernhardt in Philadelphia to his reactions to the comments of `` Sulamith '' on the Jewish reform movement being promulgated by the Hebrew Union College in Cincinnati .",0.8050206586893831
newspaper.n.01,"Thus when yes , I have is the response to have you finished reading the paper ?",0.8786104794949945
newspaper.n.01,"the stress on have , which here represents have finished reading the paper , is quite strong .",0.7904901020190996
newspaper.n.01,"`` No , I remembered reading about you in the papers and that you lived here , and when it happened all I could think of was - '' .",0.7583618989292271
newspaper.n.01,"Those named in the Greek paper were manufacturing reasons to steal aft under pretence of some call of duty , so as to be near Spencer , watching an opportunity to communicate with him .",0.8638761350100466
newspaper.n.01,To have the Greek paper is not the great help that at first flush it seemed .,0.8326891821109039
newspaper.n.01,"No action of his could be interpreted in his favor and four midshipmen , prior to their knowing the significance of the Greek paper , had seen it in Cromwell 's hands while Spencer whispered explanations .",0.8270155900909214
composition.n.08,A detailed study of this latter phenomenon was not attempted in this paper .,0.9307693959928682
composition.n.08,"However , they do demonstrate the presence of large normal pressures in the presence of flat shear fields which were forecast by the theory in the first part of the paper .",0.9378598376028595
composition.n.08,"This can be justified thermodynamically in this case , and this will be done in a separate paper which is being prepared .",0.8503146958337817
composition.n.08,"However , there are photographs of suspended drops of cyclohexanol phthalate ( viscosity 155 poises ) suspended in corn syrup of 71 poises in a paper by Mason and Bartok .",0.7336435973572326
composition.n.08,Measurements on the photograph in this paper give * * f at the maximum rate of shear of * * f .,0.8103759744846031
composition.n.08,"In 1948 , Afranio do Amaral , the noted Brazilian herpetologist , wrote a technical paper on the giant snakes .",0.8200938588089489
composition.n.08,"As stated earlier in the paper , Onsets and Completions - particularly the former - provide a different tool or indicator of expectancy in osseous development , each within a limited age period .",0.9121001537379126
composition.n.08,"When the `` dot '' and `` tip '' coincide , the classification used in this paper is `` same schedule '' .",0.9072314783427685
composition.n.08,"With due consideration for the limits of precision in assessing , expected rate of change in ossification of girls age 2 years , and the known variations in rate of ossification of these children as described in our preceding paper in the Supplement , each arrow with a `` shaft length '' of four months or less was selected as indicating `` same schedule '' at Onset and Completion , for this particular epiphysis .",0.8965931423299034
composition.n.08,"Brown ( 1959 ) has reviewed generally the various methods of assaying TSH , and the reader is referred to her paper for further information on the subject .",0.86473769164294
composition.n.08,The case described in this paper is that of an older man who developed disabling muscular weakness while receiving a variety of steroids for a refractory anemia .,0.9154176118758853
composition.n.08,"The visceral brain as well as the neocortex is known to contribute to memory , but this topic is beyond the scope of this paper .",0.9133831301375829
composition.n.08,"Dr. A. V. Astin , NBS Director , opened the 5 - day session with introductory remarks , following which a total of twenty-six papers were given throughout the week by NBS scientists , from both the Washington and Boulder Laboratories .",0.7306166375337889
composition.n.08,A second explanation is suggested by the material described in Rowlands ' paper .,0.893448296812074
composition.n.08,One other paper deals with a phonologic problem :,0.8964676835847125
composition.n.08,But it would seem more intended as a tract advocating the prosodic theory than a paper directed to the specific problems of Igbo phonology .,0.819454833291019
composition.n.08,"The paper has a certain value as a comparatively easy introduction to this approach , particularly since it treats a fairly simple and straightforward phenomenon where it is possible to compare it with a more traditional ( though not structural ) statement .",0.9186174492220593
composition.n.08,"The purpose of this paper is to analyze one possible force which has not been treated in the literature , but which we believe makes a significant contribution to explaining the wage price behavior of a few very important industries .",0.9357813616412829
composition.n.08,"While there may be several such industries to which the model of this paper is applicable , the authors make particular claim of relevance to the explanation of the course of wages and prices in the steel industry of the United States since World War 2 , .",0.9256979137043682
composition.n.08,"The model of this paper considers an industry which is not characterized by vigorous price competition , but which is so basic that its wage price policies are held in check by continuous critical public scrutiny .",0.9275494103744663
composition.n.08,"The contribution of this paper is a demonstration of this proposition , and an exploration of some of its implications .",0.9361145348742859
