sense,sentence,centroid_cs
number.n.01,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",0.6296631531282856
number.n.01,People who take us for suckers are like the Westerner who had on exhibit his superior marksmanship in the form of a number of bull's-eye achievements .,0.7889905014892663
number.n.01,"Anyway , a number of them meet here in devastating collisions .",0.7458296842020262
number.n.01,London explains that the very distinct directional effect in the Phase 4 series is due in large part to their novel methods of microphoning and recording the music on a number of separate tape channels .,0.8144222470396779
number.n.01,"An examination of some forty catalogs of schools offering courses in interior design , for the most part schools accredited by membership in the National Association of Schools of Art , and a further `` on the spot '' inspection of a number of schools , show their courses adhere pretty closely to the recommendations .",0.7335549693803438
number.n.01,In all `` degree '' courses in interior design a number of `` academic '' or `` general studies '' courses are included .,0.7719977266591341
number.n.01,"And while every writer must be dealt with as a special case , the interested student will want to ask himself a number of questions about each .",0.7975347642002871
number.n.01,"Melies , however , out of his professional instincts as a magician , discovered and made use of a number of illusionary techniques that remain part of the vocabulary of film .",0.7693960271582653
number.n.01,"It is worth dwelling in some detail on the crisis of this story , because it brings together a number of characteristic elements and makes of them a curious , riddling compound obscurely but centrally significant for Mann 's work .",0.7331845257853936
number.n.01,"In order to reduce the number of variable parameters , all experiments were made with a constant arc length of 0.5 '' and a current of 100 Amp .",0.7788889708034386
number.n.01,"A number of semiempirical estimates by various workers lead to the conclusion that the **f bond becomes symmetric when the **f bond length is about 2.4 to 2.5 A , but aside from the possible example of nickel dimethylglyoxime there have been no convincing reports of symmetric **f bonds .",0.7448528756367863
number.n.01,"In addition , many of the hard surface cleaners used for walls and woodwork had their genesis in trisodium orthophosphate , which is still the major ingredient of a number of such products .",0.7355018576082116
number.n.01,"Since practical washing procedures are both lengthy and expensive , a number of laboratory tests have been developed for the numerical evaluation of detergents .",0.7586530541483002
number.n.01,The importance of the inorganic constituents in hard surface cleaning has been emphasized in a number of papers .,0.7477972041555752
number.n.01,"Although there is no question but that the process of washing fabrics involves a number of phenomena which are related together in an extremely complicated way and that these phenomena and their interrelations are not well understood at the present , this section attempts to present briefly an up-to-date picture of the physical chemistry of washing either fabrics or hard surfaces .",0.7640912865683022
number.n.01,"Upon consideration of the variety of soils and fabrics normally encountered in the washing process , it is little wonder that the use of a number of detergent constituents having `` synergistic '' properties has gained widespread acceptance .",0.814109774027888
number.n.01,The flux values are for all particles with masses greater than the given mass and are based on an estimate of the numbers of visual meteors .,0.7811550656038336
