sense,sentence,centroid_cs
plan.n.01,Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .,0.7214344649010496
plan.n.01,A Highway Department source said there also is a plan there to issue some $ 3 million to $ 4 million worth of Rural Roads Authority bonds for rural road construction work .,0.8071702538817541
plan.n.01,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .",0.8031164341116188
plan.n.01,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections .",0.8022671922245652
plan.n.01,"Under Formby 's plan , an appointee would be selected by a board composed of the governor , lieutenant governor , speaker of the House , attorney general and chief justice of the Texas Supreme Court .",0.7873307369207647
plan.n.01,"One or two of the schools have a five year curriculum , but the usual pattern of American education has limited most of them to the four year plan which seems to be the minimum in acceptable institutions .",0.7542324148691969
plan.n.01,"This something leads to a conception of an over-all Social Plan with a meaning interpretable in terms of ultimate ends ; for example , a plan that fulfills the will of God , which advances the Kingdom of God , which involves social life as part of the Grand Design .",0.8242460824745426
plan.n.01,By this time there is little doubt but what election plans were complete .,0.843698437075606
plan.n.01,A week later the Daily Journal had discovered the initial plans of some Providence citizens to hold a meeting honoring John Brown on the day of his execution .,0.8009470157389058
plan.n.01,"Plans went in and out of Lublin , indicating German confusion .",0.7901042122421088
plan.n.01,A tale of a plan to ship all Jews to the island of Madagascar .,0.7700517663296464
plan.n.01,He told her of the visitors and then of his plans .,0.7969516140153323
plan.n.01,Have you any objection to the following plan ?,0.8580652972851758
plan.n.01,We would write to one another and make a definite plan .,0.843579428898498
plan.n.01,Suppose at this very moment her father was calling my house in an effort to cancel the plans ?,0.7684126512820749
plan.n.01,Part of the time saved was spent on a preliminary estimate for a long-distance plan to free bound oxygen in the sands of Mars to make the planet more friendly to future human generations .,0.8402114887193723
plan.n.01,The Old Ones neither helped nor hindered this plan ; time was not yet .,0.8036515644740257
plan.n.01,His plan and intent were clearly charted .,0.7865467992810792
plan.n.01,We have seen good new products shelved because no one had the assignment to develop such facts and plans - and management could n't make up its mind .,0.8438375939296979
plan.n.01,Are annual marketing plans reviewed throughout your management group to get the perspective of all individuals and get everyone on the marketing team ?,0.8137036912856394
plan.n.01,Some plants go overboard on one type of fringe - say a liberal retirement plan - and find themselves vulnerable elsewhere .,0.808198623421584
plan.n.01,Make sure you have minimum age and time on the job requirements tied into your pension plan .,0.7465612189344624
plan.n.01,Choose carefully between contributory or non contributory pension plans .,0.700457012252835
plan.n.01,Workers usually think more of a plan they contribute to .,0.8529646724253789
plan.n.01,A non contributory plan usually won n't pay off for the worker until he retires .,0.8458276443417732
plan.n.01,"To do this , set up a plan on paper for operating the farm .",0.8201810777212568
plan.n.01,"In other words , the promulgators of the murder plan made clear that physically exterminating the Jews was but an extension of the anti-Semitic measures already operating in every phase of German life , and that the new conspiracy counted on the general anti-Semitism that had made those measures effective , as a readiness for murder .",0.8095801471388415
plan.n.01,"Since the magnitude of the plan made secrecy impossible , once the wheels had began to turn , persons controlling German industries , social institutions , and armed forces became , through their anti-Semitism or their tolerance of it , conscious accomplices of Hitler 's crimes ; whether in the last degree or a lesser one was a matter to be determined individually .",0.7842094082531454
