sense,sentence,centroid_cs
reason.n.02,"Each high note had the crowd in ecstasy so that it stopped the show midway in the `` Mad Scene '' , but the real reason was a realization of the extraordinary performance unfolding at the moment .",0.7977765103928913
reason.n.02,"While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church .",0.9180979173743652
reason.n.02,The Russian gymnasts beat the tar out of the American gymnasts in the 1960 Olympics for one reason - they were better .,0.8244770935951101
reason.n.02,Another reason gymnastic study is valuable is that it can be started very early in life .,0.8414908685563726
reason.n.02,"The `` chase '' as a standard film device probably dates from The Great Train Robbery , and there is a reason for the continued popularity of the device .",0.8529209917977514
reason.n.02,I suppose the reason is a kind of wishful thinking : do n't talk about the final stages of Reconstruction and they will take care of themselves .,0.8206662564685361
reason.n.02,"Although the tape was run for over 1 hr. , a steady state was not reached , and it was concluded that the reason for this was that the back pressure of the manometer was built up from the material fed from between the blocks and this was available at a very slow rate .",0.8375697367299331
reason.n.02,The extrapolation may be in error for several reasons .,0.7862756476787192
reason.n.02,The major reason for this is that it has no quick kill effect .,0.8878173066488914
reason.n.02,"The anaconda proves to be the fly in the ointment , but the reason for this is not clear ; the relatively wild conditions still found in tropical South America might be responsible .",0.8544963852920977
reason.n.02,A reason for such wide variation in the pulmonary morphology is entirely lacking at present .,0.8536030084203435
reason.n.02,The reason for the failure of these treatments to eliminate nonspecific staining in the conjugates in our system is not known .,0.8210227590785555
reason.n.02,"Consequently , if for any reason the hypothalamic excitability falls below the physiological level , the lessened hypothalamic cortical discharges lead to a diminished state of activity in the cortex with consequent reduction in the cortico-fugal discharges .",0.739952724172771
reason.n.02,More stands on the margins of modernity for one reason alone - because he wrote Utopia .,0.8336975894380781
reason.n.02,"Time plays an essential part in our mortality , and suddenly for no reason he could imagine ( or admit ) the image of Peg laughing filled his mind - so desirable , so lusty , so full of nuances of pleasure and joy .",0.6577335584937759
reason.n.02,It is for this reason that Roy avoids selecting subjects that require specific recognition of place for their enjoyment .,0.7583602384174392
reason.n.02,There are a half dozen reasons helping to account for the migration to the campgrounds .,0.7958894321095327
reason.n.02,"This is true for two reasons : because Communism is both doctrinally , and in practice , antithetical to these conditions ; and because Communists have the will and , as long as Soviet power remains intact , the capacity to prevent their realization .",0.808475235624869
reason.n.02,One of the reasons for the high percentage of Jewish teen-agers in college is that a great many urban Jews are enabled to attend local colleges at modest cost .,0.8819223629021844
reason.n.02,The reason is that there is a lack of interest on the part of the community .,0.8551140906422668
reason.n.02,"For this reason , he appears as an independent and self-reliant figure , whose rugged individualism need not be pressed into the mold of a 9 to 5 routine .",0.7755975626857017
reason.n.02,"In fact , one of the major reasons for the failure of the ill-starred expedition appears to have been a lack of full information on the extent to which Cuba has been getting this Russian military equipment .",0.8687686544991466
reason.n.02,"The reason for the value of this procedure was simply that the applicants were tested `` at work '' in different situations by the judgment of a number of experts who could see how the salesmen conducted themselves with different , but typical restaurant owners and managers .",0.8772650832579415
reason.n.02,"In my experience , a great many of the patient 's more puzzling verbal communications are so for the reason that concrete meanings have not become differentiated from figurative meanings in his subjective experience .",0.7578716642875662
reason.n.02,"But there is every reason to regard deal as a monosyllable , and because of the fact that / l / commonly has the quality of / / when it follows vowel sounds , deal seems to be a perfectly satisfactory rhyme with real .",0.7698635429771218
reason.n.02,"Thus , for non negative changes in the basic wage rate , the industry becomes the active wage setter , since any increase in the basic wage rate can occur only by reason of industry acquiescence .",0.607179149910072
reason.n.02,But for some fool reason he could n't remember which men he 'd put on the transfer detail .,0.6835743694221262
reason.n.02,That 's one of the reasons art is becoming a useless occupation .,0.7811470764395713
reason.n.02,"And then again perhaps the reason why he could n't find time to do any of the things he had planned to do after retirement : reading , roaming , gardening , lying on his back and watching the clouds go by , was because he did n't want to do them .",0.8560339411975417
reason.n.01,"Solly Hemus announced a switch in his starting pitcher , from Bob Gibson to Ernie Broglio , for several reasons :",0.6918455702009002
reason.n.01,"In arguing in this way , we are obviously taking for granted that a demythologized restatement of the kerygma can be achieved ; and that we firmly believe this will presently become evident when we set forth reasons to justify such a conviction .",0.7542494252263241
