sense,sentence,centroid_cs
switch.v.04,It was a relief to shift in his mind to technical problems .,0.7662075156812003
switch.v.04,"To make it clearer he shifted to acting out , but with no change of manner , the killing of Rose Mallory .",0.7333952639688297
switch.v.04,"Jubal could n't reconstruct the crime from the way the girls behaved because patterns kept shifting - ABC vs D , then BCD vs A & & & or AB vs CD , or AD vs CB , through all ways that four women can gang up on each other .",0.7880383482228959
switch.v.04,The substantial progress being made in ballistic missile technology is rapidly shifting the main threat from manned bombers to missiles .,0.7824011287041801
switch.v.04,"However , the positions of all parties and leaders were constantly shifting .",0.7867645321441776
switch.v.04,"The effect of Chou En-lai 's clash with Khrushchev , together with the everlasting attacks on Molotov + Co. , has shifted the whole attention of the world , including that of the Soviet people , from the `` epoch-making '' twenty-year program to the present Soviet-Chinese conflict .",0.7601527730270534
switch.v.04,"In 1453 when the last vestige of ancient Roman power fell to the Turks , the city officially shifted religions - although the Patriarch , or Pope , of the Orthodox Church continued to live there , and still does - and became the capital of the Ottoman Empire .",0.753615155454319
switch.v.04,"Over a relatively short period of time , usually about four to twelve weeks , the worker must be able to shift the focus , back and forth , between immediate external stressful exigencies ( `` precipitating stress '' ) and the key , emotionally relevant issues ( `` underlying problem '' ) which are , often in a dramatic preconscious breakthrough , reactivated by the crisis situation , and hence once again amenable to resolution .",0.8059237758708245
switch.v.04,One prediction had been made about the difference in security or self-confidence between those subjects who shifted their Kohnstamm reactivity when informed and those who did not .,0.8288181943940367
switch.v.04,It was predicted that those who shifted in their Kohnstamm reactivity would differ significantly from those who did not on the factor I which the investigators refer to as the `` Inferiority '' factor .,0.8544138908544476
switch.v.04,"All of the subjects in the Kohnstamm-negative and Kohnstamm-positive groups ( as defined for purposes of the personality studies ) were compared with those subjects who shifted in Conditions 3 , or 4 , .",0.8550867375319523
switch.v.04,There were 24 % ( 10 subjects ) who shifted from a negative to a positive reaction after they were reassured as to the normalcy of the Kohnstamm-positive reaction .,0.8657027056258335
switch.v.04,A suggestion hypothesis also seems inadequate as an explanation for those who shifted their reactions after they were informed of the possibilities of `` normal '' reactions different from those which they gave .,0.8693514045653332
