sense,sentence,centroid_cs
build_up.v.02,"So right away Claude introduced Henri to his famous `` moon '' bench and proceeded to teach him his first Push-Pull Super-Set consisting of the wide grip Straight-Arm Pullover ( the `` pull '' part of the Push-Pull Super-Set ) which dramatically widens the rib cage and strongly affects the muscles of the upper back and chest , and the collar-to-collar Bench Press which specifically works on the chest to build those wide , Reeves-type `` gladiator '' pecs , while stimulating the upper lats and frontal deltoids .",0.81470448410411
build_up.v.02,You need the barbell variation to build width and mass in the pecs .,0.8142009702841086
build_up.v.02,"So with four complete Push-Pull Super-Sets No. 1 , four of No. 2 , four of No. 3 and four to six sets of the Incline Bench Press , you can see that Henri de Courcy has had a terrific mass building , muscle shaping , torso defining workout that cannot be improved upon .",0.7421248614369692
build_up.v.02,"Steinberg seems to have gone directly back to the score , discounting tradition , and has built his performance on the intention to reproduce as faithfully as possible exactly what Brahms set down on paper .",0.7368908920482699
build_up.v.02,This kind of irresponsibility toward their students can scarcely build a strong professional attitude in the future designer .,0.8157880253925772
build_up.v.02,Will advances in human sciences help us build social structures and governments which will enable us to cope with people as effectively as the primitive combination of protein and nucleic acid built a structure of molecules which enabled it to adapt to a sea of molecular interaction ?,0.7802525167302619
build_up.v.02,"Then he was striding across the room , his thoughts confused but the worry building swiftly inside him as he snatched up the note .",0.6922634690882011
build_up.v.02,"The collection may be in an existing library , or it may be built up in a central collection .",0.7547859132857615
build_up.v.02,"According to the original program , Premier Khrushchev expected the millions looking toward the Kremlin this morning to be filled with admiration or rage - depending upon individual or national politics - because of the `` bold program for building communism in our time '' which the Congress will adopt .",0.806861782478481
build_up.v.02,"But like all despots , as he builds his following from among the gullible , he grows more threatening toward those who won n't follow - such solid citizens as Doc Raccoon ; Judge Black , the vegetarian black snake ; and the eagle , who leads the bird community when he is not too busy in Washington posing for fifty-cent pieces .",0.7379051198771962
build_up.v.02,"The `` Suite of Old Russian Dances '' that opened that inaugural program with the slow and modest entrance of the maidens and built steadily into typical Moiseyev vigor and warmth ; the amusing `` Yurochka '' , in which a hard-to-please young man is given his come-uppance ; the lovely ( and of course vigorous ) `` Polyanka '' or `` The Meadow '' ; the three Moldavian dances entitled `` Zhok '' ; the sweet and funny little dance about potato planting called `` Bul ' ba '' ; and the hilarious picture of social life in an earlier day called `` City Quadrille '' are all just as good as one remembers them to have been , and they are welcome back .",0.7795448376739068
construct.v.01,"While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church .",0.8447448877878275
construct.v.01,"We must build a corps of highly professional teachers of interior design who have had education , experience in the profession and are willing to take on the usual accompaniments of teaching - minimal income and minimal status among their confreres .",0.7531171241295201
construct.v.01,"Time is built into the motion picture , which cannot exist without time .",0.6827758125413584
construct.v.01,"As cells coalesced into organisms , they built new `` unnatural '' and internally controlled environments to cope even more successfully with the entropy increasing properties of the external world .",0.7705043867564828
construct.v.01,The useful suggestion of Professor David Hawkins which considers culture as a third stage in biological evolution fits quite beautifully then with our suggestion that science has provided us with a rather successful technique for building protective artificial environments .,0.8400959150581289
construct.v.01,Will advances in human sciences help us build social structures and governments which will enable us to cope with people as effectively as the primitive combination of protein and nucleic acid built a structure of molecules which enabled it to adapt to a sea of molecular interaction ?,0.7285314111685492
construct.v.01,The major effect of these advances appears to lie in the part they have played in the industrial revolution and in the tools which scientific understanding has given us to build and manipulate a more protective environment .,0.8066080828240753
construct.v.01,"On this , she builds an `` egg compartment '' or `` egg cell '' which is filled with that famous pollen and nectar mixture called beebread .",0.7666432894973296
construct.v.01,She also builds one or two waxen cups which she fills with honey .,0.7027732056762352
construct.v.01,"Feelings of a community of interest will have to be recreated - in some of the new nations , indeed , they must be built for the first time - on a new basis which looks toward the future and does not rely only on shared memories of the past .",0.7845474021737769
construct.v.01,as new homes were built they were connected so that all residences south of School Street are served by it .,0.7607307409223506
construct.v.01,"In 1846 Matthew B. Goodwin , jeweler and watchmaker , became the town 's first telegrapher in a dwelling he built for himself and his business `` two doors north of the Equinox House '' or `` one door north of the Bank , Manchester , Vermont '' .",0.7219488337607952
construct.v.01,"And without high density in the core , rapid-transit systems cannot be maintained economically , let alone built from scratch at today 's prices .",0.8419416568636674
construct.v.01,"To the extent that the problem is merely parking , an aggressive downtown management , like that of Lazarus Brothers in Columbus , Ohio , can fight back successfully by building a garage on the lot next door .",0.8446986405350929
construct.v.01,"The first superhighways - New York 's Henry Hudson and Chicago 's Lake Shore , San Francisco 's Bay Bridge and its approaches , a good slice of the Pennsylvania Turnpike - were built as part of the federal works program which was going to cure the depression .",0.7742465626467325
construct.v.01,"At the same time , Roosevelt 's Federal Housing Administration , coupled with Henry Morgenthau 's cheap-money policy , permitted ordinary lower-middle-class families to build their own homes .",0.8453585468481319
construct.v.01,This was one of the Irish women who had built their own huts down near the river .,0.8208328690707178
construct.v.01,"Together he and Argiento built the stand , covering it with blankets .",0.7753235929856509
construct.v.01,Globocnik built the Death's-Head Corps .,0.7669266476227142
construct.v.01,"Maybe yes , maybe no , but you can observe everything from the roof of a barrack we are building '' .",0.7559564975843016
construct.v.01,"`` We found some owls had built a nest in the chimney , milord , but I promise you you 'll never have trouble of that sort again '' .",0.7010251269679401
construct.v.01,"It was built by the Pasterns , and stands on the acre of ground that adjoins our property .",0.7479577718741395
construct.v.01,"He turned from the flying trees to look ahead and saw with an inward boy 's eye again the great fieldstone house which , built on one of the many acres of ancestral land bordering the west harbor , had been Izaak 's bride-gift to his cousin wife as the last century ended .",0.7223994445407381
construct.v.01,"He could no longer build anything , whether a private residence in his Pennsylvania county or a church in Brazil , without it being obvious that he had done it , and while here and there he was taken to task for again developing the same airy technique , they were such fanciful and sometimes even playful buildings that the public felt assured by its sense of recognition after a time , a quality of authentic uniqueness about them , which , once established by an artist as his private vision , is no longer disputable as to its other values .",0.8369587858819527
construct.v.01,On Mars humans were building pressure domes for the male and female party that would arrive by next ship .,0.8427644051954909
construct.v.01,"Nor did the Trial devote much attention to exposing the usefulness of anti-Semitism to the Nazis , both in building their own power and in destroying that of rival organizations and states .",0.7371202381655821
construct.v.01,Here they built huts and a stockade named Fort Daer after Selkirk's barony in Scotland .,0.8004544899241229
construct.v.01,"On Big Stone Lake near the headwaters of the Red River , Robert Dickson , Superintendent of the Western Indian Department of Canada , had a trading post and planned in 1818 to build a fort to be defended by twenty men and two small artillery pieces .",0.8431982921604452
construct.v.01,"At the point where they ended , another settlement grew up around a chapel built at the boat landing by Father Lucian Galtier in 1840 .",0.7722115340237113
construct.v.01,"In the vulnerable areas of the Pacific there should be restrictions against building homes on exposed coasts , or at least a requirement that they be either raised off the ground or anchored strongly against waves .",0.7990570883240916
construct.v.01,Strindberg 's remedy for this condition was to tear down the old structures and build anew from the ground up .,0.8016304823102148
construct.v.01,Here we may observe that at least one modern philosophy of history is built on the assumption that ideas are the primary objectives of the historian 's research .,0.6055637095696729
construct.v.01,"Military experts say a tight naval blockade off Cuban ports and at the approaches to Cuban waters would require two naval task forces , each built around an aircraft carrier with a complement of about 100 planes and several destroyers .",0.6617396746393674
construct.v.01,"An outdoor , aboveground fallout shelter also may be built with concrete blocks .",0.7662437447614643
construct.v.01,Most people would have to hire a contractor to build this shelter .,0.8610141034039995
construct.v.01,"This shelter could be built in regions where water or rock is close to the surface , making it impractical to build an underground shelter .",0.8526218836861559
construct.v.01,"This shelter could be built in regions where water or rock is close to the surface , making it impractical to build an underground shelter .",0.8526218836861559
construct.v.01,The walls are held together with metal ties placed in the wet mortar as the walls are built .,0.7881364515888307
construct.v.01,A contractor probably would be required to help build it .,0.8264985562344831
