sense,sentence,centroid_cs
measure.n.01,It urged that the city `` take steps to remedy '' this problem .,0.6763896145878139
measure.n.01,"Modern man , as Dietrich Bonhoeffer has told us , has `` come of age '' ; and though this process by no means represents an unambiguous gain and is , in fact , marked by the estrangement from the depths that seems to be the cost of human maturation , it is still a positive step forward ; and those of us who so richly benefit from it should be the last to despise it .",0.8236256269411196
measure.n.01,"In any event , it is an irreversible step , and if we are at all honest with ourselves , we will know we have no other alternative than to live in the world in which God has seen fit to place us .",0.8310060291195489
measure.n.01,In affirming this we have already taken the decisive step in breaking the deadlock into which Bultmann 's attempt to formulate such a theology has led .,0.8197202677910272
measure.n.01,"By 800 social and cultural security had been achieved , at least on a simple plane ; it was time to take bigger steps , to venture on experiments .",0.774657359249464
measure.n.01,"The final step was a vote for a $ 230000 bond issue for the construction of a sewage system by the 1959 town meeting , later confirmed by a two-thirds vote at a special town meeting June 21 , 1960 .",0.8438607141811026
measure.n.01,The next step was construction by the Manchester Light and Power Company of a plant on the west bank of the Battenkill south of Union Street bridge .,0.8157818459750031
measure.n.01,"It was for this reason , and no other that I can see , that in September 1912 , Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint .",0.7118858925775369
measure.n.01,He assumed his academic career with the same intensity and thoroughness that had marked every step in his rise from boyhood .,0.7307580508891197
measure.n.01,"If companies will take the time to give objective consideration to their major problems and to the questions they provoke , then a long constructive step will have been taken toward more effective marketing in next decade .",0.851496524727262
measure.n.01,"`` To get a marriage back where it belongs '' , comments Dr. Schillinger of the Lincoln Institute , `` the husband must take some very basic steps .",0.8201083211147704
measure.n.01,The second step is to recognize the substantial agreement - frequently blurred by emotionalism and inaccurate newspaper reporting - already existing between Catholics and non-Catholics concerning the over-all objectives of family planning .,0.8478606841123824
measure.n.01,"The civil and military authorities are then advised of the danger , and they issue warnings and take all necessary protective steps .",0.7684810544157346
measure.n.01,"This ignorant estimate , I repeat , is not of any interest in itself ; but it becomes very important if foreign peoples react the way human beings typically do - namely , by taking steps to end up on what appears to be the winning side .",0.7159244169897698
measure.n.01,That 's a big step toward a modern state .,0.787896182846641
measure.n.01,"When we `` forced '' individuals to assume the corporate structure by means of taxes and other legal statutes , we adopted what I would term `` pseudo capitalism '' and so took a major step toward socialism .",0.8350750339052833
