sense,sentence,centroid_cs
system.n.02,"The system is composed of three credit services , Federal Land Banks and National Farm Loan Associations , Federal Intermediate ( short-term ) Credit Banks , and Banks for Cooperatives .",0.7964930335765037
system.n.02,"This system provides long - and short-term credit to farmers and their cooperative marketing , purchasing , and business service organizations .",0.8104513558784328
system.n.02,"As a source of investment capital , the system is beneficial to local communities and encourages the development of industries in rural areas .",0.8309603323258793
system.n.02,The credit provdied by the first two services in the system outlined above is primarily for general agricultural purposes .,0.8514144875683356
system.n.02,"In the present work whole sera have been fractionated by chromatography on DEAE-cellulose using single gradients similar to those described by Sober and Peterson , and certain chemical and serological properties of the fractions containing antibodies of the ABO and Rh systems have been described .",0.7301486301784056
system.n.02,"Where such a value system prevails , it always unifies all who possess it ; it enables members of the society to operate as a system .",0.7787181650270485
system.n.02,"In the absence of a reservoir of political consensus each organized political group hopes that the elections will give them new prominence , but in a system where there is as yet no place for the less prominent .",0.7890762633070764
system.n.02,"And without high density in the core , rapid-transit systems cannot be maintained economically , let alone built from scratch at today 's prices .",0.7664109043468166
system.n.02,"But , I'm telling you , it 'll be turned down - you do n't understand the System yet .",0.8341033226210568
system.n.02,Consider adopting a system of holidays in which time off is granted with an eye to minimum inconvenience to the operation of the plant .,0.7347303882187852
system.n.02,"Not only is this kind of duplication wasteful , but it gives the combined system the ability to take freight traffic away from the New York Central and other railroads serving the area .",0.7454913958531193
system.n.02,"`` The logic of creating a strong , balanced , competitive two system railroad service in the East is so obvious that B. + O. was publicly committed to the approach outlined here .",0.6877230796716588
system.n.02,The dictionary system is in no way dependent upon such summarization or designed around it .,0.8260255242207069
system.n.02,Tone analysis will continue to be difficult and unsatisfactory until a more representative selection of systems is familar to every practicing field linguist .,0.7958919725653338
system.n.02,Morphophonemic rules may be thought of as joining certain points in the system .,0.8284905274751474
system.n.02,"Phonemes connected by a morphophonemic rule commonly show a good bit of phonetic similarity , possible because of the several dimensions of contrast in the system .",0.7839178888833443
system.n.02,The difficulty of analysis of any subsystem in the phonology is an inverse function of the size - smaller systems are more troublesome - for any given degree of morphophonemic complexity .,0.7358276104929125
system.n.02,The statement of the system is a different matter .,0.8655633037357648
system.n.02,Smaller systems can of course be stated much more succinctly .,0.8269604991249739
system.n.02,Many of the suggested systems seem to have only the most tenuous relationship to the language structures that they purport to represent .,0.8225566806738269
system.n.02,It does show one feature of the system that has not been previously described .,0.8659599147846382
system.n.02,"This weakness is not unique to labor surplus areas , for it is inherent in the system of local school districts in this country .",0.7809710408934343
system.n.02,In municipal systems we tend to view what is called positivism as fundamentally a movement to democratize policy by increasing the power of parliament - the elected representatives - at the expense of the more conservative judiciary .,0.738977303676146
system.n.03,"If * * f is the change per unit volume in Gibbs function caused by the shear field at constant P and T , and |r is the density of the fluid , then the total potential energy of the system above the reference height is * * f .",0.7947516816222511
system.n.03,"The total volume of the system above the reference height is * * f , and h can be eliminated to obtain an equation for the total potential energy of the system in terms of H .",0.8247340648517436
system.n.03,"The total volume of the system above the reference height is * * f , and h can be eliminated to obtain an equation for the total potential energy of the system in terms of H .",0.8247340648517436
system.n.03,"In an essentially static system , an oil cannot be replaced by water on a surface unless the interfacial tensions of the water phase are reduced by a surface-active agent .",0.8398064448392955
system.n.03,"However , the formation of organically bound iodine , mainly mono-iodotyrosine , can be accomplished in cell-free systems .",0.8735528343906483
system.n.03,"This iodoprotein does not appear to be the same as what is normally present in the thyroid , and there is no evidence so far that thyroglobulin can be iodinated in vitro by cell-free systems .",0.8629802088841517
system.n.03,"If tyrosine and a system generating hydrogen peroxide are added to a cell-free homogenate of the thyroid , large quantities of free mono-iodotyrosine can be formed ( Alexander , 1959 ) .",0.7955856774218111
system.n.03,"It is not clear whether this system bears any resemblance to the in vivo iodinating mechanism , and a system generating peroxide has not been identified in thyroid tissue .",0.8177427516369625
system.n.03,"It is not clear whether this system bears any resemblance to the in vivo iodinating mechanism , and a system generating peroxide has not been identified in thyroid tissue .",0.8177427516369625
system.n.03,"The mechanism of this coupling has been studied in some detail with non-enzymatic systems in vitro and can be simulated by certain di-iodotyrosine analogues ( Pitt-Rivers and James , 1958 ) .",0.8851509988682202
system.n.03,"Its synthesis has not been demonstrated in cell-free systems , nor has its synthesis by systems with intact thyroid cells in vitro been unequivocally proven .",0.9070360232501998
system.n.03,"Its synthesis has not been demonstrated in cell-free systems , nor has its synthesis by systems with intact thyroid cells in vitro been unequivocally proven .",0.9070360232501998
system.n.03,"Such treatments of the conjugates have usually been successful in eliminating nonspecific staining in several other systems ( Coons , 1958 ) .",0.8114624031926664
system.n.03,The reason for the failure of these treatments to eliminate nonspecific staining in the conjugates in our system is not known .,0.7738051311265347
system.n.01,"You will need a stereo music system , with speakers preferably placed at least seven or eight feet apart , and one or more of the new London `` Phase 4 '' records .",0.8077043037748843
system.n.01,"Pass in Review practically guarantees enjoyment , and is a dramatic demonstration of the potentialities of any stereo music system .",0.8062866944055138
system.n.01,The magnetic resonance absorption was detected by employing a Varian model **f broad line spectrometer and the associated 12 - inch electromagnet system .,0.823688827770008
system.n.01,Matheson highest purity tank chlorine was passed through a tube of resublimed * * f into an evacuated Pyrex system where it was condensed with liquid air .,0.8434616735964229
system.n.01,This chlorine carbon tetrachloride solution was illuminated for a day following which the flask was resealed onto a vacuum system and the excess chlorine distilled off .,0.7631342891315439
system.n.01,Relative incident light intensities were measured with a thermopile potentiometer system .,0.8278650374898018
system.n.01,"At any rate , Manchester did not lag far behind the first commercial system which was set up in 1844 between Baltimore and Washington .",0.7852056572820318
system.n.01,"Manchester then had two competing power companies until 1904 , when the Manchester Light and Power Company purchased the transmission system of the Vail Company .",0.8165923383093954
system.n.01,"For a time following the abandonment of the local plant , electric current for Manchester was brought in from the south with an emergency tie-in with the Vermont Marble Company system to the north .",0.7768604347098668
system.n.01,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.8091537308656367
system.n.01,"Since experience indicates that effluents from oxidation ponds do not create major problems at these BOD concentrations , the goal for the effluent quality of the accelerated treatment system was the same as from conventional oxidation ponds .",0.8495689340205406
system.n.01,The lack of adequate data on the aerated lagoon system prompted the developer to construct an aerated lagoon pilot plant to determine its feasibility for treating domestic sewage .,0.8366027025765158
system.n.01,The major contributor was a shopping center with houses being added to the system as the subdivision developed .,0.7268934018024664
system.n.01,It seems that the aerated lagoon was a very heavily loaded oxidation pond or a lightly loaded activated sludge system .,0.8371396348852822
system.n.01,It was found that the aerated lagoon was an activated sludge system rather than an oxidation pond .,0.8214280123299611
system.n.01,At each angle of its pitch a big skylight had been fitted into the roof and all these skylights were fitted with systems of multiple screens and shades .,0.772660808587032
system.n.01,Fig. 1 is a simplified block diagram of the ultraviolet microscopy system developed at the Medical Electronics Center of Rockefeller Institute .,0.8487147722445901
system.n.01,This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system .,0.8230706679824981
system.n.01,This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system .,0.8230706679824981
system.n.01,This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system .,0.8230706679824981
system.n.01,A still more sophisticated system has been devised for determining the effective power of the heart itself .,0.7934874707860042
system.n.01,"Outputs of the two systems are measured by a pulse timing circuit and a resistance bridge , followed by a simple analogue computer which feeds a multichannel recorder .",0.786733867929398
system.n.01,"If the house is not wired adequately for electricity or if plumbing or a central heating system must be installed , check into the cost of making these improvements .",0.7614679353880947
system.n.01,The tsunami warning system developed since the 1946 disaster in Hawaii relies mainly on a simple and ingenious instrument devised by Commander C. K. Green of the Coast and Geodetic Survey staff .,0.8299472227596519
system.n.01,"The moment the alarm goes off , information is immediately forwarded to Honolulu , which is the center of the warning system .",0.8175697168052015
system.n.01,The warning system immediately went into action .,0.7843136893546876
system.n.01,There is little doubt that the warning system saved lives and reduced the damage .,0.7955450193106767
system.n.01,"But it is plain that a warning system , however efficient , is not enough .",0.852791496115535
system.n.01,"By monitoring , we mean some system of control over the types of information sent from the various centers .",0.8025389957464238
system.n.01,"Thus the cocktail party would appear to be the ideal system , but there is one weakness .",0.764696523319294
system.n.01,"For the occasion on which everyone already knows everyone else and the host wishes them to meet one or a few honored newcomers , then the `` open house '' system is advantageous because the honored guests are fixed connective points and the drifting guests make and break connections at the door .",0.759645287965908
system.n.01,"The connective system , or network , is tailored to meet the requirements of the objective , and it is therefore not surprising that a military body acting as a single coordinated unit has a different communication network than a factory , a college , or a rural village .",0.8528901216327509
system.n.01,"In one of these , an exploding wire device to study systems thermodynamically up to 6000 * * f and 100 atmospheres pressure , a major goal was achieved .",0.7317803711135716
system.n.01,These revenues make it possible to provide essential freight and passenger service over the entire New York Central system as well as the New York area commuter and terminal freight services .,0.5782341157409849
system.n.01,"In the light of the facts at hand , however , New York Central intends to pursue the objective of helping to create a healthy two system eastern railroad structure in the public interest `` .",0.5705299711542652
system.n.01,"In total , these increases in operating costs outweigh the savings that result from declining programs and from economy measures , such as reduced numbers of units and installations , smaller inventories of major equipment , and improvements in the supply and distribution systems of the Armed Forces .",0.7734312080547157
system.n.01,"Legislation has already been proposed to authorize the sale of these Government owned systems in Alaska , and its early enactment is desirable .",0.7836840780222654
system.n.01,"Furthermore , unexpectedly rapid progress or a technological break-through on any one weapon system , in itself , often diminishes the relative importance of other competitive systems .",0.747643563000543
system.n.01,"Considering the high cost of the F-108 system - over $ 4 billion for the force that had been planned - and the time period in which it would become operational , it was decided to stop further work on the project .",0.7624028535970045
system.n.01,"The cost of developing a major weapon system is now so enormous that the greatest care must be exercised in selecting new systems for development , in determining the most satisfactory rate of development , and in deciding the proper time at which either to place a system into production or to abandon it .",0.7548032938881888
system.n.01,"The cost of developing a major weapon system is now so enormous that the greatest care must be exercised in selecting new systems for development , in determining the most satisfactory rate of development , and in deciding the proper time at which either to place a system into production or to abandon it .",0.7548032938881888
system.n.01,"This aircraft , which was planned for initial operational use about 1965 , would be complementary to but likewise competitive with the four strategic ballistic missile systems , all of which are scheduled to become available earlier .",0.7335412942986721
system.n.01,"By 1965 , several or all of these systems will have been fully tested and their reliability established .",0.8327464584240495
