sense,sentence,centroid_cs
problem.n.02,It urged that the city `` take steps to remedy '' this problem .,0.7959423534288985
problem.n.02,A formula to supply players for the new Minneapolis Vikings and the problem of increasing the 1961 schedule to fourteen games will be discussed by National Football League owners at a meeting at the Hotel Warwick today .,0.8134934332865484
problem.n.02,`` We 'll have the problem of baseball at one end and weather at the other '' .,0.816176913180422
problem.n.02,"Instead - and not just to prove my objectivity - I hasten to report that it 's a highly amusing film which probably does a fairly accurate job of reporting on the Easter vacation shenanigans of collegians down in Fort Lauderdale , and that it seems to come to grips quite honestly with the moral problem that most commonly vexes youngsters in this age group - that is to say , sex .",0.8287357041421078
problem.n.02,"Aside from a quaint concern with witches and devils which provides the immediate problem in the opening scene , it is a quite normal community .",0.8065025530765967
problem.n.02,"Also , among the latter a large percentage soon acquire the prevalent Southern attitude on most social problems .",0.7750403148926952
problem.n.02,"But apart from racial problems , the old unreconstructed South - to use the moderate words favored by Mr. Thomas Griffith - finds itself unsympathetic to most of what is different about the civilization of the North .",0.7785232382925998
problem.n.02,Only a limited effort has been devoted to this problem .,0.8827477281034556
problem.n.02,Our major problem is what an enemy might accomplish in an initial attack on a target .,0.8147018244958729
problem.n.02,The major defensive problems are concerned with the possibility of overt military delivery of biological agents from appropriate disseminating devices .,0.8493869740903731
problem.n.02,"After their work other investigators applied salt fractionation techniques to the problem , as well as fractionation with organic solvents , such as acetone .",0.838621791417155
problem.n.02,Two problems present themselves in considering any hormone in blood .,0.8163430746051344
problem.n.02,"After this brief discussion of neo - , paleocortical , and cortico-hypothalamic relations , let us return once more to the problem of hypothalamic balance and its physiological and pathological significance .",0.8327272355509224
problem.n.02,Perhaps a clue to these and related problems lies in the fact that changes in the intensity of hypothalamic discharges which are associated with changes in its balance lead also to qualitative alterations in reactivity .,0.8526272891165558
problem.n.02,"Although we are still far from a complete understanding of these problems , as a first approximation , it is suggested that alterations in the hypothalamic balance with consequent changes in the hypothalamic cortical discharges account for major changes in behavior seen in various moods and states of emotions in man and beast under physiological circumstances , in experimental and clinical neurosis , and as the result of psychopharmacological agents .",0.8569107737303574
problem.n.02,"If we try to study T using characteristic values , we are confronted with two problems .",0.8295141005896413
problem.n.02,This will be more or less our general method for the second problem .,0.8289607468926072
problem.n.02,It is a very interesting fact that these two problems can be handled simultaneously and this is what we shall do in the next chapter .,0.8868558999338909
problem.n.02,"Fortunately , a general formula of wide applicability solves all problems of this kind .",0.8475156209460453
problem.n.02,"Before deriving this formula , we explain what we mean by `` problems of this kind '' .",0.8224809044898393
problem.n.02,"Furthermore , the problems and solutions devised in the electoral experiences of the rapidly changing countries are often of comparative value and essential to evaluating election results .",0.8542020355896295
problem.n.02,"Centrally , however , the administrative problem was more complex and the sheer prestige of office was very likely an unfair advantage .",0.8581799302300471
problem.n.02,"This circumstance in the patient 's case plus the fact that his tactual capacity remained basically in sound working order constitutes its exceptional value for the problem at hand since the evidence presented by the authors is overwhelming that , when the patient closed his eyes , he had absolutely no spatial ( that is , third-dimensional ) awareness whatsoever .",0.8589834744279671
problem.n.02,"Moreover , it is too readily forgotten that in the Republic what gave the initial impetus to Plato 's excursus into the construction of an imaginary commonwealth with its ruling-class communism of goods , wives , and children , was his quest for a canon for the proper ordering of the individual human psyche ; and it is to this problem that the Republic ultimately returns .",0.7593290438150141
problem.n.02,It was a relief to shift in his mind to technical problems .,0.8351578588334115
problem.n.02,Lublin was the seed of action for the `` final solution '' of the Jewish problem .,0.7656295856505484
problem.n.02,Every single problem touched on thus far is related to good marketing planning .,0.9024317496940983
problem.n.02,These little problems help me to do so '' .,0.8279215596269948
problem.n.02,"It forms the core of many , perhaps most , problems of psychotherapy .",0.8176062547078913
problem.n.02,"How this was accomplished may be described , since this sometimes is a crucial problem .",0.852664550963868
problem.n.02,The design of orthographies has received much less attention from linguists than the problem deserves .,0.8098343168215947
problem.n.02,The problem needs further exploration .,0.8652477731814224
problem.n.02,The practical operational problem of lexicostatistics is the establishment of a basic list of items of meaning against which the particular forms or terms of languages can be matched as the medium of comparison .,0.8064022030053479
problem.n.02,He sat down on an old box and focused on the problem .,0.8466883098370936
problem.n.01,"`` We must solve the problems which have forced these people to depend upon ADC for subsistence '' , Martin said .",0.8503962269249954
problem.n.01,"The volume of ADC cases will decrease , Martin reported , when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color .",0.8525005925954173
problem.n.01,"A good feeling prevailed on the SMU coaching staff Monday , but attention quickly turned from Saturday 's victory to next week 's problem : Rice University .",0.748480356096103
problem.n.01,`` Buster would solve that quarterback problem just as we head that way '' .,0.7970275875013645
problem.n.01,"They have the same men , no age problem , no injuries and they also have Vinegar Bend Mizell for the full season , along with Bobby Shantz '' .",0.7191473265144844
problem.n.01,Several dentists and patients with special dental problems have experimented with the device .,0.6970971432669735
problem.n.01,"Nikita Khrushchev , however , has created yet another problem for himself .",0.8813519543545069
problem.n.01,One of the script 's big problems was how to blend pictures and music of the past with live performances by musicians of today .,0.7689598763304424
problem.n.01,But at least it 's reassuring to see some teenagers who do n't profess to know all the answers and are thinking about their problems instead .,0.7848766140325917
problem.n.01,"This emphasis upon death rather than sin as man 's fundamental problem Irenaeus shares with many early theologians , especially the Greek speaking ones .",0.7768087417702787
problem.n.01,"But for students of musical forms and would-be classifiers , the work presents its problems .",0.8258430716087909
problem.n.01,"Look at the trees as to size and interest , the amount of shade they provide , how healthy they are , the problems of maintenance , fire hazards , wind throw , etcetera .",0.8455773551967027
problem.n.01,"It is more than just lack of dance training that is our problem , for just as gymnastics can learn from dance , dance has some very important things to learn from gymnastics .",0.7874855060506563
problem.n.01,"If a nation wished to get a head start in physical fitness over all other nations , it would start its kindergarten students on a program of gymnastics the day they entered and thus eliminate a large number of the problems that plague American schools .",0.8537058327967859
problem.n.01,"First of the problems attacked would be fatigue and emotional tension , since action relieves both .",0.8088578805229267
problem.n.01,"Yet even here many a problem is presented ; as in a recent design competition with a floor plan and the simple command - `` design a luxury apartment '' ; no description of the client or his cultural level , no assertion of geographical area or local social necessities - simply `` a luxury apartment '' .",0.8735073465836592
problem.n.01,"Unfortunately , the purely synthetic problem is the rule .",0.823621950620459
problem.n.01,In the earlier years of training certain phases of the work must be covered and the synthetic problem has its use .,0.8583638056067502
problem.n.01,"Consultation with architects , clients , real estate men , fabric houses and furniture companies is essential to the proper development of class problems just as in actual work .",0.8410228925977623
problem.n.01,The basic problem involved is that a college setting up a graduate school must have an entirely separate faculty for the advanced degree .,0.8367541050502676
problem.n.01,The problems confuse even the experts .,0.8460397405078045
problem.n.01,The situation with regard to our attitude and `` control '' of disease contains close analogies to problems confronting us with respect to people .,0.8496218328964488
problem.n.01,"The horrifying humor , the specifically sexual embarrassment of the joke gone wrong , the monstrous image of the fat man dressed up as a whore dressing up as a baby ; the epiphany of that quivering flesh ; the bringing together around it of the secret liaison between indolent , mindless sensuality and sharp , shrewd talent , cleverness with an occasional touch of genius ( which , however , does not know `` how to attack the problem of suffering '' ) ; the miraculous way in which music , revelation and death are associated in a single instant - all this seems a triumph of art , a rather desperate art , in itself ; beyond itself , also , it evokes numerous and distant resonances from the entire body of Mann 's work .",0.7267572006700479
problem.n.01,The specific analogy to the dilemma of love is the problem of the `` breakthrough '' in the realm of art .,0.8351635711016573
problem.n.01,Practical management problems and their suggested solutions are dealt with in a series of SBA publications .,0.813146265493475
problem.n.01,Production specialists in SBA regional offices are available to help individual small business concerns with technical production problems .,0.8459224956604174
problem.n.01,Production specialists are available in SBA regional offices to help individual small business concerns with technical production problems .,0.8449184779191793
problem.n.01,These problems frequently arise where a firm is making items for the Government not directly along the lines of its normal civilian business or where the Government specifications require operations that the firm did not understand when it undertook the contract .,0.8134968927323037
problem.n.01,Advice is given also on problems of plant location and plant space .,0.8286554484674097
problem.n.01,"A well publicized entrant which has achieved success only recently is the built liquid detergent , with which the major problem today is incorporation of builder and active into a small volume using a sufficiently high builder / active ratio .",0.8128717975929002
problem.n.01,The problems of hard surface cleaning are not nearly as complex .,0.8459006386919632
problem.n.01,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,0.7954222214213351
problem.n.01,This method in general solved the problem of obtaining fairly equal concentrations of reactants in each of the six cells from a set .,0.7616937420536399
problem.n.01,A number of unique medical problems might be created when man is exposed to an infectious agent through the respiratory route rather than by the natural portal of entry .,0.8444128895180235
problem.n.01,"Biological agents are , moreover , suitable for delivery through enemy sabotage which imposes many problems in defense .",0.8610961178417994
problem.n.01,"In the last few years , the application of chromatographic and other modern techniques to the problem of isolating TSH has led to further purification ( Bates and Condliffe , 1960 ; Pierce , Carsten and Wynston , 1960 ) .",0.8017141839538524
problem.n.01,The United States can help by communicating a genuine concern with the problems these countries face and a readiness to provide technical and other appropriate forms of assistance where possible .,0.7786788945584832
problem.n.01,"When we look at countries like Iran , Iraq , Pakistan , and Burma , where substantial progress has been made in creating a minimum supply of modern men and of social overhead capital , and where institutions of centralized government exist , we find a second category of countries with a different set of problems and hence different priorities for policy .",0.8458161295526363
problem.n.01,"The civil services in such societies are generally inadequate to deal competently with the problems facing them ; and their members often equate a government career with security and status rather than with sacrifice , self-discipline , and competence .",0.835185720517228
problem.n.01,It should also be recognized that the problem of rural tenancy cannot be solved by administrative decrees alone .,0.8484283097879608
problem.n.01,They must continue to satisfy basic capital needs ; and there persists the dual problem of maintaining operational unity around a national program of modernization while simultaneously decentralizing participation in the program to wider and wider groups .,0.7793798143979294
problem.n.01,There remain many political and administrative problems to be solved .,0.839700109714031
problem.n.01,There are also more basic problems .,0.8475131288916878
problem.n.01,"However , the regionally differentiated results , which appear below in tables , are interesting evidence of the problems of developing self-government under even the most favorable circumstances .",0.863821416159713
problem.n.01,"The choice of the single member district was dictated to a certain extent by problems of communication and understanding in the more remote areas of the country , but it also served to minimize the national political value of the elections .",0.8116043824549017
problem.n.01,"The Istiqlal found that the spontaneous solidarity of the independence struggle was not easily transposed to the more concrete , precise problems of internal politics .",0.8455244759416725
problem.n.01,His problem then became one of restraining the American fighters who wanted to clean out the Vermejo by force immediately .,0.7707879947039941
problem.n.01,"The freeway with narrowly spaced interchanges concentrates and mitigates the access problem , but it also acts inevitably as an artificial , isolating boundary .",0.8500241302738126
problem.n.01,"To the extent that the problem is merely parking , an aggressive downtown management , like that of Lazarus Brothers in Columbus , Ohio , can fight back successfully by building a garage on the lot next door .",0.8096233380150915
problem.n.01,"If the distant patron of the suburban branch has been frightened away from downtown by traffic problems , however , the city store can only pressure the politicians to do something about the highways or await the completion of the federal highway program .",0.7729862901929591
problem.n.01,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.8075684689217719
problem.n.01,"Since experience indicates that effluents from oxidation ponds do not create major problems at these BOD concentrations , the goal for the effluent quality of the accelerated treatment system was the same as from conventional oxidation ponds .",0.8277266785362274
problem.n.01,"With the development of the Red Bridge Subdivision south of Kansas City , Missouri , the developer was faced with the problem of providing adequate sewage disposal .",0.797241266383067
problem.n.01,It was proposed that aerated lagoons be used to eliminate the problem at the existing oxidation ponds and to provide the necessary treatment for the additional development .,0.803553910229787
problem.n.01,The periods of high effluent BOD occurred during cold periods when operational problems with the aerator resulted .,0.7550768419768379
problem.n.01,The large amount of vegetable grindings from the grocery store in the shopping center created a suspended solids problem .,0.8098639477011715
problem.n.01,"It was approximately one month before the belt problem was noticed and corrected , but at no time was there a deficiency of dissolved oxygen .",0.7600560965750083
problem.n.01,The location of the oxidation pond in a high value residential area makes odor nuisances a sensitive problem for the developer .,0.7967638494322566
problem.n.01,"Despite their efforts , the problems seemed to grow graver all the time .",0.8754007289958524
problem.n.01,Mary presented quite a different problem .,0.8587682079950724
problem.n.01,"As the afternoon sped toward evening , the suite saw a steady procession of Paxton aides pass in and out , each with his own special problem .",0.8038962599303829
problem.n.01,"`` No problem at all '' , said Macneff .",0.6266063328066461
problem.n.01,"In them , there is usually a group of Anglo-Americans with tragicomic problems , worthy of being explored either in the novel or in the play or in comedy and satire '' .",0.8357435205338131
problem.n.01,"Possibly , the coconut containing dessert had brought up bitter problems of administration .",0.8057567230238109
problem.n.01,"Marcellus , the hero , is beset from all sides by the problems of approaching manhood .",0.8000311863665762
problem.n.01,"According to the myth , Old Order then vanishes at stage left and reappears at extreme stage right , but director Shuz skillfully sidesteps the rather gooshey problem of stage effects by simply having Miss Arapacis walk across the stage .",0.7935511083801594
problem.n.01,"As Broadway itself becomes increasingly weighted down by trite , heavy-handed , commercially successful musicals and inspirational problem dramas , the American theatre is going through an inexorable renaissance in that nebulous area known as `` off-Broadway '' .",0.7158634954543329
problem.n.01,"This brief resume hardly does the book justice , but I heartily recommend it to all those who are engages with the major problems of our time .",0.8413947825687168
problem.n.01,The host of novel applications of electronics to medical problems is far more thrilling because of their implication in matters concerning our health and vitality .,0.787016414382011
problem.n.01,Selecting bunks by economic comparison is usually an individual problem .,0.8595567512956873
problem.n.01,This will be a problem in areas of heavy snowfall .,0.7707092004782985
problem.n.01,"From the manufacturer 's point of view , the increasing cost of advertising and promotion is a very real problem to be faced in the sixties .",0.8783368116690979
problem.n.01,Camp meals are no great problem .,0.7506425904296099
