sense,sentence,centroid_cs
nod.v.02,"When Joe identified himself , he nodded , unsmiling , and ushered him into a sedate living room .",0.8864971547894712
nod.v.02,Styka nodded and sniffed and blew his nose vociferously .,0.9205342200285588
nod.v.02,Vecchio was nodding and pointing at the large suitcase he held .,0.8756716896939916
nod.v.02,"The doorman began to nod his head automatically , then remembered who Gilborn was , what had happened to him the night before .",0.8485975639936678
nod.v.02,"Now , as he passed the open counter that divided the assembly room from the business office , he nodded and said good night to the station keeper and his clerks , not stopping to hear the day-watch playback of his chewing out .",0.8504522639728767
nod.v.02,"He grinned , nodded , and walked around to the front of the car .",0.8869794031924699
nod.v.02,Pat nodded .,0.885148333973181
nod.v.02,"He also had , at times , an uncanny absent-minded air like a sleepwalker ; he would look right through you while you were talking to him , and if you said , `` For Christ's sake , Donald , you 've got Prussian blue all over your shirt '' , he would smile , and nod , and an hour later the paint would be all over his pants as well .",0.8144870013192455
nod.v.02,I nodded .,0.8585020256784865
nod.v.02,"Nodding approvingly and swelling with importance , the old lady whispered confidentially .",0.7930830282120392
nod.v.02,"In the early 1950 's , Smith , together with his distinguished colleague , George Trager ( so austerely academic he sometimes fights his own evident charm ) , and a third man with the engaging name of Birdwhistell ( Ray ) , agreed on some basic premises about the three-part process that makes communication : ( 1 ) words or language ( 2 ) paralanguage , a set of phenomena including laughing , weeping , voice breaks , and `` tone '' of voice , and ( 3 ) kinesics , the technical name for gestures , facial expressions , and body shifts - nodding or shaking the head , `` talking '' with one 's hands , et cetera .",0.6408328449439782
nod.v.02,Shayne nodded grimly .,0.8483736330474645
nod.v.02,Henrietta nodded .,0.8790374427060647
nod.v.01,Jane nodded with a pleasant smile .,0.9178792465934085
nod.v.01,Adam nodded .,0.9423827011141798
nod.v.01,"He left with all the joyous spirit of a child going on a holiday , nodding attentively as Rector gave him his final instructions .",0.704538694823763
nod.v.01,Fletcher nodded as he listened to the instructions and said he would arrange the things Rector requested .,0.902227848402176
nod.v.01,Johnson nodded .,0.9378498876756423
nod.v.01,Watson had nodded absently and muttered that he would check the lists himself later .,0.8928856486855091
nod.v.01,Alex nodded to the maid as though nothing unusual were taking place and entered the doctor 's room .,0.766591004084943
nod.v.01,Andy nodded dully .,0.9290141365298428
nod.v.01,The girl nodded understandingly .,0.9166128383917678
nod.v.01,He nodded triumphantly .,0.8994691388979478
nod.v.01,"Vastly relieved , Summers nodded and started toward the door .",0.8818909054383588
nod.v.01,Pat only nodded .,0.9133740711803068
nod.v.01,I nodded .,0.9104626611791603
nod.v.01,I nodded .,0.9104626611791603
nod.v.01,"She glanced at the man nodding beside her , a man with weather cracks furrowed into his lean cheeks , with powdery pale eyes reflecting all the droughts he had seen , reflecting the sky and the drought which must follow now in August - yes , with eyes predicting the drought and here it was only June , only festival time again and thoughts of Gratt Shafer would not leave her .",0.675559425698036
nod.v.01,Eddie nodded .,0.9254073573992575
nod.v.01,Phil nodded .,0.9419493815998253
nod.v.01,Frankie nodded .,0.8832051073081704
nod.v.01,"He caught officer Simmons ' eye , nodded toward young Bearden , and - `` I swung my right as hard as I could .",0.7574071745727815
nod.v.01,"Idje , here '' , and he nodded at the man , `` is said to have great odor .",0.7686311197684048
nod.v.01,The reporter nodded as he moved up beside him at the bar .,0.9206510282835703
nod.v.01,Morgan nodded .,0.9433196036577154
nod.v.01,"He nodded and , going into the bedroom , brought a needle , thread , and scissors .",0.8903916996417325
nod.v.01,He nodded at the door in front of him .,0.8254816737792959
nod.v.01,Gavin began to nod .,0.8512179579238391
nod.v.01,Barton nodded .,0.9135907845788628
nod.v.01,"The gunman nodded , slipping the picture into his breast pocket , saying nothing .",0.9364979833845509
nod.v.01,"Henrietta murmured that she could quite see how it would , and he nodded approval of her womanly good sense .",0.7321856414919476
nod.v.01,"He nodded , clasping and unclasping his hands over his paunch , and flicked glances at me .",0.8810132336134535
