sense,sentence,centroid_cs
discussion.n.02,"Instead , the audience can sit back at ease and , from the perspective of an enlightened time which no longer believes in such things , enjoy the dead seriousness with which the characters in the play take the witches and devils which are under discussion .",0.7991325421709897
discussion.n.02,"For all involved in this discussion the devil is a real entity who can really be confronted in the woods on a dark night , the demon world is populated with real creatures , and witches actually can be seen flying through the air .",0.8061704228092832
discussion.n.02,"The Church Unity Octave , January 18 - 25 , was enthusiastically devoted to prayer and discussion by the various churches .",0.8444452397312353
discussion.n.02,"A notable example of this was the discussion of Christian unity by the Catholic Archbishop of Liverpool , Dr. Heenan , and the Anglican Archbishop of York , Dr. Ramsey , recently appointed Archbishop of Canterbury .",0.85118269848496
discussion.n.02,"However , readers who accept Freud 's findings and believe that he has solved completely the mystery of dreams , should ponder over the following words in his Interpretation Of Dreams , Chapter 1 , : `` as a matter of fact no such complete solution of the dream has ever been accomplished in any case , and what is more , every one attempting such solution has found that in most cases there have remained a great many components of the dream the source of which he has been unable to explain , nor is the discussion closed on the subject of the mantic or prophetic power of dreams '' .",0.8321595219446538
discussion.n.02,"In the discussion which follows , the time average of the radio emission will be referred to as the constant component , and the superimposed periodic variation will be called the variable component .",0.7309588566248171
discussion.n.02,The question of epidemic disease merits some discussion .,0.7991558940883471
discussion.n.02,Here we shall restrict discussion to those methods that appear sufficiently sensitive and precise for determining the concentration of TSH in blood .,0.8233046625210808
discussion.n.02,"For the most part , this discussion will be confined to results obtained since the introduction of the reference standard .",0.8318349835745321
discussion.n.02,It came up again and again in the discussion sessions .,0.7893461956216071
discussion.n.02,"Their names had not come up in any discussions with Laura , and he had no idea what they would be like .",0.7543420936208178
discussion.n.02,"When Beckett 's name came into the discussion , the priest grew loud and told me that Beckett `` hates life '' .",0.8425984705631937
discussion.n.02,What of the efficiency of this natural instrument of free discussion ?,0.8281307342005673
discussion.n.02,"When some question arises in the medical field concerning cancer , for instance , we do not turn to free and open discussion as in a political campaign .",0.8602874480064105
discussion.n.02,"We are reminded , however , that freedom of thought and discussion , the unfettered exchange of ideas , is basic under our form of government .",0.802740611203344
discussion.n.02,"We must not forget , to be sure , that free discussion and debate have produced beneficial results .",0.8155837061996679
discussion.n.02,"In the field of the natural sciences , scientifically verified data are quite readily available and any discussion can be shortened with good results .",0.8523505634423977
discussion.n.02,"Thus in a context in which there has been discussion of snow but mention of local conditions is new , dominant stress will probably be on here in it rarely snows here , but in a context in which there has been discussion of local weather but no mention of snow , dominant stress will probably be on snows .",0.8119319549494851
discussion.n.02,"Thus in a context in which there has been discussion of snow but mention of local conditions is new , dominant stress will probably be on here in it rarely snows here , but in a context in which there has been discussion of local weather but no mention of snow , dominant stress will probably be on snows .",0.8119319549494851
discussion.n.02,"In I 'll go with George dominant stress is probably on George ; but if George has just been mentioned prominently ( and the trip to be made has been under discussion ) , what is said is probably I 'll go with him , and dominant stress is probably on the preposition with .",0.7952908676104793
discussion.n.02,"There was some idle talk , a listless discussion of this or that small happening during the day 's drive .",0.8156949243099865
discussion.n.02,"Without further discussion he appeared the next morning with a pile of boards sticking over the end of his light truck and proceeded with the paneling , which he then stained and waxed according to his taste .",0.7622628881476101
discussion.n.01,"For we have said , in effect , that of the two alternatives to his position variously represented by the other participants in the demythologizing discussion , only one is really an alternative .",0.8635117621012615
discussion.n.01,"It will be recalled from the discussion in Section 7 that the position of the `` right '' , as represented by Barth , rests on the following thesis : The only tenable alternative to Bultmann 's position is a theology that ( 1 ) rejects or at least qualifies his unconditioned demand for demythologization and existential interpretation ; ( 2 ) accepts instead a special biblical hermeneutics or method of interpretation ; and ( 3 ) in so doing , frees itself to give appropriate emphasis to the event Jesus Christ by means of statements that , from Bultmann 's point of view , are mythological .",0.832958405334544
discussion.n.01,There are of course many Souths ; but for this discussion the most important division is between those who have been reconstructed and those who have n't .,0.8140107512452087
discussion.n.01,"Discussions of the giants one by one will include , as far as possible , data on these aspects of growth :",0.8391564373641
discussion.n.01,"One growth center in a short bone - distal phalanx of the second finger - was chosen as an example for discussion here , primarily because epiphyseal diaphyseal fusion , the maturity indicator for Completion in long and short bones , occurs in this center for girls near the menarche and for boys near their comparable pubescent stage .",0.8017636486780119
discussion.n.01,"After this brief discussion of neo - , paleocortical , and cortico-hypothalamic relations , let us return once more to the problem of hypothalamic balance and its physiological and pathological significance .",0.8360837315554084
discussion.n.01,"The set of all binomial distributions is called the family of binomial distributions , but in general discussions this expression is often shortened to `` the binomial distribution '' , or even `` the binomial '' when the context is clear .",0.6925793295759468
discussion.n.01,"First is the long and still somewhat obscure process of preparation , planning and discussion .",0.8126305664168729
discussion.n.01,"There followed a long and sometimes bitter discussion of the feasibility of elections for the fall of 1957 , in which it appears that the Minister of the Interior took the most pessimistic view and that the Istiqlal was something less than enthusiastic .",0.8198868213935179
discussion.n.01,"From the very beginning the electoral discussions raised fundamental issues in Moroccan politics , precisely the type of questions that were most difficult to resolve in the new government .",0.7710687802316295
discussion.n.01,"Although a somewhat technical subject , it has important political implications as the above discussion of the voting system indicated .",0.8731023569849438
discussion.n.01,As the background discussion indicated there were frequently expressed doubts that a government dominated by either party could fairly administer elections .,0.8516323679489922
discussion.n.01,"In most discussions of this phenomenon , the figures are substantially inflated .",0.8254943945073056
discussion.n.01,Oersted returned in 1814 and resumed an active part in university and political discussions .,0.7444923965417726
discussion.n.01,Are you utilizing cafeteria space for company meetings or discussions ?,0.7239351649224179
discussion.n.01,The following discussion of this subject has been adapted from the book Causes of Catastrophe by L. Don Leet .,0.8677722031263084
discussion.n.01,"I will reserve discussion of it for a moment , however , to return to President Kennedy .",0.775969029171716
discussion.n.01,"The terms `` renewal '' and `` refreshed '' , which often come up in aesthetic discussion , seem partly to derive their import from the `` renewal '' of purpose and a `` refreshed '' sense of significance a person may receive from poetry , drama , and fiction .",0.8435867435349813
discussion.n.01,"F. S. C. Northrop , in his discussion of the `` Functions and Future of Poetry '' , suggests this :",0.7999946050177871
discussion.n.01,"In a symposium and general exploration of the field of Person Perception and Interpersonal Behavior the discussion does not touch upon this aspect of the subject , with one possible exception ; Solomon Asch shows the transcultural stability of metaphors based on sensation ( hot , sweet , bitter , etc . ) dealing with personal qualities of human beings and events .",0.8491488937648621
discussion.n.01,"At the outset , the Government 's spokesman explained that counsel for the Government and for du Pont had already held preliminary discussions with a view to arriving at a relief plan that both sides could recommend to the court .",0.7147958169696768
discussion.n.01,"Counsel for the Government invited du Pont 's views on this proposal before recommending a specific program , but stated that if the court desired , or if counsel for du Pont thought further discussion would not be profitable , the Government was prepared to submit a plan within thirty days .",0.79676577380337
discussion.n.01,The submission of detailed plans would place the issues before the court more readily than would discussion of divestiture or disenfranchisement in the abstract .,0.7884139289509479
discussion.n.01,The reasons for extracting this particular roleplaying application from the previous discussion of training are twofold :,0.8742727424653394
discussion.n.01,"A few of his examples are of very great interest , and the whole discussion of some importance for theory .",0.7865367843585729
discussion.n.01,"For the purposes of this discussion , the problem of relative prices is encompassed in these two variables , since GNP includes other prices .",0.8284283030186133
discussion.n.01,But the discussion was academic .,0.8221665438975344
