sense,sentence,centroid_cs
compound.v.02,These are then mixed by their sound engineers with the active co-operation of the musical staff and combined into the final two channels which are impressed on the record .,0.8459234366263773
compound.v.02,In some of the numbers the instrumental parts have even been recorded at different times and then later combined on the master tape to produce special effects .,0.8548806121609908
compound.v.02,Later this can be combined with the handstand to provide a walkover .,0.8280540263559626
compound.v.02,"They are segregated businesses , combining again on one site the factory and the office , drawing their work force from segregated communities .",0.8127719246996314
compound.v.02,"`` My brushes are different from those used by most watercolorists , for I combine the sable and the bristle .",0.7667838204765781
compound.v.02,A completely new insight into living cells and their structure will be possible by use of a new technique which replaces visible light with ultraviolet radiation and combines a microscope with a color - TV system to view the results .,0.788464827404674
compound.v.02,To carry out this exalted conception the author has combined the vivid realism and imaginative power we have noticed in his early poetry and carried them out on a grand scale .,0.8073127109993568
compound.v.02,We hear equally fervent concern over the belief that we have not enough generalists who can see the over-all picture and combine our national skills and knowledge for useful purposes .,0.831046936959988
compound.v.02,"- Syllables are linguistic units centering in peaks which are usually vocalic but , as has been noted , are consonantal under certain circumstances , and which may or may not be combined with preceding and / or following consonants or combinations of consonants .",0.7631282932659972
compound.v.02,"The unsatisfactory 1958 - 60 expansion , he said , was not due to inadequate growth forces inherent in our economy but rather to the adverse effect of inappropriate economic policies combined with retrenching decisions resulting from the steel strike .",0.7291366073613081
compound.v.02,At that time it was a series of sophisticated social dances whose steps were often combined with other steps devised by the choreographer .,0.8739744085232075
compound.v.02,"Increased experimentation with multipurpose agencies , especially those that combine afresh the traditional functions of family and child welfare services , holds rich promise for the future .",0.8149703389953603
unite.v.03,"And they could n't have entrusted Henri to better hands because `` le professeur '' knows his muscles from the sterno-cleido mastoideus of the neck right down to the tibialis anticus of the leg - and better still , he knows just what exercises work best for them and what Weider principles to combine them with for fast , fast muscle growth .",0.7504885573526664
unite.v.03,This is interesting for it combines both the thermodynamic concept of a minimum Gibbs function for equilibrium and minimum mechanical potential energy for equilibrium .,0.8626139312676137
unite.v.03,"Then he might finally recognize it , apparently by combining the visual blot , actually being seen , with tactual feelings in the head or body accompanying the tracing movements .",0.8634782823348565
unite.v.03,One might say it combines the man ; own pride and humility .,0.8201729174491121
unite.v.03,"The Irish accent is , as one would expect , combined with slight inflections from the French .",0.7648919878999666
unite.v.03,"The President said his proposals combine the `` indispensable elements in a sound health program - people , knowledge , services , facilities , and the means to pay for them '' .",0.8436832183433484
unite.v.03,"The charge that the federal indictment of three Chicago narcotics detail detectives `` is the product of rumor , combined with malice , and individual enmity '' on the part of the federal narcotics unit here was made yesterday in their conspiracy trial before Judge Joseph Sam Perry in federal District court .",0.6842978539061494
unite.v.03,See-through design of the chairs combines both the nostalgic ladder back and an Oriental shoji flavor .,0.8442486564807298
unite.v.03,"It combines qualities that are seldom found in one work : Scrupulous scholarship , a fund of personal experience , a sense of drama and characterization and a broad grasp of the era 's great historical issues .",0.7876973518342527
unite.v.03,Lake Michigan offers swimming and pictures which combine cityscapes with beaches .,0.8059338692890249
unite.v.03,"If the problems of combining cooling with your heating are knotty , it may be cheaper to plan on a completely separate cooling system .",0.768976364825917
unite.v.03,All seven combined ardent devotion to the cause of revolution with a profound respect for legality .,0.7175263117792525
unite.v.03,"Simultaneously , a variety of environmental supports - a calm but not too motherly homemaker , referral for temporary economic aid , intelligent use of nursing care , accompaniment to the well-baby clinic for medical advice on the twins ' feeding problem - combined to prevent further development of predictable pathological mechanisms .",0.6822551239567067
unite.v.03,"Then , too , the utmost clinical flexibility is necessary in judiciously combining carefully timed family-oriented home visits , single and group office interviews , and appropriate telephone follow-up calls , if the worker is to be genuinely accessible and if the predicted unhealthy outcome is to be actually averted in accordance with the principles of preventive intervention .",0.7984868488993354
