sense,sentence,centroid_cs
look.v.02,Committee approval of Gov. Price Daniel 's `` abandoned property '' act seemed certain Thursday despite the adamant protests of Texas bankers .,0.6803575207397516
look.v.02,"Richard M. Forbes 's Paget , which had what seemed to be a substantial lead in the early stages , tired rapidly nearing the wire and was able to save place money only a head in front of Glen T. Hallowell 's Milties Miss .",0.7290438299749804
look.v.02,"Garden Fresh , the result of a mating of Better Self and Rosy Fingered , seems to improve with each start and appeared to win the St. Patrick's Day Purse with some speed in reserve .",0.6819876354421989
look.v.02,Benington recalled that he once told Hartweger that he doubted Gordon would ever play much for him because he seemed to be lacking in all of the accepted basketball skills .,0.7218487374054027
look.v.02,She should offer substitutes for the temptations which seem overwhelmingly desirable to the child .,0.7420578003954263
look.v.02,"He seems to have at least a few 30 - and 50 - megaton bombs on hand , since we cannot assume that he has exploded his entire stock .",0.7609788244571456
look.v.02,"Khrushchev himself is reported to be concerned by the surge of animosity he has aroused , yet our own nuclear statesmen seem intent on following compulsively in his footsteps .",0.7866829794260727
look.v.02,"Besides , he can hardly avoid musing on the instability of death which , what with exhumations and rehabilitations , seems to match that of life .",0.7991453529762947
look.v.02,"The vast , dungeon kitchens may seem hardly worth using except on occasions when one is faced with a thousand unexpected guests for lunch .",0.7723605373494223
look.v.02,"There seems to be an unfortunate assumption that an hour of Chicago style jazz in prime evening time , for example , could not be justified without the trimmings of a portentous documentary .",0.7662169300952325
look.v.02,"At least this seemed to be the working hypothesis for `` Chicago and All That Jazz '' , presented on NBC - TV Nov. 26 .",0.8404008547057311
look.v.02,"An enthusiastic audience confirmed the `` live '' character of the hour , and provided the interaction between musician and hearer which almost always seems to improve the quality of performance .",0.771952785733927
look.v.02,"No reference is made to the possibility of recording other than popular music in this manner , and it would not seem to lend itself well to serious music .",0.7700155827226708
look.v.02,Big Band Percussion ( SP 44002 ) seemed one of the least attractive discs - the arrangements just did n't have so much character as the others .,0.7591538789863639
look.v.02,"But , alas , the authenticity seems to stop at the set 's edge .",0.7644342702387308
look.v.02,The drama itself - and this seems to be lavishly true of Biblical drama - often has hardly any relationship with authenticity at all .,0.8031162754808013
look.v.02,"Instead - and not just to prove my objectivity - I hasten to report that it 's a highly amusing film which probably does a fairly accurate job of reporting on the Easter vacation shenanigans of collegians down in Fort Lauderdale , and that it seems to come to grips quite honestly with the moral problem that most commonly vexes youngsters in this age group - that is to say , sex .",0.7523482879566269
look.v.02,Even Mr. Miller himself seems uncertain on this score .,0.7139808066158452
look.v.02,"And yet this is exactly the risk we run when we assume , as we too often do , that we can continue to preach the gospel in a form that makes it seem incredible and irrelevant to cultured men .",0.6682977912983603
look.v.02,"Modern man , as Dietrich Bonhoeffer has told us , has `` come of age '' ; and though this process by no means represents an unambiguous gain and is , in fact , marked by the estrangement from the depths that seems to be the cost of human maturation , it is still a positive step forward ; and those of us who so richly benefit from it should be the last to despise it .",0.7419089739443515
look.v.02,"Many people seem hopeful , yet it is difficult to predict whether or not there will be any more real attainment of Christian unity in 1961 than there was in 1861 .",0.7863700476823094
look.v.02,"That day is perhaps today , 1961 , and it seems no longer very meaningful to call England a `` Protestant country '' .",0.8358017007862671
look.v.02,"Because he interprets the primitive state of man as one of mere potentiality or capacity and believes that Adam and Eve were created as children , Irenaeus often seems inclined to extenuate their disobedience as being `` due , no doubt , to carelessness , but still wicked '' .",0.7253092940847763
