sense,sentence,centroid_cs
continue.v.03,"Rookie Ron Nischwitz continued his pinpoint pitching Monday night as the Bears made it two straight over Indianapolis , 5 - 3 .",0.7231690823356959
continue.v.03,"According to a newspaper report of the 1961 statistics of the Church of England , the `` total of confirmed members is 9748000 , but only 2887671 are registered on the parochial church rolls '' , and `` over 27 million people in England are baptized into the Church of England , but roughly only a tenth of them continue '' .",0.7572754115883779
continue.v.03,The numbering system used in Tables 1 and 2 and Figures 1 and 2 was continued for the 21 growth centers .,0.8058396490316201
continue.v.03,"This medication was continued until February , 1958 .",0.7908761564944352
continue.v.03,"Because of increasing anemia , triamcinolone , 8 mg. daily , was started on Feb. 23 , 1958 , and was continued until july , 1958 .",0.7500718039027408
continue.v.03,"In an attempt to reverse the downhill trend by stimulating the bone marrow and controlling any hemolytic component , triamcinolone , 16 mg. daily , was begun on Sept. 26 , 1958 , and continued until Feb. 18 , 1959 .",0.6777366221984122
continue.v.03,"When radio came in , it continued the misplaced modifier in its routines as a standard device .",0.860737555599147
continue.v.03,"My advice , if you live long enough to continue your vocation , is that the next time you 're attracted by the exotic , pass it up - it 's nothing but a headache .",0.7347927923879626
continue.v.03,"Equally a master of prose and verse , he recreates the glory of Sweden in the past and continues it into the present .",0.7550455951768226
continue.v.03,"They isolate out easily , naturally , and unambiguously from the continuum of nature and existence ; and they should be given priority in the basic list as long as they continue to show these qualities .",0.7732658450919955
continue.v.03,The international theme will be continued with the Balkan strings playing for a dinner the Byron Harveys will give in the Racquet club after the tea .,0.7694417201679851
continue.v.03,The Troop is proud of its camping-out program - on year-round schedule and was continued even when sub-zero temperatures were registered during the past winter .,0.8313003700854802
continue.v.03,"When this and other units combined to form the present group , it was taken on as a continuing fund-raiser .",0.7849492329825583
continue.v.03,"He was found guilty of reckless driving yesterday by Traffic Judge George T. Murphy , who continued his no-driving probation for another year and ordered him to spend 15 days in the Detroit House of Correction .",0.7914711689298589
continue.v.03,"`` When and if it can do so without jeopardizing constitutional and statutory tax-exemption privileges essential to the maintenance of its educational program and facilities , Emory University will consider applications of persons desiring to study or work at the University without regard to race , color or creed , continuing university policy that all applications shall be considered on the basis of intellectual and moral standards and other criteria designed to assure the orderly and effective conduct of the university and the fulfillment of its mission as an institution of Christian higher education '' .",0.6746666885298678
continue.v.03,It could have continued testing to the full on the grounds that the radiation danger was far less than the danger of Communist world domination .,0.8100615122951378
continue.v.03,Thanks for continuing to capture the attention and uncover so many areas of need in this amazing world .,0.6187625499007671
continue.v.03,"The Constitution of the Southern `` Confederation '' differed from that of the Federal Union only in two important respects : It openly , defiantly , recognized slavery - an institution which the Southerners of 1787 , even though they continued it , found so impossible to reconcile with freedom that they carefully avoided mentioning the word in the Federal Constitution .",0.8316551761673102
continue.v.03,"Much as he abhorred slavery , Lincoln was always willing to concede to each `` slave state '' the right to decide independently whether to continue or end it .",0.771952898679557
continue.v.03,"Our media advertising continued , during 1960 , its previous effective program that stressed such specifics as 100 % financing , plant availabilities , and location advantages .",0.8167922176321214
continue.v.03,Approximately 100 representatives of business attended this conclave and the R. I. Export Conference Committee later voted to continue the activity as an annual event .,0.8490425526175817
continue.v.03,"This comment and others similar to it , would seem to indicate a possible justification for continuing the status quo .",0.822930224297189
continue.v.02,Can we continue to alienate precisely those whose gifts we so desperately need and apart from whose co-operation our mission in the world must become increasingly precarious ?,0.7340492708141858
continue.v.02,"And yet this is exactly the risk we run when we assume , as we too often do , that we can continue to preach the gospel in a form that makes it seem incredible and irrelevant to cultured men .",0.8308963856297701
continue.v.02,"Continuing glibly in this vein , he paused to comfort her :",0.770701945687538
continue.v.02,"The two major newspapers in Providence continued , throughout the crisis , to accuse each other of misrepresenting the facts and attempting to falsify history .",0.8250012117201031
continue.v.02,"While the Daily Post continued to accuse Republicans and the Daily Journal continued to accuse Democrats , the Woonsocket Patriot complained that the Virginia authorities showed indecent and cowardly haste to condemn Brown and his men .",0.8376123593724965
continue.v.02,"While the Daily Post continued to accuse Republicans and the Daily Journal continued to accuse Democrats , the Woonsocket Patriot complained that the Virginia authorities showed indecent and cowardly haste to condemn Brown and his men .",0.8376123593724965
