sense,sentence,centroid_cs
unit.n.02,"X-ray and experimental density showed one formula unit in the unit cell , corresponding to a paramagnetic ion density of **f .",0.725125128443782
unit.n.02,"If the retailer and hotelman 's downtown unit sales have been decreasing , however , his dollar volume continues to rise , and it is dollars which you put in the bank .",0.7458727680175202
unit.n.02,No suburban shopping-center branch - not even Hudson 's vast Northland outside Detroit - does anything like the unit volume of business or carries anything like the variety of merchandise to be found in the home store .,0.71897349272083
unit.n.02,"First of all , no unit likes to have a new CO brought in from the outside , especially when he 's an armchair trooper .",0.6374757752197573
unit.n.02,"Its entire complement of non-commissioned officers on the platoon level had departed as cadre for another unit , and its vehicles were still those used in the drive across Luzon in World War 2 , .",0.6532271735495718
unit.n.02,"In total , these increases in operating costs outweigh the savings that result from declining programs and from economy measures , such as reduced numbers of units and installations , smaller inventories of major equipment , and improvements in the supply and distribution systems of the Armed Forces .",0.77405592442536
unit.n.02,"Dominant stress is of course more than extended duration , and normally centers on syllables that would have primary stress or phrase stress if the words or longer units they are parts of were spoken alone : a dominant stress given to glorify would normally center on its first syllable rather than its last .",0.7984136750491266
unit.n.02,"In the first of these sentences if by is the complement of come and Tuesday is an adjunct of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an adjunct , by will be unstressed or lightly stressed at most .",0.781765338699239
unit.n.02,"Syllables are genuine units , but division of words and sentences into them presents great difficulties .",0.8194576220673215
unit.n.02,"Since tone systems typically comprise fewer units than either consonant or vowel systems , we might expect that they would be the easiest part of a phonologic analysis .",0.8610628648126695
unit.n.02,"Tone systems are certainly more complex than the number of units would suggest , and often analytically more difficult than much larger consonantal systems .",0.84968823136616
unit.n.02,"While the phonemes can be very easily stated , no one is likely to be satisfied with the statement until phonemic occurrences can be related in some way to morphemic units , i. e. until the morphophonemics is worked out , or at least far enough that it seems reasonable to expect success .",0.8560909659916374
unit_of_measurement.n.01,"The human body - he pointed out , for example - required 33 units of blue light .",0.7787859041078626
unit_of_measurement.n.01,"If * * f is the change per unit volume in Gibbs function caused by the shear field at constant P and T , and |r is the density of the fluid , then the total potential energy of the system above the reference height is * * f .",0.6754941245508648
unit_of_measurement.n.01,"From an estimated mass of 25 g for a zero magnitude meteorite , the other masses are derived with the assumption of a mass decrease by a factor of 2.512 for each unit increase in magnitude .",0.8065655292016498
unit_of_measurement.n.01,"It is assumed that the flux values increase by a factor of 2.512 per magnitude , in accordance with the opinion that the total mass flux in each unit range in magnitude is constant .",0.8085291097559424
unit_of_measurement.n.01,The introduction of the United States Pharmacopoeia reference standard in 1952 and the redefinition and equating of the USP and international units of thyroid stimulating activity have made it possible to compare results published by different investigators since that time .,0.8214543006584286
unit_of_measurement.n.01,We should like to re-emphasise the importance of stating results solely in terms of international units of TSH activity and of avoiding the re-introduction of biological units .,0.8311151380920776
unit_of_measurement.n.01,We should like to re-emphasise the importance of stating results solely in terms of international units of TSH activity and of avoiding the re-introduction of biological units .,0.8311151380920776
unit_of_measurement.n.01,"The international unit ( u . ) , adopted to make possible the comparison of results from different laboratories ( Mussett and Perry , 1955 ) , has been defined as the amount of activity present in 13.5 mg of the International Standard Preparation .",0.8018251350490977
unit_of_measurement.n.01,"The international unit is equipotent with the USP unit adopted in 1952 , which was defined as the amount of activity present in 20 mg of the USP reference substance .",0.8226125875728374
unit_of_measurement.n.01,"The international unit is equipotent with the USP unit adopted in 1952 , which was defined as the amount of activity present in 20 mg of the USP reference substance .",0.8226125875728374
unit_of_measurement.n.01,Serial serum potassium levels remained normal ; the serum glutamic oxaloacetic transaminase was 10 units per ml. per min. .,0.7773817009304745
unit_of_measurement.n.01,"On Feb. 12 , 1959 , purified corticotropin ( ACTH Gel ) , 20 units daily intramuscularly , was started but had to be discontinued 3 weeks later because of excessive fluid retention .",0.719597501409289
unit_of_measurement.n.01,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.6972770903269288
unit_of_measurement.n.01,Feed 75000 units or 75 milligrams per head daily .,0.6343803933597809
