sense,sentence,centroid_cs
brush.v.01,"But just when she seemed to have sunk into some depravity of peasanthood she would disappear and come down bathed , brushed , and taking breaths of air , and even with her broken nails her hands would come to rest on a table or a leaf with a thoughtless delicacy , a grace of history , so to speak , and for an instant one saw how ferociously proud she was and adamant on certain questions of personal value .",0.7902225068770744
brush.v.01,Wilson brushed the dust from his coat .,0.7575912473259049
brush.v.01,"She leaned unconcerned against the broken porch fence , brushing and drying her wet , gilded hair in the sun .",0.8286316245554132
brush.v.01,"After a time , he straightened again , brushing the red Permian dust from his hands , slapping it from his six dollar levis and his tailored , twenty-five dollar shirt .",0.8462212810558265
brush.v.01,He arose slowly and brushed himself off .,0.7910658276365061
brush.v.01,Brush frankfurter twists with about 1 2 cup melted butter and toast slowly over glowing coals until dough is golden brown .,0.6532141225528092
brush.v.01,"For an antique effect on jars , brush Creek-Turn brown toner on bisque ware and sponge it off .",0.5241345920674184
brush.v.01,The large jar was brushed with Creek-Turn green toner and sponged off .,0.8049972851536414
brush.v.01,He got one of the menus and brushed the spilled sugar onto it and carried it to a box on the floor behind the counter .,0.835335208160337
brush.v.01,She started to brush the dirt and bits of leaves off her clothes .,0.8477554772071676
brush.v.01,"He made his way to his host 's bedroom where he carefully brushed himself off , neatly arranged his hair , and painstakingly selected his hat from the many on the bed .",0.7984882156657382
