sense,sentence,centroid_cs
hint.v.01,He suggests that Gore Court embodies all the glories of Tudor splendor .,0.8148565509387605
hint.v.01,The finding that the concentration of one of these proteases is increased in thyroid glands from TSH treated animals suggests that this protease may be active in vivo .,0.723409141998208
hint.v.01,"In her letter to John Brown , `` E. B. '' , the Quakeress from Newport , had suggested that the American people owed more honor to John Brown for seeking to free the slaves than they did to George Washington .",0.8470444333885755
hint.v.01,"The Colonel ordered that it be wiped out , and I suggested , ' You ask for volunteers , and promise each man on the patrol a quart of whisky , ten dollars and a week-end pass to Davao ' .",0.7225366495509219
hint.v.01,"his quill drawings had a scratchiness , suggesting skin texture ; the clay he used plastically to suggest soft moving flesh , as in an abdomen , in a reclining torso ; the wax he smoothed over to give the body surface an elastic pull .",0.7345745318643838
hint.v.01,"He had only agreed with Miss Ada about getting the valet , but he had actually suggested the photograph to Mr. Jack .",0.7538035399909053
hint.v.01,"Still another suggested that he would join a temple `` for social reasons , since I 'll be living in a suburb '' .",0.8323719142881767
hint.v.01,"His peculiar gift , as had been suggested before , is his intensity .",0.7630451065849753
hint.v.01,"Does that not suggest to you an uncertain and uneasy , not to say confused , state of the public mind ?",0.7135809328336414
hint.v.01,"The interviewers were instructed not to suggest answers and , as much as possible , to record the parents ' actual words as they described the child 's behavior in home situations .",0.7524381732445297
hint.v.01,"In sentences , patterns of stress are determined by complex combinations of influences that can only be suggested here .",0.7462289590089602
hint.v.01,"She was going to keep on scheming , poking , prodding , suggesting , and dictating until the cops got up enough interest in him to go back to their old neighborhood and ask questions .",0.6925375574463799
hint.v.01,But it also briefly suggested the possibility of a meeting with Mr. Khrushchev before the end of the year if the international climate were favorable and schedules permitted .,0.8361201369802286
hint.v.01,Developments in Cuba and Laos also suggested the advisability of an early summit meeting .,0.8350829614784675
hint.v.01,The speaker suggested that the desolation of a post-attack world would be too awful to face .,0.8201949684279239
hint.v.01,"Far from creating fear , as the speaker suggests , preparedness - knowing what to do in an emergency - gives people confidence .",0.7653008304230225
hint.v.01,"These never ceased to suggest that if , in the eyes of Marx and Lenin `` full communism '' was still a very distant ideal , the establishment of a Communist society had now , under Khrushchev , become an `` immediate and tangible reality '' .",0.8279593384027845
hint.v.01,There is fear in the fifties as his title suggests and as his competent drawings show .,0.6743072419295789
hint.v.01,"The change in perceptions by some of the Kohnstamm-negative subjects , after they had been informed of the possibilities of normal reactions , suggests that their constriction and guardedness is associated with their general mode of responding to strange or unknown situations .",0.7613275637565892
hint.v.01,"Nobody had addressed her in broken English at any of those places , nobody had suggested that she was n't American .",0.7853110788122817
suggest.v.03,"This result suggests a very high temperature at the solid surface of the planet , although there is the possibility that the observed radiation may be a combination of both thermal and non thermal components and that the observed spectrum is that of a black body merely by coincidence .",0.836445386948866
suggest.v.03,These contour diagrams also suggest a rather rapid falloff in the radio brightness with latitude .,0.8771441132999709
suggest.v.03,"In conclusion , these findings suggest the need for a comparative physiology , pathology , and histology of mammalian lungs .",0.8667568371286021
suggest.v.03,"Finally , it is suggested that in many respects the horse lung may be anatomically more comparable to that of the human than any other presently known species .",0.8399315123051341
suggest.v.03,"In other studies , loss of differentiation in previously established conditioned reflexes resulted from repeated convulsive ( metrazol ) treatments , suggesting a fundamental disturbance in the balance between excitatory and inhibitory cerebral processes .",0.8078397376651414
suggest.v.03,"The evidence suggests that foreign peoples believe the United States is weaker than the Soviet Union , and is bound to fall still further behind in the years ahead .",0.8488195904251908
suggest.v.03,"There is evidence to suggest , in fact , that many authors of the humorous sketches were prompted to write them - or to make them as indelicate as they are - by way of protesting against the artificial refinements which had come to dominate the polite letters of the South .",0.8171323816279265
suggest.v.03,"The limits are suggested by an imaginary experiment : contrast the perceptual skill of English professors with that of their colleagues in discriminating among motor cars , political candidates , or female beauty .",0.8154360965718944
suggest.v.03,"We must avoid the notion , suggested to some people by examples such as those just mentioned , that ideas are `` units '' in some way comparable to coins or counters that can be passed intact from one group of people to another or even , for that matter , from one individual to another .",0.7148650414118822
suggest.v.03,"Tone systems are certainly more complex than the number of units would suggest , and often analytically more difficult than much larger consonantal systems .",0.6991947765086648
suggest.v.03,A second explanation is suggested by the material described in Rowlands ' paper .,0.8385921449452165
suggest.v.03,A third explanation is suggested by Richardson 's analysis of Sukuma tone .,0.8394909399490741
suggest.v.03,This immature use of crayons may suggest that she is a little immature for the first grade .,0.814178551132975
suggest.v.03,"The phrase , `` emotional death '' , interesting and , to a non-scientific mind , rather touching , suggests that this woman may have some flair for words , perhaps even something of the temperament regrettably called `` creative '' .",0.8097568086537231
suggest.v.03,"Presenting an individualized Negro character , it would seem , is one of the most difficult assignments a Southern writer could tackle ; and the success of such an endeavor is , as suggested above , glaringly rare .",0.6800313075273486
suggest.v.03,"An earlier but still influential school of painting , surrealism , had suggested the way of dealing with the dream experience , that event in which seemingly incongruous objects are linked together through the curious associations of the subconscious .",0.7394389987572866
suggest.v.03,"A clerk in the outer office took him in to Sheriff Carruthers , a big , paunchy man with thick , white hair and a voice with a senatorial resonance which suggested he should be running for higher office .",0.7564258113207815
indicate.v.05,"There is nothing to suggest that the brain can alter past impressions to fit into an original , realistic and unbroken continuity like we experience in dreams .",0.8164222909506054
indicate.v.05,"As the first sentence suggests , both roads belong to death in the end .",0.7475687282216453
indicate.v.05,"This suggests that the sampling period , particularly at the more distant locations , should have been increased .",0.8263358523858367
indicate.v.05,Alphonse R . Hoge 's measurements of several very young specimens from Brazil suggest that at birth the female is slightly larger than the male .,0.7987549151288854
indicate.v.05,The doctors had suggested Scotty remain most of every afternoon in bed until he was stronger .,0.7020112035158076
indicate.v.05,"Solutions frequently suggest themselves when you accurately pinpoint your problems , whether they be in the market , in marketing methods or in marketing management .",0.7570137853621971
indicate.v.05,I suggested .,0.5182845504034108
indicate.v.05,Does this suggest that the Congo is fit for nationhood or that UN is making any progress whatever toward its goal of so making it ?,0.8351909140017787
indicate.v.05,"According to the official interpretation of the Charter , a member cannot be penalized by not having the right to vote in the General Assembly for nonpayment of financial obligations to the `` special '' United Nations ' budgets , and of course cannot be expelled from the Organization ( which you suggested in your editorial ) , due to the fact that there is no provision in the Charter for expulsion .",0.7368296506877147
indicate.v.05,"Nonetheless , although few in number they are a stubborn crew , as tenacious of life as the Hardshell Baptists , which suggests that there is some kind of vital principle embodied in their faith .",0.8306827073720578
indicate.v.05,`` The Tyranny of Trivia '' suggests arbitrary alphabetical associations to induce slumber .,0.8085314638795609
indicate.v.05,Errors in technical terminology suggest that the over-all translation from the German may not convey quite everything Mr. Remarque hoped to tell us .,0.8177069424672311
indicate.v.05,We suggested this Class in the horse world and it was accepted immediately and included in the programs of horse shows At the recent horse show convention in New York it was stated that this Intermediate Judging Class is meeting with great success and will be a great help to future judges in the horse world .,0.7172729719500235
indicate.v.05,"If internal responsibility suggests acceptance of the socialist ideal of equality , then external responsibility implies adherence to principles of ideological supranationalism .",0.7753260647456244
propose.v.01,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections .",0.8221171711040833
propose.v.01,Although I suggested that you hold the bar at the back of the neck there 's no reason why you should n't make some experiments with the bar held in front of the neck .,0.7915178589645133
propose.v.01,Plane suggested another preparation of **f which we used here .,0.7929032353323873
propose.v.01,"Also , it has been suggested that the source of all or part of the dust may not be the same as that for visual or radar meteorites ( Best , 1960 ) , and the same distribution would not be expected .",0.778630819813987
propose.v.01,"It has been suggested that the plasma thyroxine binding proteins , which have an extremely high affinity for thyroxine , compete with thyroglobulin for thyroxine ( Ingbar and Freinkel , 1957 ) .",0.7312293836837844
propose.v.01,"Although we are still far from a complete understanding of these problems , as a first approximation , it is suggested that alterations in the hypothalamic balance with consequent changes in the hypothalamic cortical discharges account for major changes in behavior seen in various moods and states of emotions in man and beast under physiological circumstances , in experimental and clinical neurosis , and as the result of psychopharmacological agents .",0.7410230959353825
propose.v.01,"In view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes .",0.708260581977178
propose.v.01,"Thus , although the agenda of external assistance in the economic sphere are cumulative , and many of the policies suggested for nations in the earlier stages remain relevant , the basic purpose of American economic policy during the later stages of development should be to assure that movement into a stage of self-sustaining growth is not prevented by lack of foreign exchange .",0.7118301335846515
propose.v.01,"General manager Pels even suggested that it might be wise to keep the Mexicans in suspense rather than accept their offers to sell out and move away , and try to have a few punished .",0.8625430921357427
propose.v.01,"`` Let me do the submitting to the Royal Academy '' , he suggested .",0.8213706447161382
propose.v.01,"The remarks she made about the sufferings of a lonely woman seemed so broad at first that he did n't know what to make of them , but after the sixth drink he put his arm around her and suggested that they go upstairs and look for her checkbook there .",0.7469405629161026
propose.v.01,He was dressed in a manner Esquire might suggest for the outdoor man 's country weekend .,0.6455259873156061
propose.v.01,On Earth elections continued and a very advanced poet published a limited edition of verse consisting entirely of punctuation marks and spaces ; Time magazine reviewed it and suggested that the Federation Assembly Daily Record should be translated into the medium .,0.8684406766233341
propose.v.01,"`` Imagine you won't get your allowance if you 're caught not smiling - or smiling with your lips trembling too much '' , Arlene suggested .",0.7962429119821762
propose.v.01,"Some psychologists , in fact , suggest that career bound husbands often are more to blame for topsy-turvy marriages than their wives .",0.727206666000697
propose.v.01,It was Dickson who suggested to Lord Selkirk that he return to the Atlantic coast by way of the United States .,0.8026530345602042
propose.v.01,"At last , even the controlled Torrio was unable to hold still , and he tentatively suggested that O ' Banion should take a percentage in the Stickney brothels in return for one from his Cicero beer concession .",0.8485144971352429
propose.v.01,"But when a board of inquiry was called to look into the charges of cowardice made against him , the men who had seen Reno leave the battlefield and the officer who had heard Reno suggest that the wounded be left to be tortured by the Sioux , refused to say a harsh word against him .",0.7485724753431033
propose.v.01,"And I suggest further that the main cause of the trouble we are in has been the failure of American policy-makers , ever since we assumed free world leadership in 1945 , to deal with this problem realistically and seriously .",0.7002877900737327
propose.v.01,"His letter had suggested we meet at my hotel at noon on Sunday , and I came into the lobby as the clock struck twelve .",0.7371493333411705
propose.v.01,"I suggested that one must let it in because it is the truth , but Beckett did not take to the word truth .",0.8440499730362884
propose.v.01,"F. S. C. Northrop , in his discussion of the `` Functions and Future of Poetry '' , suggests this :",0.7336774136130776
propose.v.01,"In his report to the Attorney General , the hearing officer suggested that the petitioner be exempt only from combatant training and service .",0.851848242654922
propose.v.01,"What I am suggesting is that when we delay , or when we fail to act , we do so intentionally and not through inadvertence or through bureaucratic or procedural difficulties .",0.756063627123477
propose.v.01,We suggest the application of certain data-processing techniques as a solution to the problem .,0.8438973213795448
propose.v.01,Welmers has suggested one explanation .,0.7959202244967127
propose.v.01,"He concludes that some changes can made in the current orthography which will appreciably improve its usefulness , but hesitates to suggest precise graphic devices to effect these changes .",0.8094566250949597
propose.v.01,A further possibility is suggested by the example of the G. I. bills and also by some recent trends in attitudes toward improving college education : that is to provide financial assistance to individuals for vocational training when local facilities are inadequate .,0.7181641340931214
propose.v.01,She would n't go back to New York as Maude suggested ; she would n't run like a scared cat .,0.7436088656607664
propose.v.01,Yet Maude had suggested that Sarah return to New York .,0.785746983092501
propose.v.01,"`` This ai n't your brand , maybe '' , Lord suggested .",0.7717864118038653
propose.v.01,"While the city council suggested that the Legislative Council might perform the review , Mr. Notte said that instead he will take up the matter with Atty. Gen. J. Joseph Nugent to get `` the benefit of his views '' .",0.8208196803074304
propose.v.01,He suggested that a regrouping of forces might allow the average voter a better pull at the right lever for him on election day .,0.8739675206538677
propose.v.01,"He suggested that without the Socialist Party ever gaining a national victory , most of its original program has come to pass under both major parties .",0.8044910775548884
propose.v.01,"To step up the denomination 's program , the Rev. Mr. Brandt suggested the vision of 8000 new Assemblies of God churches in the next 10 years .",0.8249477574733928
propose.v.01,Perhaps the engineers can find out what causes all the congestion and suggest methods to eliminate it .,0.7409281209864795
propose.v.01,"While he declined to suggest , how , he said that sooner or later we must get rid of Castro , `` for unless we do we 're liable to face similar situations in this hemisphere .",0.7706568620929992
propose.v.01,The idea was not even suggested because political expediency prevailed over wisdom .,0.7938003117878912
propose.v.01,Mr. Eisenhower seized upon the incident of the postcard lost by a Peace Corps girl in Nigeria to attack the entire Corps as a `` juvenile experiment '' and to suggest sending a Corps member to the moon .,0.8321362180089891
propose.v.01,"With our current $ 3 per hundred tax rate , it is safe to assume that this will qualify when you suggest a community should `` try to develop a modest industrial plant '' as the best way to meet these problems .",0.8025020781469444
propose.v.01,"Feelers were put out last year to the City of Warwick , as reported in your newspapers , suggesting investigation of a common rubbish disposal area to service the Potowomut and Cowessett areas of Warwick along with East Greenwich .",0.7823803904578839
propose.v.01,I would like to suggest that the landlords and Commissioners get together and consider liberalizing the practice of prohibiting dogs in apartments .,0.7338585424826631
propose.v.01,The letter writer who suggested saving money by taking kids out of school at 14 should have signed his letter `` Simpleton '' instead of `` Simplicitude '' .,0.8059507927748445
propose.v.01,"After a nuclear blast , one bureaucrat suggested in those halcyon days , about all you had to do was haul out the broom and sweep off your sidewalks and roof .",0.7608440415418658
propose.v.01,Suggest the following twenty-first-century amendment :,0.7484423990334506
propose.v.01,It has been suggested many times that a Class be set up for the Juniors who are overage and cannot enter the Junior Classes .,0.779369480684892
propose.v.01,For some time this writer has been suggesting a Junior Judging Class for Intermediates over 16 and under 20 years of age who are ineligible to compete in the Junior Class .,0.8516238939923211
propose.v.01,"If the superintendents do not receive more cooperation from Handlers , it has been suggested that licensed Judges also be qualified to judge this Class .",0.7958740194276159
propose.v.01,"This , for obvious reasons , makes their techniques superbly useful in studying the psychiatric interview , so useful , in fact , that they have been successfully used to suggest ways to speed diagnosis and to evaluate the progress of therapy .",0.7573529603021916
propose.v.01,"Burlington aviator John J. Burns suggested the parade ground southwest of Fort Ethan Allen , and soon a dozen hastily-summoned National Guard pilots were bringing their wide-winged `` Jenny '' and DeHaviland two-seaters to rest on the frozen sod of the military base .",0.7966523132325738
