sense,sentence,centroid_cs
company.n.02,"Both Cook 's and Russell 's lives were threatened by the Mexicans following the killing , but the company officers felt that in the end , it would serve to quiet them despite their immediate emotion .",0.8596681979855547
company.n.02,"On February 17 , Russell and Cook were sent to the Pena Flor community on the Vermejo to see about renting out ranches the company had purchased .",0.7560677831295668
company.n.02,"He was n't troubled with the ordinary , rank-and-file fear that overcomes and paralyzes and sends individual soldiers and whole companies under fire running in panic .",0.8020829093103202
company.n.02,He looked out of the tent at the company street .,0.7824280257271103
company.n.02,"He saw the figure of a man in a poncho coming up the company street , with an armful of wood .",0.7429016217463099
company.n.02,"Her mother wrote Kate of her grief at the death of Kate 's baby and at Jonathan 's decision to go with the South `` And , dear Kate '' , she wrote , `` poor Dr. Breckenridge 's son Robert is now organizing a militia company to go South , to his good father 's sorrow .",0.8203671183324975
company.n.02,"The road seemed animated with a few more wagons than usual ; a carriage raising up the choking June dust , and beyond , in a meadow , a local militia company drilling with muskets , Kentuck ' rifles , every kind of horse pistol , old sword , or cutlass .",0.7870721951821366
company.n.02,The men of our company had a dozen fights defending your name .,0.8548438044036979
company.n.02,The men of your company would not allow your name dishonored .,0.8114197299695273
company.n.02,- Fetch me the copies of everything B and C companies have requisitioned in the last six months .,0.7392888608685739
company.n.02,"In September 1822 two companies of infantry arrived at the mouth of the St. Peter's River , the head of navigation on the Mississippi , and began construction of Fort St. Anthony which , upon completion , was renamed in honor of its commander , Colonel Josiah Snelling .",0.7257513959366276
company.n.02,Another force flanked the company and took up a position on a hill to the rear .,0.8236205003724641
company.n.02,"He assembled a group of 25 men , composed of wounded troopers awaiting evacuation , the company clerk , supply men , cooks and drivers , and led them to the hill .",0.832757730700534
company.n.02,"With our company of soldiers , we made one long column of reddish dust .",0.7263956724514224
company.n.01,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen /3 , of El Paso , to acquire sites for underground storage reservoirs for gas .",0.7721195462647089
company.n.01,Dover `` publishes '' what the company calls `` Listen and Learn '' productions designed to teach foreign languages .,0.8045648271469283
company.n.01,Decca is not the only large commercial company to impart instruction .,0.7756721758147502
company.n.01,"Consultation with architects , clients , real estate men , fabric houses and furniture companies is essential to the proper development of class problems just as in actual work .",0.7484184046725328
company.n.01,"`` Hang this around your neck or attach it to other parts of your anatomy , and its rays will cure any disease you have '' , said the company .",0.7613450217872024
company.n.01,"Half a mile below at the mouth of Salyer 's Canyon was an old ranch that the company had purchased from A. J. Armstrong , occupied by a Mexican , his wife , and an old trapper .",0.8154780232774479
company.n.01,"During the following week , six tons of hay belonging to one rancher were burned ; some buildings , farm tools , two horses , plows , and hay owned by Bonito Lavato , a friendly interpreter for the company , and Pedro Chavez ' hay were stolen or destroyed ; and a store was broken into and robbed .",0.8029471571490111
company.n.01,"Cattle stealing and killing , again serious during the spring of 1891 , placed the land grant company officers in a perplexing position .",0.7354027207885855
company.n.01,"Word reached the company that the man behind these depredations was Manuel Gonzales , a man with many followers , including a number who were kept in line through fear of him .",0.7120138668780026
company.n.01,Shares of capital stock at $ 15 each in the latter company were payable at the Bank of Manchester or at various other Vermont banks .,0.780673859002713
company.n.01,"The line soon lived up to its name , as local messages of moderate length could be sent for a dime and the company was quickly able to declare very liberal dividends on its capital stock .",0.8545922313275105
company.n.01,But companies continued to spring up .,0.7731747707435548
company.n.01,"Two companies now had headquarters with Clark J. Wait , who by then had his own drugstore at Factory Point - the `` Northern Union Telegraph Company '' and the `` Western Union '' .",0.8075948793306117
company.n.01,"Marsden was manager of the company for ten years and manager of its successor company , the Colonial Light and Power Company , for one year .",0.7534815973450011
company.n.01,"Marsden was manager of the company for ten years and manager of its successor company , the Colonial Light and Power Company , for one year .",0.7534815973450011
company.n.01,"Companies of all types have made great advances in production capabilities and efficiencies - in modern equipment and new processes , enlarged R + D facilities , faster new product development .",0.818024614759589
company.n.01,"Many companies have upgraded their sales manpower and tested new selling , distribution , and promotion techniques to gain a bigger competitive edge .",0.8455367073408946
company.n.01,"Given this kind of business climate , what competitive marketing problems will your company face in the next 10 yr. ?",0.8718354577327159
company.n.01,Have you examined this problem of increasing consumer sophistication from the standpoint of your own company ?,0.8962839203209408
company.n.01,Has your company thought through its strategy in this whole `` discretionary buying '' area ?,0.8665600177969042
company.n.01,"In one company covering the country with a high quality sales force of 10 men , the president personally phones each major account every 6 mos. .",0.8668999545161571
company.n.01,How much fundamental thinking and research has your company done on its advertising program ?,0.8807178696615824
company.n.01,"While many companies have done fine work in developing sales personnel , much of it has been product rather than sales training .",0.8251706371656189
company.n.01,Has your company developed selection and training processes that are geared to providing the caliber of salesmen you will need in the next 10 yr. ?,0.8763014833261908
company.n.01,Does your company have a program for selecting and developing sales and marketing management personnel for the longer term ?,0.8681211713179183
company.n.01,Many food and beverage companies are already on a highly planned basis .,0.8167371510227298
company.n.01,Are planning and strategy development emphasized sufficiently in your company ?,0.8485080867404987
company.n.01,The key to effective marketing is wrapped up in defining your company 's marketing problems realistically .,0.8606185386329874
company.n.01,"If companies will take the time to give objective consideration to their major problems and to the questions they provoke , then a long constructive step will have been taken toward more effective marketing in next decade .",0.818715901507906
company.n.01,Have you publicized the cents per hour value of the company 's share of insurance premiums ?,0.8813364609311601
company.n.01,Do you try to maintain the principle of employee contributed ( as opposed to fully company paid ) programs ?,0.7563304995523786
company.n.01,Are you utilizing cafeteria space for company meetings or discussions ?,0.7356724903741628
company.n.01,"If you use company transportation to meet trains or to haul visitors , would taxis be cheaper ?",0.7105130529366063
company.n.01,How efficient and necessary are your intra company vehicles ?,0.7702297053465145
company.n.01,Some companies find a little imagination helpful .,0.8050534355596694
company.n.01,"M + R Dietetic Laboratories , Inc. , Columbus , gives all its workers a facsimile checkbook - each check showing the amount the company spends on a particular fringe .",0.8768681171353249
company.n.01,Keep the retirement age flexible so skilled craftsmen such as tool and die makers can be kept on the job for the convenience of the company .,0.8768478623715904
company.n.01,"And they can at least collect the money they put in , plus interest , when they leave the company .",0.8446775229842709
company.n.01,It is believed that Hudson was related to other seafaring men of the Muscovy Company and was trained on company ships .,0.7237562527210541
company.n.01,"As the time drew near for the drawing of the British American frontier by terms of the agreement of 1818 , the company suspected that the Pembina colony - its own post and Fort Daer - was on American territory .",0.7167082229514165
company.n.01,"The biggest loss , of course , was the individual 's lessened desire and ability to give his services to the growth of his company and our economy .",0.854290423044363
