sense,sentence,centroid_cs
force.n.01,"Arnold 's iron shot from the tee burrowed into the bunker guarding the green , an embankment that had become soft and spongy from the rains , thereby bringing local rules into force .",0.6465878612145094
force.n.01,"Its folklore and legend , usually disguised as history , are allowed to account for group actions , to provide a focal point for group loyalty , and to become a cohesive force for national identification .",0.7898660784519159
force.n.01,"Most of these , with horrible exceptions , were conceived as is a ship , not as an attempt to quell the ocean of mankind , nor to deny its force , but as a means to survive and enjoy it .",0.8316181012609783
force.n.01,"The great ultimate ends of religion have served as magnificent beacon lights that lured people toward them with an almost irresistible force , mobilizing energies and inducing sacrifices ; for example , the Crusades , mission efforts , just wars .",0.8590765389400147
force.n.01,"These are the centuries in which the inhabitants of the Aegean world settled firmly into their minds and into their institutions the foundations of the Hellenic outlook , independent of outside forces .",0.8006404282377648
force.n.01,"But perhaps this was a part of the eternal plan , that man 's ambition when linked with God would be a driving , indefatigable force for good in the world .",0.854172063260113
force.n.01,"This is the force , in our time and in every other time , that urges the paranoiac and the manic-depressive to become head of a state .",0.8426376646112951
force.n.01,"Prokofieff might well emerge as a cultural hero , who , by the force of his creative life , helped preserve the main stream of tradition , to which the surviving idioms of current experimentalism may be eventually added and integrated .",0.7460052003460018
force.n.01,Prokofieff was able to adjust his creative personality to a swiftly changing world without losing his particular force and direction .,0.8247518646590996
force.n.01,The reason offered for clinging to the ancestral faith lacked force and authority even in the teen-agers ' minds .,0.8175311696767913
force.n.01,"Religious faith can be considered a necessary condition of membership in a congregation , since the decision to join a worshiping group requires some motive force , but faith is not a sufficient condition for joining ; the presence of other members of similar social and economic level is the sufficient condition .",0.7964411737914829
force.n.01,"More than creatures of metropolitan forces , the churches have taken the lead in counteracting the interdependence of metropolitan life , crystallizing and perpetuating the stratification of peoples , giving form to the struggle for social homogeneity in a world of heterogeneous peoples .",0.803628977644363
force.n.01,"Since American life is committed above all to productivity and a higher standard of economic life , the countervailing forces of residential and religious exclusiveness have fought a desperate , rearguard action against the expanding interdependence of the metropolis .",0.812794415350207
force.n.01,An understanding of the new role of residential association in an industrial society serves to illuminate the forces which have fashioned the iron cage of conformity which imprisons the churches in their suburban captivity .,0.823739712509707
force.n.01,"Mimesis is the nearest possible thing to the actual re-living of experience , in which the imagining person recovers through images something of the force and depth characteristic of experience itself .",0.8363641222265886
force.n.01,"When words can be used in a more fresh and primitive way so that they strike with the force of sights and sounds , when tones of sound and colors of paint and the carven shape all strike the sensibilities with an undeniable force of data in and of themselves , compelling the observer into an attitude of attention , all this imitates the way experience itself in its deepest character strikes upon the door of consciousness and clamors for entrance .",0.7953784082944251
force.n.01,"When words can be used in a more fresh and primitive way so that they strike with the force of sights and sounds , when tones of sound and colors of paint and the carven shape all strike the sensibilities with an undeniable force of data in and of themselves , compelling the observer into an attitude of attention , all this imitates the way experience itself in its deepest character strikes upon the door of consciousness and clamors for entrance .",0.7953784082944251
force.n.01,And I select this sentence as its pertinent summation : `` In essence the drama of his ( Eisenhower 's ) Presidency can be described as the ordeal of a nation turned conservative and struggling - thus far with but limited and precarious success - to give effective voice and force to that conservatism '' .,0.7783238511089656
force.n.01,"Hence the prime issue , as I see it , is whether a democratic or free society can master technology for the benefit of mankind , or whether technology will rule and develop its own society compatible with its own needs as a force of nature .",0.7973853487133299
force.n.01,Certainly external forces should not be applied arbitrarily out of mere power available to do so .,0.8037304899106384
