sense,sentence,centroid_cs
manner.n.02,"Sparrow size Virginia Gibson , with sparkling blue eyes and a cheerful smile , made a suitably perky Amy , while Melisande Congdon , as the real aunt , was positively monumental in the very best Gibson Girl manner .",0.8235560747641636
manner.n.02,"The door was answered by a slender man in his sixties - straight backed , somewhat clerical in manner , wearing rimless glasses .",0.7742549803398179
manner.n.02,He was smooth and civil spoken but it seemed to me there was something tough under his self-effacing manner .,0.8336733533368654
manner.n.02,"Twenty years ago , she would have been known as a golf widow , and the sum of her manner was perhaps one of bereavement .",0.7964457477838451
manner.n.02,"To make it clearer he shifted to acting out , but with no change of manner , the killing of Rose Mallory .",0.7798176444352374
manner.n.02,"This carried over into the more urbanized late 19 th and early 20 th centuries , when the man ruled the roost in the best bull roaring Life With Father manner .",0.7188830803094566
manner.n.02,I 'm talking about the grand manner of the Liberal - North and South - who is not affected personally .,0.7382338831351323
manner.n.02,"So we are faced with a vast network of amorphous entities perpetuating themselves in whatever manner they can , without regard to the needs of society , controlling society and forcing upon it a regime representing only the corporation 's needs for survival .",0.6460264106275685
manner.n.02,"One handled the salesman in a friendly manner , another in a rough manner , and the third in a hesitating manner .",0.8872144646925472
manner.n.02,"One handled the salesman in a friendly manner , another in a rough manner , and the third in a hesitating manner .",0.8872144646925472
manner.n.02,"One handled the salesman in a friendly manner , another in a rough manner , and the third in a hesitating manner .",0.8872144646925472
manner.n.02,"The whole thing , his manner conveyed , was so far outside the normal routine of Hohlbein and Garth that it practically demanded being swept under the rug .",0.8398654624840036
manner.n.01,"The jury further said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",0.760874281173372
manner.n.01,"Regarding Atlanta 's new million dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .",0.8238623045338673
manner.n.01,"No reference is made to the possibility of recording other than popular music in this manner , and it would not seem to lend itself well to serious music .",0.8561557406709274
manner.n.01,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to abandon completely a mythological manner of representation .",0.7271093165474124
manner.n.01,The Pushup done in this manner is the greatest pectoral rib cage stretcher ever invented !,0.8376203081916203
manner.n.01,"After you have taken a breather , reverse the position of your legs so that the front thigh of the previous exercise is now to the rear , and the rear thigh now to the front , and perform the same movement in the same manner .",0.8751612612425438
manner.n.01,"( Babin has acquired some of Schnabel 's keyboard manner , but his playing is of limited insight . )",0.6335872014395967
manner.n.01,In this manner they side-step the seemingly hopeless investigation of the greater depths of mystery in which all of us grope continually .,0.7486467055314842
manner.n.01,"The elasticity as a parameter of fluids which is not subject to simple measurement at present , and it is a parameter which is probably varying in an unknown manner with many commercial materials .",0.809243621921293
manner.n.01,"The **f layers are stacked normal to the [ 111 ] axis with the lower oxygens of one layer directly above the upper oxygens of the neighboring lower layer , in such a manner that the repeat is every three layers .",0.7789265333953584
manner.n.01,Related to micelle formation is the technologically important ability of detergent actives to congregate at oil water interfaces in such a manner that the polar ( or ionized ) end of the molecule is directed towards the aqueous phase and the hydrocarbon chain towards the oily phase .,0.8228451505394893
manner.n.01,"In the cleaning process , sorbed greasy soils become coated in this manner with an oriented film of surfactant .",0.8307619784126912
manner.n.01,"moreover , diffuses through structures in much the same manner as a gas .",0.8404725325206963
manner.n.01,The saline tubes were saved and used for the indirect Coombs test in the following manner .,0.8697746925227917
manner.n.01,This conjugate was passed twice through Dowex-2-chloride and treated with various tissue powders in the same manner as described for the indirect method .,0.8430552415265695
manner.n.01,"The emotional states produced by drugs influence the cortical potentials in a characteristic manner ; synchrony prevails in the EEG of the experimental animal after administration of tranquilizers , but asynchrony after application of analeptic and psychoactive drugs .",0.8374677050797933
manner.n.01,We shall show that the polynomials * * f behave in the manner described in the first paragraph of the proof .,0.8036856409782923
manner.n.01,"But by the tracing procedure , he could , in a strange obviously kinesthetic manner , find the unseen form ; could piece , as it were , the jumbled mass together into an organized whole and then recognize it as a man or a triangle or whatever it turned out to be .",0.8530724705619406
manner.n.01,"He did not wish to deceive Kayabashi exactly , just to display the mission activities in a graphic and impressive manner .",0.84106765404696
manner.n.01,"He had reached the three passive guards ; he crept in an incertain manner , patting the ground before him .",0.7846962558116463
manner.n.01,He was dressed in a manner Esquire might suggest for the outdoor man 's country weekend .,0.7263726700747938
manner.n.01,"In this manner , he seeks to expunge from his own soul the guilt pangs caused by his personal assaults against the English at Dunkirk .",0.7518926235093275
manner.n.01,"From this point , I paint in as direct a manner as possible , by flowing on the washes with as pure a color mixture as I can manage .",0.8253837496695066
manner.n.01,This will mean that every time there 's an increase in hospital rates your cost will go up in like manner .,0.8135738689990676
manner.n.01,"Scarcity of paper caused many Southerners to adopt the practice of cross writing , i. e. , after writing from left to right of the page in the usual manner , they gave the sheet a half turn and wrote from end to end across the lines previously written .",0.8497241103862558
manner.n.01,"The Ivy League enjoys no easy dominion here , and the boys are as likely to dress in rather foppish Continental fashion , or even in nondescript working class manner , as they are in the restrained , button-down Ivy way .",0.7301485172269815
manner.n.01,"All research within the United States contracted for , sponsored , cosponsored , or authorized under authority of this Act , shall be provided for in such manner that all information , uses , products , processes , patents , and other developments resulting from such research developed by Government expenditure will ( with such exceptions and limitations , if any , as the Secretary may find to be necessary in the interest of national defense ) be available to the general public .",0.6825101621375679
manner.n.01,"In this manner , the factors measured by the intelligence test were controlled , allowing discovered differences in achievement to be interpreted as resulting from other variables .",0.8065422285713373
manner.n.01,"Our conjecture is , then , that regardless of the manner in which school lessons are taught , the compulsive child accentuates those elements of each lesson that aid him in systematizing his work .",0.7782114487120669
manner.n.01,"To prevent the manager from deliberately controlling himself only during the sessions , they were rather lengthy ( about twenty minutes ) , the situations were imperfectly described to the manager so that he would not know what to expect , new antagonists were brought on the scene unexpectedly , and the antagonists were instructed to deliberately behave in such ways as to upset the manager and get him to operate in a manner for which he had been previously criticized .",0.806972916760957
manner.n.01,The manner in which this is shared among firms is taken as given .,0.7902046401471784
manner.n.01,"For exactly one week , she was able to continue in this manner .",0.8349402349192668
manner.n.01,"There was no time to pick out a penny ; I got a coin between my thumb and forefinger , leaned my elbows in a very natural and casual manner on top of the truck cab and flipped my little missile .",0.8052971258131116
