sense,sentence,centroid_cs
continue.v.03,"Extension of the ADC program to all children in need living with any relatives , including both parents , as a means of preserving family unity .",0.853888469796382
continue.v.03,"Folklore is individually created art that a homogeneous group of people preserve , vary and recreate through oral transmission .",0.726028950252512
continue.v.03,And so well is such ignorance preserved by the amateur and the money-maker that even at the college level most of the hundred odd folklore courses given in the United States survive on sentiment and nationalism alone .,0.7557424654065045
continue.v.03,"The Providence Daily Journal stated that although the guilt of Brown was evident , the South must guarantee him a fair trial to preserve domestic peace .",0.8631091820029685
continue.v.03,"Prokofieff might well emerge as a cultural hero , who , by the force of his creative life , helped preserve the main stream of tradition , to which the surviving idioms of current experimentalism may be eventually added and integrated .",0.8891856919854935
continue.v.03,"A congregation survives only if it can sustain a socially homogeneous membership ; that is , when it can preserve economic integration .",0.9039137194525974
continue.v.03,"The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; moreover , residential mobility is so high in metropolitan areas that churches have to recruit constantly in their core stratum in order to survive ; they can lose higher - and lower status members from the church without collapsing , but they need adequate recruits for the core stratum in order to preserve economic integration .",0.8756341282772024
continue.v.03,"Political interference in Africa and Asia and even in Latin America ( though limited in Latin America by the special interest of the United States as expressed in the Monroe Doctrine , itself from the outset related to European politics and long dependent upon the `` balance of power '' system in Europe ) was necessary in order to preserve both common economic values and the European `` balance '' itself .",0.893126330458565
continue.v.03,"And when he did , when he gave to his ship that protection necessary to preserve her honor , he knew he would lose forever the Navy to which he had dedicated his soul .",0.8136793768751184
continue.v.03,"He said `` Morris County is rapidly changing and unless steps are taken  to preserve the green areas , there will be no land left to preserve '' .",0.8151546545379558
continue.v.03,"He said `` Morris County is rapidly changing and unless steps are taken  to preserve the green areas , there will be no land left to preserve '' .",0.8151546545379558
continue.v.03,Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ?,0.8867524535070296
continue.v.03,"Compare this statement of a nineteenth-century judge with how Congressman Martin , according to the Daily Labor Report of Sept. 19 , 1961 , defends the necessity of enacting anti-trust legislation in the field of labor `` if we wish to prevent monopolistic fixing of wages , production or prices and if we wish to preserve the freedom of the employer and his employees to contract on wages , hours and conditions of employment '' .",0.901633853761561
continue.v.03,"Arnolphe , it will be recalled , is a man of mature years who tries to preserve the innocence of his youthful wife-to-be .",0.8828788179957402
continue.v.03,The armchair traveler preserves his illusions '' .,0.7490201718964294
continue.v.03,"But one does not have to affirm the existence of an evil order irredeemable in that sense , or a static order in which no changes will take place in time , to be able truthfully to affirm the following fact : there has never been justitia imprinted in social institutions and social relationships except in the context of some pax-ordo preserved by clothed or naked force .",0.7701346966678709
continue.v.03,"Now to him who is able to preserve you without sin and to set you before the presence of his glory , without blemish , in gladness , to the only God our Savior , through Jesus Christ our Lord , belong glory and majesty , dominion and authority , before all time , and now , and forever .",0.8424406132200055
continue.v.03,"He fought to the end to preserve it as a `` government of the people , by the people , for the people '' .",0.8924422732958844
continue.v.03,"The 140414 Americans who gave `` the last full measure of devotion '' to prevent disunion , preserved individual freedom in the United States from the dangers of anarchy , inherent in confederations , which throughout history have proved fatal in the end to all associations composed primarily of sovereign states , and to the liberties of their people .",0.7834927912444675
continue.v.03,There were no depressingly serious cases : the ward doctor sometimes teamed up with the chaplain to serve as a marriage counselor - sometimes the Navy sent people back to the States to preserve a marriage - but mental health as a rule was very high .,0.8281478087802968
