sense,sentence,centroid_cs
frequency.n.02,"So we may conceive the coexistence of the infinite number of universal , apparently momentary states of matter , successive one after another in consciousness , but permanent each on its own basic phase of the progressive frequencies .",0.8750232922479587
frequency.n.02,"Three seconds flat is the usual time , and the space is crossed by moderate mileage , while the overwhelming immensity of such journeys must be conceived as a static pulsation through an enormous number of coexistent frequencies which perpetuate all events .",0.8735437810662914
frequency.n.02,"The body , senses and brain , in common with all matter , have their counterpart on each of a countless number of frequencies .",0.8630408585947379
frequency.n.02,"The senses in each counterpart bear the impression only of phenomena that share its own frequency , whereas those upon all other frequencies are invisible , inaudible and intactible to them .",0.8698974691450995
frequency.n.02,"The senses in each counterpart bear the impression only of phenomena that share its own frequency , whereas those upon all other frequencies are invisible , inaudible and intactible to them .",0.8698974691450995
frequency.n.02,"that the dream was a reality on the infinite progressions of universal , gradient frequencies , across which the modern professor and the priest of ancient Nippur met ?",0.8725317585379772
frequency.n.02,"Thus his persistence values for some stem frequencies per meaning is : stem identical in 8 languages , 100 % ; stem frequencies 7 and 1 , 86 % ; stem frequencies 4 and 4 , 64 % ; stem frequencies 4 , 3 , and 1 , 57 % .",0.9083627636551577
frequency.n.02,"Thus his persistence values for some stem frequencies per meaning is : stem identical in 8 languages , 100 % ; stem frequencies 7 and 1 , 86 % ; stem frequencies 4 and 4 , 64 % ; stem frequencies 4 , 3 , and 1 , 57 % .",0.9083627636551577
frequency.n.02,"Thus his persistence values for some stem frequencies per meaning is : stem identical in 8 languages , 100 % ; stem frequencies 7 and 1 , 86 % ; stem frequencies 4 and 4 , 64 % ; stem frequencies 4 , 3 , and 1 , 57 % .",0.9083627636551577
frequency.n.02,"Thus his persistence values for some stem frequencies per meaning is : stem identical in 8 languages , 100 % ; stem frequencies 7 and 1 , 86 % ; stem frequencies 4 and 4 , 64 % ; stem frequencies 4 , 3 , and 1 , 57 % .",0.9083627636551577
frequency.n.02,But consideration of the frequency of stems per constant meaning seems to be established as having significance in comparative situations with diachronic and classificatory relevance ; and Gleason presumably is on the way with a further contribution in this area .,0.7497093144468672
frequency.n.01,"The effect of the recording is very open and natural , with the frequency emphasis exactly what you would expect from a live performance .",0.84094403289578
frequency.n.01,"We know that the number of radio and television impulses , sound waves , ultra-violet rays , etc. , that may occupy the very same space , each solitary upon its own frequency , is infinite .",0.877609023567655
frequency.n.01,"A modulation frequency of 40 cps with an amplitude as small as possible , commensurate with reasonably good signal-to-noise quality , was used .",0.8510402111181677
frequency.n.01,The energy received by the `` pill '' causes the resonant circuit to `` ring '' on after the burst and this `` ringing '' takes place at the resonant frequency of the `` pill '' .,0.8743192015101252
frequency.n.01,"These frequencies are amplified and detected by the FM receiver after each burst of transmitted energy and , after the `` pill '' has been calibrated , precise internal pressure indications can be obtained .",0.901190732147246
frequency.n.01,"In medicine the frequencies are much higher , transducers and the sonar beams themselves are much smaller , and different scanning techniques may be used , but the principles involved are the same as in sonar .",0.8897543272087413
frequency.n.01,The frequency used for these experiments is 15 mc. and the transducer is a specially cut crystal with an epoxy lens capable of providing beam diameters smaller than one millimeter .,0.8585556744556999
frequency.n.01,"It is she who decides the time , the place , the surroundings , and the frequency of the sexual act .",0.7224753381559267
frequency.n.01,"High sensitivity in radio telescopes is achieved by reducing the bandwidth of the receiver ; therefore , only with precise foreknowledge of the line frequencies is an astronomical search for the radio spectra of these molecules feasible .",0.8674533822439648
frequency.n.01,"To secure precise measurements of these frequencies , a research program in free radical microwave spectroscopy has been started .",0.8788293101161152
frequency.n.01,"Results of this experiment include the frequencies of the two strong spectral lines by which OH may be identified in interstellar gas ; the frequencies are 1665.32 and 1667.36 * * f , with an uncertainty of 0.10 * * f .",0.8895828526867905
frequency.n.01,"Results of this experiment include the frequencies of the two strong spectral lines by which OH may be identified in interstellar gas ; the frequencies are 1665.32 and 1667.36 * * f , with an uncertainty of 0.10 * * f .",0.8895828526867905
