sense,sentence,centroid_cs
burn.v.01,"During the following week , six tons of hay belonging to one rancher were burned ; some buildings , farm tools , two horses , plows , and hay owned by Bonito Lavato , a friendly interpreter for the company , and Pedro Chavez ' hay were stolen or destroyed ; and a store was broken into and robbed .",0.7779969832510725
burn.v.01,"This was fortunate , as the Vail plant burned in 1905 .",0.7739940798623933
burn.v.01,"Gouge , burn , blast , insult it as they would , could anyone really take Papa-san ?",0.7919753301749999
burn.v.01,"Rousseau is so persuasive that Voltaire is almost convinced that he should burn his books , too .",0.818351897744005
burn.v.01,"Burial had taken place at night in the ground at the public crossroads under the gibbet , so that his enemies could not find his body and have it dug up and burned .",0.8535159905220532
burn.v.01,The FBI yesterday arrested on a perjury charge one of the members of the jury that failed to reach a verdict in the `` Freedom Rider '' bus burning trial four weeks ago .,0.7610821451242125
burn.v.01,The crisis burns these suddenly away .,0.6357776957198107
burn.v.01,"Modern Zen presentation to the West insists on the anti-authoritarian , highly pragmatic nature of the Zen belief - scriptures are burned to make fire , action is based on direct self-confidence , and so on .",0.8081221333566013
burn.v.01,"It seems reasonable that if general nuclear war is not to be one cataclysmic act of burning each other 's citizens to cinders , we must have a manned strategic force of long-endurance aircraft capable of going into China or Russia to find and destroy their strategic forces which continued to threaten us .",0.8119791558418475
burn.v.01,"It would be made in three waves - the first to lay down a smokescreen , the second to drop the gas bombs , the third to shower incendiaries which would burn everything below .",0.8510044900348249
burn.v.01,"She said that proved she was n't to be trusted with a fire in her room , and she could be burned to a crisp without anybody knowing it .",0.8631078143815688
