sense,sentence,centroid_cs
promote.v.01,For my seedbed I use good garden soil with a little sand added to encourage rooting .,0.7775453658560952
promote.v.01,"That encourages rooting , and the better developed the roots , the larger and more plentiful the flowers .",0.6875256883126335
promote.v.01,Parents should be informed about this system and encouraged to do the same with the whole family at home .,0.7972845055089279
promote.v.01,"As a source of investment capital , the system is beneficial to local communities and encourages the development of industries in rural areas .",0.8429451958913763
promote.v.01,"To encourage exploration for domestic sources of minerals , the Office of Minerals Exploration ( OME ) of the U.S. Department of the Interior offers financial assistance to firms and individuals who desire to explore their properties or claims for 1 or more of the 32 mineral commodities listed in the OME regulations .",0.8604472871353085
promote.v.01,"Above all , we should seek to encourage the leaders of these societies to accept the unpleasant fact that they are responsible for their fates .",0.8619457078587409
promote.v.01,"We should encourage the governments to develop their own technical assistance to communities , state and provincial governments , rural communities , and other smaller groups , making certain that no important segment of the economy is neglected .",0.8505089439846574
promote.v.01,It should be American policy not only to encourage effective land reform programs but also to underline the relation of such reforms to the economic growth and modernization of the society .,0.8773751372027322
promote.v.01,The general setting of the Moroccan election may also encourage the deterioration of local party organization .,0.8269337007317252
promote.v.01,Has your attitude toward employee benefits encouraged an excess of free `` government '' work in your plant ?,0.7518114457241248
promote.v.01,Are they encouraged to take full legal advantage of these benefits ?,0.8003196080373425
promote.v.01,The most effective way to develop more places for more sportsmen to shoot is to encourage properly managed shooting preserves .,0.8859093527518529
promote.v.01,"Instead of Catholics ' being obliged or even encouraged to beget the greatest possible number of offspring , as many non-Catholics imagine , the ideal of responsible parenthood is stressed .",0.795388947301685
promote.v.01,"Family planning is encouraged , so that parents will be able to provide properly for their offspring .",0.788526949186995
promote.v.01,"All four types of message listed in Table 1 are permitted , although decorum and cocktail tradition require holding the commands to a minimum , while exclamations having complimentary intonations are more than customarily encouraged .",0.7620451883534067
promote.v.01,"conduct , encourage , and promote fundamental scientific research and basic studies to develop the best and most economical processes and methods for converting saline water into water suitable for beneficial consumptive purposes ;",0.6626180066408678
promote.v.01,"He is expected to supervise , to encourage , to direct , to assist in any way he can .",0.7634865751178144
promote.v.01,The Federal program of vocational education merely provides financial aid to encourage the establishment of vocational education programs in public schools .,0.8352357535858077
promote.v.01,"The state may decide to encourage local programs by paying half of the cost , or the state may require the local district to bear this half or some part of it .",0.8041552045005912
promote.v.01,The greatest impact of the matching fund principle has been in initially encouraging the poorest states and school districts to spend enough to obtain their full allocation of outside funds .,0.8159387477250488
promote.v.01,State and local agencies in the vocational education field must be encouraged to adopt a wider outlook on future job opportunities .,0.7621945550934116
promote.v.01,A lock on the toilet would encourage malingering and primping .,0.7657196648691008
promote.v.01,Foreign aid programs were revamped to give greater emphasis to economic aid and to encourage political reform in recipient nations .,0.8717433071602042
promote.v.01,He declared on March 25 that the United States had erred a year and a half ago by `` encouraging the removal '' of Prince Souvanna .,0.7529349613381364
promote.v.01,"Encouraging by every means , all existing Assemblies of God churches to start new churches .",0.7873716772055321
promote.v.01,"While availability of mortgage money has been a factor in encouraging apartment construction , the generally high level of prosperity in the past few years plus rising consumer income are among the factors that have encouraged builders to concentrate in the apartment-building field .",0.7560217475420457
