sense,sentence,centroid_cs
phase.n.01,"You will need a stereo music system , with speakers preferably placed at least seven or eight feet apart , and one or more of the new London `` Phase 4 '' records .",0.7327772261128642
phase.n.01,London explains that the very distinct directional effect in the Phase 4 series is due in large part to their novel methods of microphoning and recording the music on a number of separate tape channels .,0.6352393093832082
phase.n.01,In the earlier years of training certain phases of the work must be covered and the synthetic problem has its use .,0.8464195521094351
phase.n.01,"One-day conferences covering some specific phase of business management , also part of the continuing activities of the Small Business Administration , aid community economic development programs .",0.812370358606932
phase.n.01,"In the observations at 4.3 mm ( Coates , 1959 a ) , the diameter of the antenna beam , 6 ' .7 , was small enough to allow resolution of some of the larger features of the lunar surface , and contour diagrams have been made of the lunar brightness distribution at three lunar phases .",0.5983861347447857
phase.n.01,"The result of the observations is ( in ` K ) **f where the phase angle , |qt , is measured in degrees from new moon and the probable errors include absolute as well as relative errors .",0.5297185136877202
phase.n.01,Another great danger is that the emerging middle class will feel itself increasingly alienated from the political leaders who still justify their dominance by reference to the struggle for independence or the early phase of nationalism .,0.8223571835168031
phase.n.01,The Dipylon Geometric pottery of Athens and the Iliad are amazing manifestations of the inherent potentialities of Greek civilization ; but both were among the last products of a phase which was ending .,0.7839894373520581
phase.n.01,The growing contacts between Aegean and Orient are also a phase which should be linked primarily to the remarkable broadening of Hellenic culture after 750 .,0.8080629225864744
phase.n.01,"In the Analytical phase of their Cubism , Braque and Picasso had not only had to minimize three-dimensionality simply in order to preserve it ; they had also had to generalize it - to the point , finally , where the illusion of depth and relief became abstracted from specific three-dimensional entities and was rendered largely as the illusion of depth and relief as such : as a disembodied attribute and expropriated property detached from everything not itself .",0.7906567859389719
phase.n.01,"Cubism , in its 1911 - 1912 phase ( which the French , with justice , call `` hermetic '' ) was on the verge of abstract art .",0.8287698717706764
phase.n.01,Have cost studies been made of every phase of your operation to determine what might be done if things get worse ?,0.8405389065462064
phase.n.01,"Have you evaluated the proper place of advertising and all phases of promotion in your total marketing program - from the standpoint of effort , money , and effectiveness ?",0.8211316293942743
phase.n.01,Have you audited your program recently to weed out those phases that draw least participation ?,0.827513188068412
phase.n.01,"Unlimited game bags are possible and legal in more than 40 states , on shooting preserves ( one of the newer phases of modern game management ) for five and six months each year .",0.8059492184388105
phase.n.01,"It was the conclusion of the first phase of a process of tragic recollection , and of refining the recollection , that will last as long as there are Jews .",0.8699361543253977
phase.n.01,"In other words , the promulgators of the murder plan made clear that physically exterminating the Jews was but an extension of the anti-Semitic measures already operating in every phase of German life , and that the new conspiracy counted on the general anti-Semitism that had made those measures effective , as a readiness for murder .",0.775397363387514
phase.n.01,America is now joining Europe in this `` mature '' phase of development .,0.8572646823653346
phase.n.01,"And yet - a year to a child is an eternity , and in the memory that phase of one 's being - a certain mental landscape - will seem to have endured without beginning and without end .",0.8565653823439907
phase.n.01,"The Charles Men consists not of a connected narrative but of a group of short stories , each depicting a special phase of the general subject .",0.8198065034554191
phase.n.01,the magnitude of effort and costs of each of these possible phases of an effective safety program for metal and nonmetallic mines ( excluding coal and lignite mines ) ; and the scope and adequacy of State mine safety laws applicable to such mines and the enforcement of such laws .,0.8138845977153469
phase.n.01,"A blow to this phase of the Central 's operations would have serious economic consequences not only to the railroad itself , but to the 40000 people per day who are provided with efficient , reasonably priced transportation in and out of the city .",0.8306072421854553
phase.n.01,"At another phase in the therapy , when a pathogenic mother introject began to emerge more and more upon the investigative scene , she muttered in a low but intense voice , to herself , `` I hate that woman inside me '' !",0.7939400595884027
phase.n.01,But it is worth pondering that very little has been published on any phase of field techniques in linguistics .,0.8395382981128777
phase.n.02,"So we may conceive the coexistence of the infinite number of universal , apparently momentary states of matter , successive one after another in consciousness , but permanent each on its own basic phase of the progressive frequencies .",0.6874525445499761
phase.n.02,"In an essentially static system , an oil cannot be replaced by water on a surface unless the interfacial tensions of the water phase are reduced by a surface-active agent .",0.8659838721296963
phase.n.02,"( 3 ) For anionics , these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups ( the ionized ends ) face outward towards the aqueous continuous phase .",0.9103073980056078
phase.n.02,"Obviously hydrophobic ( oleophilic ) substances such as greases , oils , or particles having a greasy or oily surface are more at home in the center of a micelle than in the aqueous phase .",0.9027577756931395
phase.n.02,Related to micelle formation is the technologically important ability of detergent actives to congregate at oil water interfaces in such a manner that the polar ( or ionized ) end of the molecule is directed towards the aqueous phase and the hydrocarbon chain towards the oily phase .,0.8786105593966719
phase.n.02,Related to micelle formation is the technologically important ability of detergent actives to congregate at oil water interfaces in such a manner that the polar ( or ionized ) end of the molecule is directed towards the aqueous phase and the hydrocarbon chain towards the oily phase .,0.8786105593966719
phase.n.02,"Then during washing , the greasy soil rolls back at the edges so that emulsified droplets can disengage themselves from the sorbed oil mass , with the aid of mechanical action , and enter the aqueous phase .",0.8812601580811055
phase.n.02,Substances other than detergent actives also tend to be strongly sorbed from aqueous media onto surfaces of other contiguous condensed phases .,0.8080204085822055
phase.n.02,The negatively charged dirt particles then leave the surface and go into the aqueous phase .,0.8973287073905567
phase.n.02,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light absorbed only by the * * f .,0.8999968483678666
phase.n.02,"In the gas phase , with * * f of * * f and * * f of * * f , quantum yields of the order of * * f have been observed at 85 ` .",0.8830039508176623
phase.n.02,The rate of the gas phase exchange reaction appears to be proportional to the first power of the absorbed light intensity indicating that the radical intermediates are removed at the walls or by reaction with an impurity rather than by bimolecular radical combination reactions .,0.8281781266147906
phase.n.02,"It would appear that it should be possible to determine unique mechanisms for the thermal and photochemical reactions in both the liquid and gas phases and to determine values for activation energies of some of the intermediate reactions of atoms and free radicals , as well as information on the heat of dissociation of the carbon halogen bond .",0.842578773465271
phase.n.02,"The contents of the manifold for liquid phase experiments were then mixed by shaking , redistributed to the reaction tubes , frozen down , and each tube was then sealed off .",0.8621956418074214
phase.n.02,The reactants for the gas phase experiments were first frozen out in a side arm attached to the manifold and then allowed to distill slowly into the manifold of pre-cooled reaction cells before sealing off .,0.8643552238407233
phase.n.02,The samples for liquid phase thermal reaction studies were prepared in Pyrex capillary tubing 2.5 mm. i.d. and about 15 cm. long .,0.8566665871657787
phase.n.02,Carrier * * f was added and the aqueous and organic phases were separated ( cells containing gaseous reactants were immersed in liquid air before opening under sodium iodide ) .,0.8588160876927289
phase.n.02,"After titration of the liberated * * f with * * f , aliquots of the aqueous and of the organic phase were counted in a solution type Geiger tube .",0.9013009373345144
phase.n.02,In the liquid phase runs the amount of carbon tetrachloride in each reaction tube was determined by weighing the tube before opening and weighing the fragments after emptying .,0.8587446888805241
phase.n.02,"In studying the liquid phase thermal reaction , some 70 tubes from 12 different manifold fillings were prepared and analyzed .",0.8569517402535599
phase.n.02,"The liquid phase photochemical exchange between chlorine and carbon tetrachloride was more reproducible than the thermal exchange , although still erratic .",0.8467730070416434
phase.n.02,"Although there was some variation in results which must be attributed either to trace impurities or to variation in wall effects , the photochemical exchange in the gas phase was sufficiently reproducible so that it seemed meaningful to compare the reaction rates in different series of reaction tubes for the purpose of obtaining information on the effect of chlorine concentration and of carbon tetrachloride concentration on the reaction rate .",0.886942143880013
