sense,sentence,centroid_cs
point.n.02,"In a long commentary which he has inserted in the published text of the first act of the play , he says at one point : `` However , that experience never raised a doubt in his mind as to the reality of the underworld or the existence of Lucifer 's many faced lieutenants .",0.6861866247135711
point.n.02,"Start by falling forward to a point close to the feet , and , as strength improves , fall farther and farther out .",0.7795078228460671
point.n.02,"And this occurs now , at the refrain of Jacoby 's song - at the point , in fact , of the name `` Lizzy '' - ; a modulation described as `` almost a stroke of genius '' .",0.7958167075810039
point.n.02,"Less ambitious freeway plans may be more successful - especially when the roadways and interchanges are raised , allowing for cross access at many points and providing parking areas below the ramp .",0.8080720236116493
point.n.02,"If he were to go with White , he would be out there two days , not just listening in the dark at some point between here and Papa-san , but moving ever deeper into enemy land - behind Papa-san itself .",0.7674299686447015
point.n.02,At 2130 hours they had passed through the barbed wire at the point of departure .,0.7208470779941689
point.n.02,"At the point where they ended , another settlement grew up around a chapel built at the boat landing by Father Lucian Galtier in 1840 .",0.7123724900515251
point.n.02,"While accounts of the progress of the tsunami came in from various points in the Pacific ( Midway reported it was covered with nine feet of water ) , the Hawaiian station made its calculations and notified the military services and the police that the first big wave would arrive at Honolulu at 23 : 30 Greenwich time .",0.747175557597587
point.n.02,"Since the air is a continuum , the network of communication remains intact regardless of the positions or motions of the points ( the people ) in the net .",0.817810863108125
point.n.02,"As shown in Figure 1 , there is a connection for communication between every pair of points .",0.8187047277885273
point.n.02,"For the occasion on which everyone already knows everyone else and the host wishes them to meet one or a few honored newcomers , then the `` open house '' system is advantageous because the honored guests are fixed connective points and the drifting guests make and break connections at the door .",0.8033698602665121
point.n.02,"In Figure 2 , the points in the network are designated by a letter accompanied by a number .",0.8200921616983645
point.n.02,"His repeated experimentation with the techniques of fiction testifies to an independence of mind and an originality of approach , but it also shows him touching at many points the stream of literary development back of him .",0.6748685213579521
point.n.02,"One of the early humorists already mentioned , Thomas Bangs Thorpe , can be used to illustrate another point where Faulkner touches authentic Southern materials and also earlier literary treatment of those materials .",0.7301115151978419
point.n.02,"the term `` State '' includes the Commonwealth of Puerto Rico and any possession of the United States ; and the term `` commerce '' means commerce between any State and any place outside thereof , or between points within the same State but through any place outside thereof .",0.8214884972790278
point.n.02,"The New York Central has pointed out that this control , if approved by the Interstate Commerce Commission , would give the combined C.+O. - B.+O. Railroad a total of 185 points served in common with the New York Central .",0.7492260240458651
point.n.02,But he had found all of the thickets and points of cover deserted .,0.7459916469493175
degree.n.02,But he had in Walter Hendl a willing conductor able only up to a point .,0.798446262137705
degree.n.02,But Mr. Hendl does not go straight to any point .,0.7835283333449597
degree.n.02,"The concert opened with another big romantic score , Schumann's Overture to Manfred , which suffered fate , this time with orchestral thrusts to the Byronic point to keep it afloat .",0.8144768622052125
degree.n.02,"By this time Henri 's entire chest back - lat shoulder area is pumped-up to almost bursting point , and Claude takes time to do a bit more pectoral front deltoid shaping work .",0.6908759667426915
degree.n.02,"Hence , the flow conditions at the anode of free burning arcs resemble those near a stagnation point .",0.7463423151598859
degree.n.02,Bake was waiting to report that Lou DuVol had been sobered up to the point where he could function efficiently .,0.7932801293911994
degree.n.02,They would sleep while the Gabriel 's drive would increase the acceleration to a point which the unfrozen bodies of the personnel could not have endured .,0.7496541700198942
degree.n.02,"From this point , I paint in as direct a manner as possible , by flowing on the washes with as pure a color mixture as I can manage .",0.7462774977052837
degree.n.02,"Beyond a certain point , of course , no woman can be dominant - nature has seen to that .",0.8080529020221222
degree.n.02,"conduct engineering research and technical development work to determine , by laboratory and pilot plant testing , the results of the research and studies aforesaid in order to develop processes and plant designs to the point where they can be demonstrated on a large and practical scale ;",0.716995107945985
degree.n.02,The gradient was about one half of a millidegree at 4.2 * * f but increased to several millidegrees for bath temperatures slightly greater than the | l point .,0.7251130570771457
degree.n.02,Up to this point stress has been placed on roleplaying in terms of individuals .,0.7393413633921044
degree.n.02,"She had grown up with young Jenkins , and he had heard that they had been at the point of getting married at least twice .",0.7010484606308328
degree.n.02,He could n't see ; he was long past the point of coherent thinking .,0.7500593380532231
degree.n.02,"`` I do n't think I 've reached the point , yet , where I can say I know everything I ought to know about the craft .",0.8330768466469103
detail.n.01,"Dr. H. V. Hilprecht , Professor of Assyrian at the University of Pennsylvania , dreamed that a Babylonian priest , associated with the king Kurigalzu , ( 1300 B.C. . ) escorted him to the treasure chamber of the temple of Bel , gave him six novel points of information about a certain broken relic , and corrected an error in its identification .",0.7245242937620786
detail.n.01,"We may conclude that all six points of information , ostensibly given by the dream priest , could have been furnished by Dr. Hilprecht 's subconscious reasoning .",0.8025815695371913
detail.n.01,"This is simple enough , but several more points of interest may be mentioned as relevant .",0.7113344206288964
detail.n.01,"This is brought out in the common religious ethos that prevails even in the denominationally diverse audiences at many secular semi-public and public occasions in the United States ; and it is evidenced in the prayers offered , in the frequent religious allusions , and in the confirmation of points on religious grounds .",0.7030957412561998
detail.n.01,"If the argument is accepted as essentially sound up to this point , it remains for us to consider whether the patient 's difficulties in orienting himself spatially and in locating objects in space with the sense of touch can be explained by his defective visual condition .",0.8201622899350148
detail.n.01,"We shall not be able entirely to pass over these connections to the East as we consider Ripe Geometric pottery , the epic and the myth , and the religious evolution of early Greece ; the important point , however , is that these magnificent achievements , unlike those of later decades , were only incidentally influenced by Oriental models .",0.7772262730474616
detail.n.01,I should like to underline four points I made in my first report with respect to vocational education .,0.7430942531046044
detail.n.01,"This last point is important because if high school pupils are aware that few , if any , graduates who have chosen a certain vocational program have obtained a job as a consequence of the training , the whole idea of relevance disappears .",0.8858118936527081
