sense,sentence,centroid_cs
examine.v.02,the tubes were then centrifuged at 1000 rpm for 1 min and examined macroscopically for agglutination .,0.8774612807627428
examine.v.02,"The cells were washed three times with saline , anti human serum was added , the cells were resuspended , and the mixture was centrifuged at 1000 rpm for 1 min and examined for agglutination .",0.8471266737395453
examine.v.02,"The one sure way to tell victim and villain apart is to examine the hind legs which in the case of the idler , Psithyrus , lack the pollen baskets - naturally !",0.8593835414673431
examine.v.02,"Mr. McKinley examined everything with critical care , seeking something material to blame for his son 's illness .",0.8286460196240129
examine.v.02,His chelas were required to assume the matsyendra posture dressed in hand-woven diapers while he read aloud from Rig-Veda and an assistant guru examined their purses in another room - nothing was stolen ; the purpose was less immediate .,0.8475630686837695
examine.v.02,"The clapping they made on the concrete interrupted him in the ecstatic pleasure he knew , so that he quickly released his hold on the goat and pretended to be examining its haunches for ticks .",0.8147105130825978
examine.v.02,"Brain examined for thrombosis , clot or hemorrhage .",0.6978277426482545
examine.v.02,He paused on the landing to steady his breathing and then bent to examine the single door by the light of the weak bulb overhead .,0.8260225461838234
examine.v.02,"Cursing himself for having ridden out the last few days without a rifle in his saddle boot , Russ drew his Colt and examined it briefly .",0.8495475146161979
examine.v.02,He examined the water marks on the iron tires when the animals were finished .,0.8651122458160414
examine.v.02,"The glow of the fire reached through the openings in the windows , giving light enough to examine Mike 's wound .",0.8397472041930586
analyze.v.01,Without comparing the relative merits of the two courses - architecture versus interior design - let us examine the educational needs of the interior designer .,0.8793655771524428
analyze.v.01,"In all of the sections examined , the arterioles and small arteries were essentially normal .",0.7143453248618199
analyze.v.01,Stained or unstained sections were examined under dark field illumination in a Zeiss fluorescence microscope equipped with a mercury vapor lamp ( Osram HBO 200 ) .,0.7514803666596637
analyze.v.01,When we examine what each master says was his first collage we see that much the same thing happens in each .,0.864631796445471
analyze.v.01,Here are some key areas to examine to make sure your pricing strategy will be on target :,0.7950764140981812
analyze.v.01,Have you examined this problem of increasing consumer sophistication from the standpoint of your own company ?,0.8565820866779361
analyze.v.01,"Have you examined these trends , forecast the effects , and planned your marketing strategy to compete effectively under changing circumstances ?",0.8483001879057847
analyze.v.01,"Assuredly in our political campaigns there is freedom to think , to examine any and all issues , and to speak without restraint .",0.8059410093368911
analyze.v.01,"A. E. Sharp , in Vowel-Length and Syllabicity in Kikuyu , examines one set of related orthographic questions and its phonologic background in detail .",0.7956714388835839
analyze.v.01,"To do so , he finds it necessary to examine the relevant parts of the phonology thoroughly and in detail .",0.8935863199406445
analyze.v.01,"And when he came to examine the scene , there was a certain staginess to it , it had the smell of planning , and a swift suspicion darted into his mind .",0.7740598616762625
analyze.v.01,Beaverton School District No. 48 board members examined blueprints and specifications for two proposed junior high schools at a Monday night workshop session .,0.7791100753462049
analyze.v.01,"Any musician playing Beethoven here , where Beethoven was born , is likely to examine his own interpretations with special care .",0.8467325372568161
analyze.v.01,"And so today when we examine the structure of our knowledge of the atom and of the universe , we are forced to conclude that the best word to describe our universe is music .",0.8671773880044916
analyze.v.01,"From here they proceeded to 3 ) These same areas in relation to their own future family life stages , developing these to the extent of examining various crises which could be expected to confront them at some time or other .",0.8609190885154651
analyze.v.01,Only at this moment - perhaps because it was before dawn and she was lying in Doaty 's bed - she found herself examining how others might regard her .,0.7876984578727172
