sense,sentence,centroid_cs
unwrap.v.02,What is interesting is that his positive qualifications for the post were revealed only as a kind of tail to his candidacy .,0.8094605575738624
unwrap.v.02,"It is this modulation which reveals to Jacoby his own frightful abjection and , simultaneously , his wife 's infidelity .",0.8215113619910456
unwrap.v.02,"Professionally a lawyer , that is to say associated with dignity , reserve , discipline , with much that is essentially middle-class , he is compelled by an impossible love to exhibit himself dressed up , disguised - that is , paradoxically , revealed - as a child , and , worse , as a whore masquerading as a child .",0.7379721696199201
unwrap.v.02,"Faulkner 's total works today , and in fact those of his works which existed in 1946 when Mr. Cowley made his comment , or in 1939 , when Mr. O' Donnell wrote his essay , reveal no such simple attitude toward the South .",0.7105864162676185
unwrap.v.02,A detailed scouring of the entire area revealed nothing beyond a ledge of rocks that might have been the rifleman 's hiding place .,0.6959794448338352
unwrap.v.02,Almost any information about the Dreadnought would also reveal secrets about the American underwater fleet .,0.7810976383093697
unwrap.v.02,"Principal Clayton W. Pohly said he would allow a further collection between classes today , and revealed that Y-Teen Club past surpluses had been used to provide a private hospital nurse Monday for Mrs. Kowalski .",0.7013561740195072
unwrap.v.02,"The moment simultaneously revealed that in the crisis our policy ran counter to that of all our NATO allies , to the entire Western community .",0.82215061696745
unwrap.v.02,"Again , as faith reveals God my Father and Christ my Saviour , I follow without question where He leads me daily by His Spirit of love , wisdom , power and prayer .",0.7756685320992389
unwrap.v.02,A study of major denominational membership statistics over a twenty-year period revealed the appalling fact that nearly 40 per cent of those who joined the Church were lost to the Church within seven years .,0.7696238809244046
unwrap.v.02,"To the trained ear of the linguist , talk has always revealed a staggering quantity of information about the talker - such things as geographical origin and / or history , socio-economic identity , education .",0.8510154400833783
unwrap.v.02,"With this seven-word sentence - though the speaker undoubtedly thought he was dealing only with the subject of food - he was telling things about himself and , in the last two examples , revealing that he had departed from the customs of his culture .",0.8220006162468689
unwrap.v.02,"The patient , on the other hand , is far from neutral ; aside from her specifically regional accent , she reveals by the use of the triad , `` irritable , tense , depressed '' , a certain pedantic itemization that indicates she has some familiarity with literary or scientific language ( i. e. , she must have had at least a high-school education ) , and she is telling a story she has mentally rehearsed some time before .",0.8122883025463613
unwrap.v.02,"By saying `` another emotional death '' , she reveals that there has been a previous one , although she has not described it in words .",0.8038227297537838
unwrap.v.02,"Yet , in spite of this , intensive study of the taped interviews by teams of psychotherapists and linguists laid bare the surprising fact that , in the first five minutes of an initial interview , the patient often reveals as many as a dozen times just what 's wrong with him ; to spot these giveaways the therapist must know either intuitively or scientifically how to listen .",0.8192601362044726
unwrap.v.02,"With lyrical intensity they reveal what they hate , but their faith in love , inspired by the revolutionary rhythms of jazz , culminates in the climax of the orgasm .",0.8275243364061683
uncover.v.01,"As she gained composure during the second act , her technical resourcefulness emerged stronger , though she had already revealed a trill almost unprecedented in years of performances of `` Lucia '' .",0.753752509777621
uncover.v.01,What followed the outburst brought almost breathless silence as Miss Sutherland revealed her mastery of a voice probably unique among sopranos today .,0.720441058937983
uncover.v.01,He injected more vitality into the score than it has revealed in many years .,0.7170458647570885
uncover.v.01,He revealed the potential value of the `` cut '' as the basic technique in the art of the film .,0.7903133228897873
uncover.v.01,The trick these two play upon Jacoby reveals their want not simply of decency but of imagination as well .,0.7969166634975172
uncover.v.01,"`` A miracle , a revelation , it was like a curtain suddenly torn away to reveal something nude '' .",0.7061592124183881
uncover.v.01,Chromatography of whole sera revealed that the areas of Rh antibody activity were generally continuous and wide .,0.7335805417885798
uncover.v.01,"At this time a detailed neuromuscular examination revealed diffuse muscle atrophy that was moderate in the hands and feet , but more marked in the shoulders , hips , and pelvic girdle , with hypoactive deep tendon reflexes .",0.7223018743086993
uncover.v.01,Electromyography revealed no evidence of lower motor neuron disease .,0.6765626314649784
uncover.v.01,"A section of the colon revealed intense hyperemia and extensive focal ulcerations of the mucosa , associated with much fibrin and many neutrophils .",0.7218211175444105
uncover.v.01,In late 1957 the M.P. ( Mouvement Populaire ) appeared and in the spring of 1958 the internal strains of the Istiqlal was revealed when the third Council of Government under Balafrej was formed without support from progressive elements in the party .,0.7669625544460477
uncover.v.01,"The new Council was itself inescapably of political meaning , which was most clearly revealed in the absence of any U.N.F.P. members and the presence of several Istiqlal leaders .",0.7878627889235686
uncover.v.01,Several slugs fired into the bed jerked aside the blanket to reveal an apparently lifeless hand .,0.6396993327608875
uncover.v.01,The heavy branches in his front yard would hide and then reveal them .,0.7674764913965854
uncover.v.01,"But Michael Sept had unmasked him , revealing he had never been a bishop , but was an Anabaptist , afraid to state his faith , because he knew John Calvin had written a book against their belief that the soul slept after death .",0.7072888542986067
uncover.v.01,"Where the microscope under visible light may show only vague shadows or nothing at all , ultraviolet illumination and subsequent translation into a color TV picture reveal a wealth of detail .",0.841361018795749
uncover.v.01,"Owing to the restrained usages characteristic of 19 th century America , these letters usually were stereotyped and revealed little depth of feeling .",0.7905196748318168
uncover.v.01,"Its contents are another matter , for they reveal the kinds of interests pursued by the congregation .",0.8341605199369301
uncover.v.01,"More than anything , it is the therapist 's intuitive sensing of these latent meanings in the stereotype which helps these meanings to become revealed , something like a spread-out deck of cards , on sporadic occasions over the passage of the patient 's and his months of work together .",0.7838963995830966
uncover.v.01,A glance revealed that the main topgallant mast had been carried away .,0.6479615394248512
uncover.v.01,"Sonates et Concerts Royaux of Couperin le grand occupy two disks ( LD056 and LD060 ) and reveal the impeccable taste and workmanship of this master - delicate , flexible and gemlike .",0.7345840360736288
uncover.v.01,What is interesting about these chamber works here is how they all reveal the aspect of French music that was moving toward the rococo .,0.8162562331883606
uncover.v.01,"Such an analysis speedily reveals why the middle number of the Lo Shu , 5 , was so vitally significant for the Chinese ever since the earliest hints that they had a knowledge of this diagram .",0.7990941965171173
uncover.v.01,Such conversation quickly reveals an ethically significant ambivalence in the self-images held by most realtors .,0.7964847071253967
uncover.v.01,"These men - for the most part educated in our `` best '' New England colleges , well established financially and socially in the community - under kindly but insistent probing , reveal little or no objective or explicit criteria or data for their generalizations about the interests and attitudes of the people they claim to serve , or about the public responses that actually follow their occasional breach of a `` client-service relationship '' .",0.7274529888239482
uncover.v.01,A closer look at modern Zen reveals many magical carryovers that are still part of popular Zen attitudes .,0.8232717856348709
uncover.v.01,Attempts at censorship always involve and reveal such complex and multiple individual reactions .,0.8196657470417906
uncover.v.01,Reference to two other concepts - nationalism and sovereignty - may help to reveal the contours of the new principle .,0.8345579082009157
uncover.v.01,"For Mr. Taylor 's Images and Reflections he made some diaphanous tents that alternately hide and reveal the performer , and a girl 's cape lined with grass .",0.758494502908734
uncover.v.01,"The contemporary painter tends to depict not the concrete objects of his experience but their essences as revealed in abstractions of their lines , colors , masses , and energies .",0.7462947778888669
uncover.v.01,The wan light spread over the ground and the valley revealed in the first glimmer the contours of trees and fences and palely shadowed gullies .,0.7640298181191012
uncover.v.01,"Lester heard their muttering , saw their eyes reveal their desire .",0.714050587115195
uncover.v.01,"He wore his white shirt open at the neck , revealing a bit of scrawny pale chest underneath .",0.6670109093163675
