sense,sentence,centroid_cs
interrupt.v.04,"If the Orioles are to break their losing streak within the next two days , it will have to be at the expense of the American League champion New York Yankees , who come in here tomorrow for a night game and a single test Sunday afternoon .",0.7575776967327801
interrupt.v.04,In affirming this we have already taken the decisive step in breaking the deadlock into which Bultmann 's attempt to formulate such a theology has led .,0.7963295564289032
interrupt.v.04,This tendency can be broken either by restoring hypothalamic excitability directly or via cortico-hypothalamic pathways .,0.7943617930386211
interrupt.v.04,The dawn progressed and it seemed that the doctor would never be done with his ministrations when quite abruptly something broke his revery .,0.7319479531013655
interrupt.v.04,"To them he could have been the broken bell in the church tower which rang before and after Mass , and at noon , and at six each evening - its tone , repetitive , monotonous , never breaking the boredom of the streets .",0.7695289387217409
interrupt.v.04,How can the vicious circle be broken ?,0.7804650268558716
interrupt.v.04,"Sleepily , as if half reluctant to break the silence , he lifted his voice : `` Rhu-beb ni ice fresh rhu-beb today '' !",0.776099944456344
interrupt.v.04,"On the other hand , the fictional detective does not break strikes or handle divorce cases ; no client would ever think of asking him to do such things .",0.713487384698296
interrupt.v.04,To break the monotony it may be necessary to invent tasks that will keep the family busy .,0.820645252327922
interrupt.v.04,"They were engulfed by the weird silence , broken only by the low , angry murmur of the river .",0.6344137728402167
interrupt.v.04,"But Palmer knew , as did everybody else at Augusta , that his streak was about to be broken .",0.7719387253305544
interrupt.v.04,"No believer in the traditional devotion of royal servitors , the plump Pulley broke the language barrier and lured her to Cairo where she waited for nine months , vainly hoping to see Farouk .",0.7398032388213618
interrupt.v.04,I do n't blame that girl for breaking her engagement with you .,0.7101068672656761
interrupt.v.04,From a great distance thunder growled and broke the silence .,0.7331070666679129
break.v.02,He broke that boy ( Air Force fullback Nick Arshinkoff ) in two and knocked him loose from the football '' .,0.7001503023424075
break.v.02,"The company which performed the Pulitzer Prize musical here last night and will repeat it twice today is full of bounce , the politicians are in fine voice , the chorines evoke happy memories , and the Little Flower rides to break a lance again .",0.7504755560036678
break.v.02,"The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; the mere piling up of testimony does not prove , to the scientific mind , the existence of hoop snakes , joint snakes , or ghosts .",0.7821408790477671
break.v.02,Earthquakes result when movements in the earth twist rocks until they break .,0.861650368238577
break.v.02,"( 1 ) As far down as 400 miles below the surface the material should be hot enough to be plastic and adjust itself to twisting forces by sluggish flow rather than by breaking , as rigid surface rocks do .",0.829754779643943
break.v.02,"From the point of view of syntactic analysis the head word in the statement is the predicator has broken , and from the point of view of meaning it would seem that the trouble centers in the breaking ; but dominant stress will be assigned to broken only in rather exceptional versions of the sentence .",0.7597372619022487
break.v.02,"A seeping coldness entered Holden 's being ; his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass like , liable to break like an icicle at any moment .",0.8410684491446084
break.v.02,I ducked just as the first strand broke somewhere down the line and came whipping over the sideboards .,0.7837708025281576
break.v.02,"In this manner , every scheme for direct control broke to pieces on the great protective rock of the anti-trust laws .",0.7409084762130193
break.v.02,"In the family 's own words ( during the third of twelve visits ) , they had `` reached the crisis peak - either the situation will give or we will break '' !",0.8248913389546823
break.v.02,"The heavy glass did n't break , but the top flew off ; sugar sprayed with a hiss that was loud in the silence .",0.8425878630226755
break.v.02,"The Aricaras broke under the devastating fire , wheeled and retreated .",0.723447232809299
