sense,sentence,centroid_cs
long.a.02,Then Robinson slammed a long double to left center to score both runners .,0.5973483090798252
long.a.02,"The Air Force's , and the game 's , final play , was a long pass by quarterback Bob McNaughton which Gannon intercepted on his own 44 and returned 22 yards .",0.6983303355129261
long.a.02,"In the third Frank Robinson hammered a long home run deep into the corner of the bleachers in right center , about 400 feet away , with two men on .",0.6808599897353265
long.a.02,"In a long commentary which he has inserted in the published text of the first act of the play , he says at one point : `` However , that experience never raised a doubt in his mind as to the reality of the underworld or the existence of Lucifer 's many faced lieutenants .",0.7281407244949496
long.a.02,"`` It never seemed to widen , it just got longer and longer '' .",0.7113039552715821
long.a.02,"`` It never seemed to widen , it just got longer and longer '' .",0.7113039552715821
long.a.02,"Why it was ever forgotten for even a moment I cannot say because it works perfectly for everyone , no matter whether he has short or long thigh-bone lengths !",0.7943968022863198
long.a.02,A large picnic area or camping development is most efficient in shape as a square or rectangle several hundred feet in width in preference to a long narrow area less than one hundred feet wide .,0.8308705031054725
long.a.02,"The anode consisted of a 1/2 inch diameter porous graphite plug , 1/4 inch long .",0.6644625067230849
long.a.02,"Greasy soils , which are typified by hydrocarbons and fats ( esters of glycerol with long chain organic acids ) .",0.6610275843301746
long.a.02,The samples for liquid phase thermal reaction studies were prepared in Pyrex capillary tubing 2.5 mm. i.d. and about 15 cm. long .,0.6840569341126628
long.a.02,"The photochemical reaction cells consisted of 10 mm. i.d. Pyrex tubing , 5.5 cm. long , diffraction effects being minimized by the fact that the light passed through only liquid glass interfaces and not gas glass interfaces .",0.6813613628024277
long.a.02,"It lacks pollen baskets and possesses only a large number of long , branched hairs on its legs , on which the pollen grains will collect .",0.8151871691078884
long.a.02,"Laurence M . Klauber put length at maturity at two thirds the ultimate length for some rattlesnakes , and Charles C . Carpenter 's data on Michigan garter and ribbon snakes ( Thamnophis ) show that the smallest gravid females are more than half as long as the biggest adults .",0.7342308598126914
long.a.02,"If , in a certain part of the range , it starts life 1 foot longer than do any of the other ( relatively large ) giants , and reaches maturity at , let us guess , 18 inches longer than the others , a quadrupling of the maturity length would result in a maximum of ( nearly ) 40 feet .",0.6842076886835728
long.a.02,"If , in a certain part of the range , it starts life 1 foot longer than do any of the other ( relatively large ) giants , and reaches maturity at , let us guess , 18 inches longer than the others , a quadrupling of the maturity length would result in a maximum of ( nearly ) 40 feet .",0.6842076886835728
long.a.02,Measurements of skins are of little value ; every snake hide is noticeably longer than its carcass and intentional stretching presents no difficulty to the unscrupulous explorer .,0.7761148639022574
long.a.02,"He reasons that as anacondas 30 feet long are often found , some might be 38 , and occasional `` monstrous freaks '' over 50 .",0.714338433493995
long.a.02,"One female , collected on an island off the coast of Nicaragua , was gravid and measured 4 feet 8 inches from snout to vent ( her tail should be between 6 and 7 inches long ) .",0.6961681308389772
long.a.02,The female from Central America which gave birth to four was only 3 feet 11 inches long .,0.6166499278508875
long.a.02,"For example , the marked susceptibility of the monkey to respiratory infection might be related to its delicate , long alveolar ducts and short , large bronchioles situated within a parenchyma entirely lacking in protective supportive tissue barriers such as those found in types 1 , and 3 , .",0.8136302526067981
long.a.02,"First is the long and still somewhat obscure process of preparation , planning and discussion .",0.7900512968664959
long.a.02,"Noticing Russell 's horse in front of the long log building , he assumed his friend had slipped inside and would be able to put up a good fight , so he began working his way down the ditch to join him .",0.7853163248590807
long.a.02,"`` Litigants and witnesses were put to the expense and inconvenience of going long distances to transact business ; public money spent ; justice delayed ; nothing accomplished , and the whole distribution of justice in this county seems to be an absolute farce '' .",0.6810728587481045
long.a.02,"These must have been for local calls strictly , as in May 1900 the `` only long distance telephone '' in town was transferred from C. B. Carleton 's to Young 's shoe store .",0.5851052778836328
long.a.02,"Rachel wore a smart hat and , because she had been warned recently about smoking , puffed at her cigarettes through a long ivory holder stained with lipstick .",0.7658113372635132
long.a.02,"He observed the Florentine vase in the hall , the Renoir painting in the library , as well as the long shelves of well-bound volumes ; the pattern of the Oriental rug , the delicate cut-glass chandelier .",0.7777437487615431
long.a.02,"The steeple leaned backward , while the church advanced like a headless creature in a long , shapeless coat .",0.8228371770677627
long.a.02,"In the Delaware River , three long islands were overgrown with greening trees and underbrush .",0.7452378566280218
long.a.02,"At the end of a shaft of light , the pews appeared to be broad stairs in a long dungeon .",0.783888279871575
long.a.02,"The mouth was thin lipped and wide , the long cleft in the upper lip like a slide .",0.8185834809698849
long.a.02,"As he neared the square , a round figure muffled in a long , black cape whisked by .",0.7999599474254532
long.a.02,"They went to the Flea Market , expecting to find the treasures of Europe , and found instead a duplication of that long double row of booths in Tours .",0.8134044904815524
long.a.02,"Anita put out the remaining candles with a long snuffer , and in the smell of scented candlewick , the comforting awareness of each other 's bodies , the retained pattern of dancers and guests remembered , their minds grew numb and then empty of images .",0.7760294686834008
long.a.02,"New York lay bleaching in the summer sun , and the morning fish hawk , flying in the heated air , saw below him the long triangular wedge of Manhattan Island .",0.7670938128357602
long.a.02,"He drove sensual patterns off , carefully shaving his long upper lip .",0.7291403969782005
long.a.02,"Behind them shambled a long column of weak , tattered men .",0.7734211759416727
long.a.02,"I would not want to be one of those writers who begin each morning by exclaiming , `` O Gogol , O Chekhov , O Thackeray and Dickens , what would you have made of a bomb shelter ornamented with four plaster-of-Paris ducks , a birdbath , and three composition gnomes with long beards and red mobcaps '' ?",0.771968107118835
long.a.02,"Here , too , she talked low , quirking her head at one or another of the places , most often at Izaak 's armchair which faced her across the long table .",0.6440878601691704
long.a.02,"Abel sat and regarded the farm country which , spreading out from both sides of the road , rolled greenly up to where the silent white houses and long barns and silos nested into the tilled fields .",0.7555557787607625
long.a.02,Abel moved and adjusted his long legs .,0.7253252238946453
long.a.02,He had long black hairs on his wrist .,0.7780230069558016
long.a.02,"This was an enormously long building whose walls were made of rocks , some of them brought home from every continent during his six years as an oil geologist .",0.7901345016922121
long.a.02,"Almost immediately she was ashamed of herself for feeling vain , at such a time , in such a place , and she tossed back her long yellow hair , smiling shyly as she entered the room .",0.7270779059679671
long.a.02,"The doctor was wearing a long New England greatcoat , hardly necessary in the June weather but a garment which proved well adapted to the sequestration of hens .",0.799013516722115
long.a.02,Her legs hung down long and thin as she sat on the high stool .,0.742644720969441
long.a.02,"He gave Mr. Jack a real going over ; he brushed his shoulders and his back and his collar with long , firm strokes .",0.7488632818288878
long.a.02,"Each brass handle and hinge shone for his reward , and he knew how to get at the dust in the china flowers and how to take down the long glass drops which hung from the chandelier .",0.8113411555410482
long.a.02,Suppose the lines in front of the movie houses were too long and we could n't get in ?,0.7888658264017738
long.a.02,`` No longer than yours .,0.6106231892877813
long.a.02,"In southern Europe , between the Israeli Republics and the Icelandic speaking peoples of northern Europe , was a thin but long stretch of territory called March .",0.791967620940029
long.a.02,"And he was handsome , despite the long thin scar that slanted across his cheek .",0.7773118719641101
long.a.02,"Animals eat only from one side , so the fence-line bunk must be twice as long as the mechanical bunk .",0.7680988625527168
long.a.02,"If companies will take the time to give objective consideration to their major problems and to the questions they provoke , then a long constructive step will have been taken toward more effective marketing in next decade .",0.7148803629894789
long.a.02,Vending machines can alleviate the long hike to the cafeteria during the break with resulting waste of production time .,0.7470275041727057
long.a.02,The long and ever increasing column of sportsmen is now moving into a new era .,0.6917146721344065
long.a.02,We saw similar displays in the other three campgrounds in this 70 mile long National Seashore Recreation Area .,0.7157719762383282
long.a.02,"All through July the Discovery picked her way along the 450 - mile long strait , avoiding ice and rocky islands .",0.6694552652971941
long.a.02,An ordinary sea wave is rarely more than a few hundred feet long from crest to crest - no longer than 320 feet in the Atlantic or 1000 feet in the Pacific .,0.5639755399512787
long.a.02,An ordinary sea wave is rarely more than a few hundred feet long from crest to crest - no longer than 320 feet in the Atlantic or 1000 feet in the Pacific .,0.5639755399512787
long.a.02,"With our company of soldiers , we made one long column of reddish dust .",0.7889478445471954
long.a.02,"I have no picture in my mind of the garden as a whole - that I could not see - but certain aspects of certain corners linger in the memory : wind-blown , frost-bitten , white chrysanthemums beneath a window , with their brittle brown leaves and their sharp scent of November ; ripe pears lying in long grass , to be turned over by a dusty slippered foot , cautiously , lest bees still worked in the ragged , brown edged holes ; hot colored verbenas in the corner between the dining-room wall and the side porch , where we passed on our way to the pump with the half gourd tied to it as a cup by my grandmother for our childish pleasure in drinking from it .",0.7157798334290505
long.a.02,"Fuzzy caterpillars , snails with their sensitive horns , struggling grasshoppers held by their long hind legs and commanded to `` spit tobacco , spit '' .",0.7842372260546655
long.a.02,"Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish language .",0.6307527059880436
long.a.02,"His next major work , completed in 1892 , was a long fantastic epic in prose , entitled Hans Alienus , which Professor Bo ^ o ^ k describes as a monument on the grave of his carefree and indolent youth .",0.7257724996277385
long.a.02,"About one-third as long , it is less intimate and detailed , but better coordinated , more concise and more dramatic .",0.682731534392653
long.a.02,"And it is clearly argued by Lord Percy of Newcastle , in his remarkable long essay , The Heresy of Democracy , and in a more general way by Voegelin , in his New Science of Politics , that this same Rousseauan idea , descending through European democracy , is the source of Marx 's theory of the dictatorship of the proletariat .",0.649734659955683
long.a.02,"But that did not prevent him from writing more long letters , or from coming to spend his Christmas vacations with the hospitable , lively Szolds in their pleasant house on Lombard Street .",0.7595593020095102
long.a.02,"Basic long line communications in Alaska are now provided through Federal facilities operated by the Army , Air Force , and Federal Aviation Agency .",0.5504119243692758
long.a.02,"Another example is the recent cancellation of the F-108 , a long range interceptor with a speed three times as great as the speed of sound , which was designed for use against manned bombers in the period of the mid 1960 's .",0.6713440863696043
long.a.02,"One of the important and difficult decisions which had to be made in this budget concerned the role of the B-70 , a long range supersonic bomber .",0.6382291207340117
long.a.02,"Dominant stress is of course more than extended duration , and normally centers on syllables that would have primary stress or phrase stress if the words or longer units they are parts of were spoken alone : a dominant stress given to glorify would normally center on its first syllable rather than its last .",0.6241190914476057
long.a.02,"Hoijer 's Athabascan and my Yokuts share 71 identical meanings ( with allowance for several near synonyms like stomach belly , big large , long far , many much , die dead , say speak ) .",0.6736001882655646
long.a.02,Maude 's long nose unexpectedly wrinkled up .,0.6373611703663259
long.a.02,"At the door she turned back , her Roman nose looking very long now and satiric .",0.7666208348467907
long.a.02,"It was a long , low room , like a root cellar , for it was banked up with soil , and vines had run rampant over that , too .",0.7804415872283119
long.a.02,"Later , she apologized for the long scratch across his face , tried to explain she could n't help herself , that the panic arose in her unwanted .",0.751538522644263
long.a.02,"A man with a sketch pad in hand sat with a large pink woman in a small office at the end of a long , dim corridor and made pencil lines on paper and said , `` Is this more like it , Mrs. MacReady ?",0.7865140235092302
long.a.02,Long thin suitcase ?,0.7192612697186118
long.a.02,"Or long fat suitcase , for that matter ?",0.7626369098526542
long.a.02,"But nothing , it appeared , long enough to attract attention .",0.5836137744459893
long.a.02,A refuse bin at the Dumont turned up a florist 's box - a very long box for very long stemmed flowers .,0.8069537455162568
long.a.02,A refuse bin at the Dumont turned up a florist 's box - a very long box for very long stemmed flowers .,0.8069537455162568
long.a.02,"Hoag pushed open the door : at the far end of the long dark room Muller was faintly silhouetted against the window , the rifle still raised ; he stood with his feet apart on a kitchen table he had dragged to the sill .",0.7607720395560608
long.a.02,"`` Well '' , he explained , `` s'posin you was a nester swingin ' the long rope ?",0.8224348908144085
long.a.02,"The front windows of the place were long and narrow , reaching nearly to the floor and affording an unusually good view of the interior .",0.8046935862752655
long.a.02,"Beyond it the gray road stretched a long , long way .",0.7092970798246995
long.a.02,"Beyond it the gray road stretched a long , long way .",0.7092970798246995
long.a.02,"His long nose wiggled at the smells of frizzling bacon and heating java , but the fire was low , and he wanted to waste no time .",0.6636883983403301
long.a.02,"We went into Mrs. Monmouth 's library , which had low bookshelves all along the walls , and above them a Modigliani portrait , a Jackson Pollock twelve feet long , and a gorgeous Miro with a yellow background , that looked like an inscription from a Martian tomb .",0.7122591828427338
long.a.01,"After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' .",0.7910940648096334
long.a.01,"The report , culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring ADC case load .",0.6144065387963109
long.a.01,"Later the Hurok office made it Dec. 8 thru 17 , a nice , long booking for the full repertory .",0.8095193080496832
long.a.01,"The sets are remarkably elaborate for a road-show that does n't pause long in any one place , and they are devised so that they shift with a minimum of interruption or obtrusiveness .",0.7626727035119506
long.a.01,What makes this long and diverse tradition essentially one is that those who have belonged to it have been profoundly in earnest about being modern men in a distinctively modern world .,0.7541706613250088
long.a.01,"In any case , I have always been treated with the utmost courtesy by Englishmen , even in Devonshire and Cornwall , where anti Catholic feeling has supposedly existed the strongest and longest .",0.6764458070751932
long.a.01,"The last exercise of Roland Claude 's prescribed program for Henri is a single exercise , done in individual sets with a bit longer pause between sets .",0.6574398787764658
long.a.01,Long hard years of `` on the job '' training had brought them to their competence .,0.7636005014170023
long.a.01,An early film by a competitor of the Wizard of Menlo Park simply showed a long kiss performed by two actors of the contemporary stage .,0.6869490758694385
long.a.01,"The long settled areas of states like Virginia and South Carolina developed the ante-bellum culture to its richest flowering , and there the memory is more precious , and the consciousness of loss the greater .",0.6996039554317998
long.a.01,Solar activities could presumably bring long periods of flood or drought .,0.7683880979208213
long.a.01,"These vehicles , with large sensitive areas , have collected data for long enough times to give reliable impact rates for the periods of exposure .",0.7832012947790299
long.a.01,"Until better records have been kept over longer periods of time and much more is known about the maximum dimensions , it will be wise to refrain from drawing conclusions .",0.6468696262483205
long.a.01,"Any of the antithyroid drugs , of either type , if given in large enough doses for a long period of time will cause goitre , owing to inhibition of thyroid hormone synthesis , with production of hypothyroidism .",0.7456013498861166
long.a.01,It follows that any effective policy toward the underdeveloped countries must have a realistically long working horizon .,0.81829604734563
long.a.01,"There followed a long and sometimes bitter discussion of the feasibility of elections for the fall of 1957 , in which it appears that the Minister of the Interior took the most pessimistic view and that the Istiqlal was something less than enthusiastic .",0.7782525071748526
long.a.01,"As we think of the long and excruciating pain it must have suffered , we are very likely to say : `` It was a bad thing that the little animal should suffer so '' .",0.8223555864562323
long.a.01,"If not , how long to order and what is the price '' ?",0.734056570595185
long.a.01,"In his wake came the District Traffic Supervisor and the cream of the telegraphic profession , ten of Boston 's best , chosen for their long experience and thorough knowledge of golf .",0.7188896846111341
long.a.01,"What that spirit and attitude were we can best understand if we see more precisely how it contrasts with the communist tradition with the longest continuous history , the one which reached Christianity by the way of Stoicism through the Church Fathers of Late Antiquity .",0.6983460025682376
long.a.01,was a question that had to be asked long before they saw Paree .,0.6718239951851935
long.a.01,The long retention period and the complete mixing concept prevented rapid changes in either the mixed liquor or in the effluent .,0.7922859076934482
long.a.01,"It had just suffered a calamity , the final crisis in a long series of calamities .",0.7661104981148789
long.a.01,"Everyone is ambivalent about his profession , if he has practised it long enough , but there were still moments when he loved the stage and all those unseen people out there , who might cheer you or boo you , but that was largely , though not entirely , up to you .",0.7007073984586953
long.a.01,"How long , buddy '' ?",0.6824544994517444
long.a.01,"That glory , craved for so long , was now forbidden to him .",0.729747965754932
long.a.01,"In my recollection , there was a long interval between the death of the officer and the appearance of the first of the retreating redcoats , and in that interval the dust cloud over the road seems to hover indefinitely .",0.8355303938202275
long.a.01,Cousin Joshua Dover decided to remain with the Reverend and poor Isaac Pitt until life passed away - and he was hurt so badly he did not seem for long in this world .,0.6469249501102591
long.a.01,"`` How long , my Lord ?",0.7245337108464543
long.a.01,How long ?,0.7203543793271748
long.a.01,"He felt close to Mary , having spent so long concentrating on the beginning of her journey .",0.7029425023584024
long.a.01,"Strange how everything here fitted back into his life , even if he had been away so long .",0.7320115324400162
long.a.01,We all seek the same thing through different ways - an end to this long night of two thousand years of darkness and unspeakable abuses which will continue to plague us until the Star of David flies over Zion '' .,0.7726749026743223
long.a.01,- We won't be too long .,0.638014121370185
long.a.01,"These trumps were more touching than they were anything else , and seemed to imply that the nights were long , her children ungrateful , and her marriage bewilderingly threadbare .",0.7191461112502479
long.a.01,"You may stay as long as you wish , of course , but if arranging for the care of the girls must take time into account , I think a day or two should be enough to finish our business in '' .",0.6528715154926279
long.a.01,The Starbird had been long at the bottom of the bay .,0.6985854512462769
long.a.01,We did n't expect him to come along ; thought for the longest he was a tumor '' .,0.6417442482408307
long.a.01,"The weeks went by , and the longer our separation grew , the more unbounded and almost unbearable my fantasies became .",0.5805504994840122
long.a.01,A man with so big and so staggeringly developed a torso and such long and powerful arms is expected to stand taller than five feet five .,0.689343356872587
long.a.01,He flew about the place making these adjustments and it was obvious that what he was doing was the fruit of long experience .,0.7196366706417472
long.a.01,"He was shaking with anger , his breath coming in long , painful gasps .",0.6461298388164685
