sense,sentence,centroid_cs
mark.v.02,"Old attitudes are held more tenaciously in the Tidewater than the Piedmont ; so that a line running down the length of the South marking the upper limits of tidewater would roughly divide the Old South from the new , but with , of course , important minority enclaves .",0.7031888285812864
mark.v.02,"In each of the last , the trial marked the beginning of a new course : in Moscow the liquidation of the Old Bolsheviks and the tightening of Stalin 's dictatorship ; in the United States the initiation of militant anti Communism , with the repentant ex Communist in the vanguard .",0.8356403853492951
mark.v.02,Of what new course could it mark the beginning ?,0.7776464924074251
mark.v.02,Pasley continued : `` They became an institution of the Chicago scene and marked the way to the moral and financial collapse of the municipal and county governments in 1928 - 29 '' .,0.7519786910748986
mark.v.02,"At four o ' clock , or four thirty , the coming of the newsboy marked the end of the day ; he tossed a paper toward every front door , and housewives came down to their steps to pick them up and read what their neighbors had been doing .",0.7669594357800374
mark.v.02,"Mercer 's Whiteman association brought him into contact with Hoagy Carmichael , whose `` Snowball '' Mercer relyriced as `` Lazybones '' , in which form it became a hit and marked the real beginning of Mercer 's song writing career .",0.7673641385688799
mark.v.02,"Thus in Mary wrote an account of the trip first strong stress on Mary marks Mary as the first in a series of people who wrote accounts of the trip , strong stress on wrote marks the writing as the first of a series of actions of Mary 's concerned with an account of her trip ( about which she may later have made speeches , for example ) , and strong stress on trip makes the trip the first of a series of subjects about which Mary wrote accounts .",0.7255803810864795
mark.v.02,"Thus in Mary wrote an account of the trip first strong stress on Mary marks Mary as the first in a series of people who wrote accounts of the trip , strong stress on wrote marks the writing as the first of a series of actions of Mary 's concerned with an account of her trip ( about which she may later have made speeches , for example ) , and strong stress on trip makes the trip the first of a series of subjects about which Mary wrote accounts .",0.7255803810864795
mark.v.02,Thus the Congress marks a formal recognition of the political system that was central to world politics for a century .,0.8255611529480399
mark.v.02,The arrest of Mr. Parker marks the third charge of wrongdoing involving the jury that heard the case .,0.7989043419935399
mark.v.02,"Remembering the step-by-step fate of Danzig and the West German misgivings about `` salami '' tactics , it is to be hoped that the dispatch of General Clay to West Berlin as President Kennedy 's representative will mark a stiffening of response not only to future indignities and aggressions but also to some that have passed .",0.8289571741140421
