sense,sentence,centroid_cs
section.n.02,"In February , 1959 , during the second admission to The New York Hospital , a biopsy specimen of the left gastrocnemius showed striking increase in the sarcolemmal sheath nuclei and shrunken muscle fibers in several sections .",0.8222916569610917
section.n.02,"Microscopically , sections from the posterior base of the left ventricle of the heart showed several large areas of replacement of muscle by fibrous tissue .",0.8026992972187313
section.n.02,"In addition , other sections contained focal areas of recent myocardial necrosis that were infiltrated with neutrophils .",0.8446882236368001
section.n.02,"A section of the colon revealed intense hyperemia and extensive focal ulcerations of the mucosa , associated with much fibrin and many neutrophils .",0.747218096843629
section.n.02,"In all of the sections examined , the arterioles and small arteries were essentially normal .",0.835914145817874
section.n.02,The technique of cutting sections was essentially the same as that described by Coons et al. ( 1951 ) .,0.8206876785753645
section.n.02,"The sections were mounted on cold slides smeared with Haupts ' adhesive ( Johansen , 1940 ) in earlier experiments , and in later experiments with a different mixture of the same components reported by Schramm and Rottger ( 1959 ) .",0.8900746322258914
section.n.02,The sections were then thawed by placing a finger under the slide and dried under a fan for 30 minutes ; until used they were stored for as long as 2 weeks .,0.8985226827294382
section.n.02,The sections were fixed in acetone for 15 minutes and dried at 37 ` for 30 minutes .,0.8873031876738889
section.n.02,As controls other sections were similarly covered with NS .,0.7520315703782307
section.n.02,"After blotting out most of the saline around the sections , a drop of * * f was layered over each of the sections , allowed to react for 30 minutes , and then washed with PBS for 15 - 30 minutes .",0.8923194919544559
section.n.02,"After blotting out most of the saline around the sections , a drop of * * f was layered over each of the sections , allowed to react for 30 minutes , and then washed with PBS for 15 - 30 minutes .",0.8923194919544559
section.n.02,"After blotting out most of the liquid around the sections , the latter were mounted in buffered glycerine ( 7 parts glycerine to 3 parts of PBS ) .",0.8919005556468907
section.n.02,"After drying the sections under the fan , fixing in acetone , and drying at 37 ` as in the indirect method , the sections were treated with conjugated * * f or * * f ( undiluted unless mentioned otherwise ) for 5 - 30 minutes .",0.9024117224526049
section.n.02,"After drying the sections under the fan , fixing in acetone , and drying at 37 ` as in the indirect method , the sections were treated with conjugated * * f or * * f ( undiluted unless mentioned otherwise ) for 5 - 30 minutes .",0.9024117224526049
section.n.02,"As controls , other sections were similarly treated with * * f or conjugated antiserum to the New York strain of potato yellow-dwarf virus ( Wolcyrz and Black , 1956 ) .",0.8324924200292297
section.n.02,The sections were then washed with PBS for 15 - 30 minutes and mounted in buffered glycerine .,0.9070477568394557
section.n.02,Stained or unstained sections were examined under dark field illumination in a Zeiss fluorescence microscope equipped with a mercury vapor lamp ( Osram HBO 200 ) .,0.8911767862536065
section.n.02,"Such sections showed bright yellow-green specific fluorescence in the cells of the pseudophloem tissue ( Lee and Black , 1955 ) .",0.8847305896163489
section.n.02,This specific fluorescence was readily distinguished from the light green nonspecific fluorescence in consecutive sections stained with 1 : 10 dilution of NS and * * f or with * * f alone .,0.8803391267517954
section.n.02,Unstained sections mounted in buffered glycerine or sections treated only with NS or * * f did not show such green fluorescence .,0.9051799897316408
section.n.02,Unstained sections mounted in buffered glycerine or sections treated only with NS or * * f did not show such green fluorescence .,0.9051799897316408
section.n.02,"However , the nonspecific staining by the * * f in tumor sections was considered bright enough to be confused with the staining of small amounts of WTV antigen .",0.845932156233902
section.n.02,Rinsing the sections with PBS before layering the intermediate sera did not improve the staining reaction .,0.9144401259457001
section.n.02,"In addition to other treatments , treating the sections with normal sheep serum for half an hour before layering * * f did not reduce nonspecific staining .",0.9012181705453663
section.n.02,"With this purified conjugate the best staining procedure consisted of treating the sections with 1 : 10 dilution of * * f for 30 minutes , washing with PBS for 15 minutes , staining with * * f for 30 minutes , and washing with PBS for 15 minutes .",0.9040279555607056
section.n.02,The specificity of staining with * * f was established as follows : * * f specifically stained tumor sections but not sections of healthy sweet clover stems or of crown gall tumor tissue from sweet clover .,0.8373750946027031
section.n.02,The specificity of staining with * * f was established as follows : * * f specifically stained tumor sections but not sections of healthy sweet clover stems or of crown gall tumor tissue from sweet clover .,0.8373750946027031
section.n.02,"In some tumor sections small spherical bodies , possibly inclusion bodies ( Littau and Black , 1952 ) stained more intensely than the rest of cytoplasm and probably contained more antigen .",0.8245583755331851
section.n.02,"In the indirect method , this was evident from the fact that tumor sections were stained light green even when stained with NS and * * f or with * * f only .",0.8864296348423291
section.n.02,"In the direct method , * * f , not further treated , stained certain tissues of healthy sweet clover stems nonspecifically and WTV tumor sections were similarly stained by comparable * * f .",0.8433480402181589
section.n.03,And there is no section of the nation more ardent than the South in the cold war against Communism .,0.8376938748121358
section.n.03,In the eastern section of the state the newspapers ' reaction to Brown 's trial and sentence were basically identical .,0.8062141043999214
section.n.03,The results of the election of 1859 found Republican candidates not only winning the offices of governor and lieutenant-governor but also obtaining the two Congressional offices from the eastern and western sections of the state .,0.7485379066970445
section.n.03,"It was a Negro section of peeling row houses , store-front churches and ragged children .",0.8051405500865473
section.n.03,The streets in the colored section were dirty .,0.8162457229408743
