sense,sentence,centroid_cs
imply.v.02,"Can the church risk assuming that the `` folly '' of men is as dear to God as their `` wisdom '' , or , as is also commonly implied , that `` the foolishness of God '' and `` the foolishness of men '' are simply two ways of talking about the same thing ?",0.7722286720773
imply.v.02,"A randomization of `` ups '' and `` downs '' is more likely than ordered `` ups '' and `` downs '' in position ( 3 ) since the hydrogen atoms are well separated and so the position of one could hardly affect the position of another , and also since ordered `` up '' and `` down '' implies a larger unit cell , for which no evidence exists .",0.7849538067274392
imply.v.02,The foregoing remarks imply that the hypothalamic balance plays a crucial role at the crossroads between physiological and pathological forms of emotion .,0.8116033678838283
imply.v.02,"Thus in the three dice example * * f , * * f , and the independence assumption implies that the probability that the three dice fall ace , not ace , ace in that order is ( 1 6 ) ( 5 6 ) ( 1 6 ) .",0.776099392973189
imply.v.02,"In repetitions of the experiment from couple to couple , the votes of the two persons in a couple probably agree more often than independence would imply , because couples who visit the museum together are more likely to have similar tastes than are a random pair of people drawn from the entire population of visitors .",0.7109373990187774
imply.v.02,"These trumps were more touching than they were anything else , and seemed to imply that the nights were long , her children ungrateful , and her marriage bewilderingly threadbare .",0.7668398342555519
imply.v.02,It will readily be seen that in this suggested network ( not materially different from some of the networks in vogue today ) greater emphasis on monitoring is implied than is usually put into practice .,0.763617637011372
imply.v.02,`` They cannot do otherwise than live in dread of each other since these weapons imply the possibility of such grisly surprise attack .,0.811753810831887
imply.v.02,Forgiveness implies more than a person wanting his past sins covered by God 's love .,0.7772170782247064
imply.v.02,It also implies that a man wants his future to be free from the mistakes of the past .,0.8148956074380016
imply.v.02,"And he took repeated care to let his colleagues know that he intended them : `` Even the Unitarian churches have caught the malaria , and are worse than those who deceived them '' - which implied that they were very bad indeed .",0.7922146244381851
imply.v.02,"The difference came down to this : The Southern States insisted that the United States was , in last analysis , what its name implied - a Union of States .",0.7573682199507451
imply.v.02,The above discussion does not mean to imply that control factors were completely in abeyance in the Kohnstamm-positive subjects ; but rather that they could be diminished sufficiently not to interfere with arm-levitation .,0.8301452765856808
imply.v.02,"It was as if foreign duty implied and excused license ; it intimated that the folks at home would never know about it , and , therefore , why not ?",0.7268848250374151
imply.v.01,We are left helpless to cope with it because we do not dare speak of it as anything real for fear that to do so would imply a commitment to that which has already been discredited and proved false .,0.7384122820002775
imply.v.01,"In representing part of this new picture , I will be recounting some of my own personal experiences , reactions and judgments ; but my primary aim is to transcribe what Englishmen themselves are saying and writing and implying about the Roman and Anglican Churches and about the present religious state of England .",0.6995707801215906
imply.v.01,The general tone of articles appearing in such important newspapers as the Manchester Guardian and the Sunday Observer implies a kindly recognition that the Catholic Church is now at least of equal stature in England with the Protestant churches .,0.7966576313191097
imply.v.01,"In contrast to this Stoic patristic view , Utopia implies that the nature of man is such that to rely on individual conscience to supply the deficiencies of municipal law is to embark on the bottomless sea of human sinfulness in a sieve .",0.7717581045203699
imply.v.01,"But contrary to what was implied during the campaign , prestige is surely not important for its own sake .",0.7748877029895106
imply.v.01,Faulkner 's is not the mind of the apologist which Mr. O' Donnell implies that it is .,0.8391940807623499
imply.v.01,"His own testimony is that he has read very little in the history of the South , implying that what he knows of that history has come to him orally and that he knows the world around him primarily from his own unassisted observation .",0.7786405001617599
imply.v.01,"This , no doubt , is part of what Gilbert Seldes implies when he says of the arts , `` They give form and meaning to life which might otherwise seem shapeless and without sense '' .",0.7662546013959459
imply.v.01,"In I knew you when you were a child , and you were pretty then dominant stress on then implies that the young woman spoken to is still pretty .",0.8011780285446848
imply.v.01,"In the first of these sentences if by is the complement of come and Tuesday is an adjunct of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an adjunct , by will be unstressed or lightly stressed at most .",0.6714016631025268
imply.v.01,Those who favor placing trade unions under anti-trust laws imply that they are advocating a brand new reform .,0.8184025772493189
imply.v.01,"I do not mean to imply that Christians have adopted the liberal assumption , so prevalent in Hinduism , that all religions are merely different paths to the same summit .",0.7702346103676301
imply.v.01,In mentioning this under `` salvation reconsidered '' I do not mean to imply that Roman Catholic doctrine has changed in this area but rather that it has become clearer to the world community what that doctrine is .,0.8170423756265071
imply.v.01,"In one now-historic first interview , for example , the transcript ( reproduced from the book , The First Five Minutes ) goes like this : The therapist 's level tone is bland and neutral - he has , for example , avoided stressing `` you '' , which would imply disapproval ; or surprise , which would set the patient apart from other people .",0.7773377519152375
imply.v.01,"If internal responsibility suggests acceptance of the socialist ideal of equality , then external responsibility implies adherence to principles of ideological supranationalism .",0.7897513905396846
imply.v.01,At no time was it implied by the experimenter that the subject 's initial reaction was deviant .,0.7797933699866886
imply.v.01,These subjects implied that they too could prevent their arms from rising if they tried .,0.8128843265769594
