sense,sentence,centroid_cs
solution.n.02,Larkin has an answer to all that .,0.8790546980402889
solution.n.02,"Obviously , a satisfactory answer to the third question is imperative , if the argument is to get under way at all , for if there is any possibility of doubt whether the patient 's tactual sensitivity had been impaired by the occipital lesion , any findings whatsoever in regard to the first question become completely ambiguous and fail altogether , of course , as evidence to establish the desired conclusion .",0.8686951601972493
solution.n.02,"The answer the authors give to it , therefore , is of supreme importance .",0.8638525469976299
solution.n.02,"But before we can do this , we must first find answers to our original questions 1 and 2 ; then we shall perhaps be in a position to provide something like a complete answer to the question at hand .",0.8727241606323147
solution.n.02,"But before we can do this , we must first find answers to our original questions 1 and 2 ; then we shall perhaps be in a position to provide something like a complete answer to the question at hand .",0.8727241606323147
solution.n.02,I think the answer is to be found in Prokofieff 's own words :,0.912954622418221
solution.n.02,"The real question was how one passed from anti-Semitism of this sort to murder , and the answer to this question is not to be found in anti-Semitism itself .",0.8819421354255951
solution.n.02,This restless individualism found its answer when he returned to live nearly all the rest of his life in Sweden .,0.7464087913904189
solution.n.02,"For answers to such questions we must turn to the anthropologists , the biologists , the historians , the psychologists , and the sociologists .",0.817668893364494
solution.n.02,Blockade is one answer offered by experts .,0.8604030669428907
solution.n.02,"Chewing it over with his colleagues and in his own mind , he reaches a tentative identification of the question - tentative because it may change as he explores it further and because , if no tolerable answer can be found , it may have to be changed into one which can be answered .",0.8852495577403151
solution.n.02,He must think of others who have a stake in the question and in its answer .,0.8438953618930579
solution.n.02,"He was told he displayed , for example , a sense of superiority - and he answered : `` Well , I am supposed to know all the answers , are n't I '' ?",0.852248911338053
solution.n.02,"As she reached the kitchen door the answer presented itself ; if she told anyone of the opium it must be Lucien , her husband .",0.8138568970972102
solution.n.02,He could think of no answer .,0.8520733377300058
solution.n.02,Pam found she had no answers ; had only a hope .,0.8156568894573053
solution.n.02,"There was no answer to this and he began to pace back and forth across the room , his imagination out of control .",0.8478488054304795
solution.n.02,Maybe the answer was in his eyes .,0.8691941397084456
solution.n.02,Or was the answer less metaphysical ?,0.8719438638135637
answer.n.01,His answer was simple but honest .,0.8194477534427598
answer.n.01,The answers the girls give struck me as reasonably varied and healthily individual .,0.8276339052318965
answer.n.01,But at least it 's reassuring to see some teenagers who do n't profess to know all the answers and are thinking about their problems instead .,0.8175608861263632
answer.n.01,"If one asks about this play , what it is that comes upon this community and works within it with such terrible power , there is no better answer to give than `` spirit '' .",0.8533361132505983
answer.n.01,You need answers to four important questions .,0.7705493633183231
answer.n.01,When he gets the answers to his questions he will be discouraged .,0.7911741542487487
answer.n.01,"Now on the subjectivist view , this answer is ruled out .",0.83586351178788
answer.n.01,"To that question the answer is simple ; it can be made in two words , Utopian communism .",0.9011084516230132
answer.n.01,But it is an answer which opens the door wide to an onrush of objections and denials .,0.8661036605612951
answer.n.01,"Keep the chatter to a minimum , short answers , one word , if possible .",0.8074760410008407
answer.n.01,"The man shrank before the hot fury , searching frantically for the answer * * h Finnegan woke up .",0.6808439770558434
answer.n.01,`` What was your answer '' ?,0.8764751542153681
answer.n.01,`` That is the answer the ungodly will always make when the Church points its fingers at their sins .,0.8612711990373895
answer.n.01,But the only answer that reached him was the screeching of the porch rail from her leg moving against it .,0.8506850625646274
answer.n.01,"The answer is , `` Yes '' !",0.8748433457802806
answer.n.01,The continuation and expansion of the shooting development program will assure to some degree that national and community leaders will be made aware of the ever growing need for shooting facilities and activities for hunting and shooting in answer to public demand .,0.6009631277935658
answer.n.01,By 7 : 50 the answer was plain .,0.884984352656537
answer.n.01,"`` Oh , he 'll be a plumber '' , came the answer .",0.8149747754134341
answer.n.01,"The reader , observing this process , might ask `` why not be different '' ? and find in the answer a license to be a variant of the human species .",0.7862865080191231
answer.n.01,"His answers to the classification questionnaire reflected that he was a minister of Jehovah's Witnesses , employed at night by a sugar producer .",0.7976888921274736
answer.n.01,"In his answer thereto , he advised the Board that he had made no such statement in 1956 , and asserted that his only claim to `` pioneering '' was in 1952 .",0.8086601736177356
answer.n.01,"For he knows that the first and sometimes most difficult job is to know what the question is - that when it is accurately identified it sometimes answers itself , and that the way in which it is posed frequently shapes the answer .",0.8650445258701042
answer.n.01,"The interviewers were instructed not to suggest answers and , as much as possible , to record the parents ' actual words as they described the child 's behavior in home situations .",0.8366641779618826
answer.n.01,When the answer to what 's wrong now ?,0.823090257311418
answer.n.01,If the answer to what was that noise ?,0.8403343985039644
answer.n.01,If the answer to what was that noise ?,0.8403343985039644
answer.n.01,Each time he got the same answer and in the end he gave up .,0.9033488887917095
answer.n.01,"If he wondered whether the attackers would allow him to pull away unmolested , he had his answer a moment later .",0.7794569395017893
answer.n.03,The answer is of course yes .,0.8541478375421362
answer.n.03,"Receiving no answer , they set the fire .",0.7920720891347626
answer.n.03,"And in any case , answers may clarify but they do not change anything .",0.8337093741228468
answer.n.03,`` His answer '' ?,0.8709057614388239
answer.n.03,It was an answer that Styka understood .,0.8386863264607093
answer.n.03,He grunted a sort of `` yes '' answer .,0.8511603773458857
answer.n.03,"If he wanted to know anything , he would end up asking about it point-blank , but in this guileless manner he would probably receive more truthful answers than if he tried to get them by indirection .",0.8489942758647524
answer.n.03,I lived to see an envelope of hers in the morning mail and to lock myself in my room in the afternoon to reread her letter for the tenth time and finally prepare an answer .,0.8613682256495221
answer.n.03,Her answer was not in words .,0.8973667011000998
answer.n.03,There was a question and answer gag that went around at that time : Q. `` Who 'll carry the Forty-second and Forty-third wards '' ?,0.6882450417946134
answer.n.03,"Alexander said , `` Answer me properly , Spencer '' .",0.7225738581594202
