sense,sentence,centroid_cs
read.v.02,"`` If the day should ever come that foreign invaders swarm ashore along the Gulf Coast '' , the account reads , `` they can count on heavy opposition from a group of commando trained telephone employees - all girls .",0.8133943945521063
read.v.02,"But in his dressing room was a large bouquet and a card that read , `` We 're with you all the way '' .",0.7933850506741441
read.v.02,Then there was the caterer 's ad which read : `` Are you getting married or having an affair ?,0.8704738352384553
read.v.02,It read : `` Shot in the lumbar region '' .,0.8281911502484122
read.v.02,Another less ambiguous case read as follows : `` The bearer of this letter has served me for two years to his complete satisfaction .,0.8092584087242363
read.v.02,"Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled , That the Act of July 3 , 1952 ( 66 Stat. 328 ) as amended ( 42 U. S. C. 1952 - 1958 ) , is further amended to read as follows :",0.68384566390489
read.v.02,"Section 4 of the joint resolution of September 2 , 1958 ( 72 Stat. 1707 ; 42 U. S. C. 1958 ( d ) ) , is hereby amended to read :",0.7479377702892769
read.v.02,"It rested its decision solely on 7 , which reads in pertinent part : `` [ N ] o corporation engaged in commerce shall acquire , directly or indirectly , the whole or any part of the stock or other share capital of another corporation engaged also in commerce , where the effect of such acquisition may be to substantially lessen competition between the corporation whose stock is so acquired and the corporation making the acquisition , or to restrain such commerce in any section or community , or tend to create a monopoly of any line of commerce .",0.787599773475762
read.v.02,"After a short time , both George and Donald joined the class with me so they would n't feel lonely , and we used to hang a sign on the door of the Brush-off reading `` out to work '' .",0.7454700933393529
read.v.02,"The first of 16 beliefs of the denomination , now reads :",0.877120704941198
read.v.02,"For example , in the third chapter of Matthew , verses 13 - 16 , describing the baptism of Jesus , the 1611 version reads :",0.8154533383174484
read.v.02,"Certainly , the meaning is clearer to one who is not familiar with Biblical teachings , in the New English Bible which reads : `` Then Jesus arrived at Jordan from Galilee , and he came to John to be baptized by him .",0.8703633305464199
read.v.02,"To illustrate , the first blessing in the King James Bible reads : `` Blessed are the poor in spirit ; for their 's is the kingdom of heaven '' .",0.8700301774262369
read.v.02,Program note reads as follows :,0.775552374950498
read.v.02,"When directions read `` sl a marker on needle '' , put a small safety pin , paper clip , or commercial ring marker on needle .",0.7639446808615901
read.v.02,It reads :,0.8222049703171811
read.v.02,"When the Know-nothings get control , it will read , All men are created equal except negroes and foreigners and Catholics .",0.8025412735615611
read.v.03,"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday .",0.7836141925924057
read.v.03,"For those who `` like poetry but never get around to reading it '' , the Library of Congress makes it possible for poets to be heard reading their own work .",0.7985071232429921
read.v.03,"At the close of Davis ' speech the following preamble and resolutions were read by the president , and on the question of their adoption passed unanimously :",0.7902634701233703
read.v.03,"When he was in the war , he was in Law or Supplies or something like that , and an old buddy of his told me he would come down on Sundays to the Pentagon and read the citations for medals - just like the one we sent in for Trig - and go away with a real glow .",0.868403493111174
read.v.03,He was reading from the Talmud with a group of men from his congregation .,0.7918034619031334
read.v.03,"Naked girls danced in the chancel of the Abbey , the youngest and seemingly the most innocent being chosen to read a sermon filled with veiled depravities .",0.8341616010763148
read.v.03,"By odd coincidence , on the evening of her return Shelley chose to read Parisina , which was the latest of the titled poet 's successes .",0.8124051322728904
read.v.03,His chelas were required to assume the matsyendra posture dressed in hand-woven diapers while he read aloud from Rig-Veda and an assistant guru examined their purses in another room - nothing was stolen ; the purpose was less immediate .,0.8328464240287419
read.v.03,Each salesman was to read a sheet containing a description of the product .,0.8604639297541785
read.v.03,"Princess Moune , Prince Souvanna Phouma 's young daughter , read the Princes ' statement .",0.8413698023176158
read.v.03,"In opening , D. Arthur Connelly , assistant United States attorney , read the indictment , but made no comments .",0.8673459125522366
read.v.03,Some 30 spectators remained in the court during the day and were to hear the verdict read .,0.7406822946100795
read.v.03,"Kern began reading a lot about the history and philosophy of Communism , but never felt there was anything he , as an individual , could do about it .",0.773609700190802
read.v.03,"Less respect for the legal conventions was displayed by Castro 's right hand man , Che Guevara , who edified the Inter-American Economic and Social council meeting in Montevideo by reading two secret American documents purloined from the United States embassy at Caracas , Venezuela .",0.8384159310521108
read.v.01,"For those who `` like poetry but never get around to reading it '' , the Library of Congress makes it possible for poets to be heard reading their own work .",0.8313608138826019
read.v.01,Apparently he does not intend that those who read or view this play should think of the devil as being actually real .,0.8144135242025093
read.v.01,Undoubtedly you have read the case histories of some of his prize winning pupils ( every pupil has a physique title of some kind or other ) .,0.8062219848934444
read.v.01,About that time he began reading Mr. America and Muscle Builder and he learned of the famous Weider way to fast weight gaining .,0.8156931289433844
read.v.01,"Seeing so many illustrations and reading so many testimonials to the value of Quick-Wate and Super-Protein , those two wonder-working Weider food supplements , he decided to try them and see what they could do for him .",0.8176564217300872
read.v.01,"This meant , concretely , that the patient could not read at all without making writing like movements of the head or body , became easily confused by `` hasher marks '' inserted between hand-written words and thus confused the mark for one of the letters , and could recognize a simple straight line or a curved one only by tracing it .",0.7935857765984136
read.v.01,"It is doubtful that Utopia is still widely read because More was medieval or even because he was a martyr - indeed , it is likely that these days many who read Utopia with interest do not even know that its author was a martyr .",0.7312951073720693
read.v.01,"It is doubtful that Utopia is still widely read because More was medieval or even because he was a martyr - indeed , it is likely that these days many who read Utopia with interest do not even know that its author was a martyr .",0.7312951073720693
read.v.01,Utopia is still widely read because in a sense More stood on the margin of modernity .,0.7268457307712092
read.v.01,"Had More 's writings been wholly limited to such exercises , they would be almost as dimly remembered as those of a dozen or so other authors living in his time , whose works tenuously survive in the minds of the few hundred scholars who each decade in pursuit of their very specialized occasions read those works .",0.8143510774055821
read.v.01,"The chief , annoyed by these questions , knocks Voltaire down and shouts at him that he not only never went to any school , but never even learned how to read .",0.8034516721169034
read.v.01,Calmly he opened the Bible and read of the woman at the well .,0.7640637747438653
read.v.01,John 's thoughts raced painfully into the past as he read the letter he had just received from his sister Mary .,0.8048312485384793
read.v.01,Fritzie was on the couch reading ; Laura was sitting in an easy chair about eight feet away .,0.6543303178222356
read.v.01,"After she had served the detectives coffee and toast ( they politely declined eggs , uncomfortable about their tenancy ) , she settled down with a morning newspaper and began reading the stock market quotations .",0.8347881203486368
read.v.01,"No , they had n't seen anyone around ; no , they did n't know the Andrus family ; yes , they had read about the case ; yes , they had let some reporters use their phone , but they would no longer .",0.7561174725921586
read.v.01,"The titles he could read easily through the criss-crossed wires : works on theology , astral physics , history , biology , political science .",0.8580626256094824
read.v.01,"His lordship was concerned in the management of Drury Lane but , if there were no opportunities there , would he read and criticize her novel ?",0.8420732147163026
read.v.01,"Let him chafe with impatience to see Charles , rip open the note with trembling hands and read the formal report in Hillman 's beautiful , schoolmaster 's hand .",0.7900019779934655
read.v.01,"He had lived for almost thirty years in this same stone farmhouse with the same wife , a remarkably childish thing in itself ; he rose at half past six every morning , made himself some French coffee , had his corn flakes and more coffee , smoked four cigarettes while reading last Sunday 's Herald Tribune and yesterday 's Pittsburgh Gazette , then put on his high-topped farmer 's shoes and walked under a vine bower to his workshop .",0.7775479436962791
read.v.01,"Now she could let out the three parakeets without fear they would be stepped on or that Stowey would let them out one of the doors ; she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; improvise cha-chas on the harp ; and finally , the best part of all , simply sit at the plank table in the kitchen with a bottle of wine and the newspapers , reading the ads as well as the news , registering nothing on her mind but letting her soul suspend itself above all wishing and desire .",0.82682165096501
read.v.01,"Now she could let out the three parakeets without fear they would be stepped on or that Stowey would let them out one of the doors ; she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; improvise cha-chas on the harp ; and finally , the best part of all , simply sit at the plank table in the kitchen with a bottle of wine and the newspapers , reading the ads as well as the news , registering nothing on her mind but letting her soul suspend itself above all wishing and desire .",0.82682165096501
read.v.01,"In the kitchen , Leona , his little young wife , was reading the morning paper .",0.7012955649963206
read.v.01,"Then epistolatory me was a foreign correspondent dispatching exciting cables and communiques , full of dash and wit and glamor , quoting from the books I read , imitating the grand styles of the authors recommended by a teacher in whose special , after school class I was enrolled .",0.73470380475245
read.v.01,"The night after reading her letter about her surgeon uncle - it must have been late in September - I had a vision of myself returned in ragged uniform from The Front , nearly dying , my head bandaged and bloody , and Jessica bending over me , the power of her love bringing me back to life .",0.7671545208599156
read.v.01,"I made inquiries , I read a book of etiquette .",0.8039986727807281
read.v.01,"But he was looking forward to snow - seeing for himself that each tiny crystal of the water of life was a unique individual , as he had read - walking barefoot , rolling in it .",0.6520803927353942
read.v.01,He read Henry James and used to pretend profundity through eye-beamings at people .,0.8160992917810925
read.v.01,"The two older boys , Hans and Anders , his junior by a year , therefore went daily to the home of a warm and friendly wigmaker nearby for instruction in German ; his wife taught the two boys to read and write Danish .",0.7340655254903087
read.v.01,Whatever Hans or Anders learned separately they passed on to each other ; they read every book that they could borrow in the village .,0.8252103462378827
read.v.01,You read various guesses on how many Americans are camping .,0.8268805070814859
read.v.01,"The peace of the community was badly disturbed , and people across the nation , reading of the incident , felt uneasy .",0.612461998301794
read.v.01,It is they who read - and make - Jewish best-sellers and then persuade their husbands to read them .,0.8615174213689564
read.v.01,It is they who read - and make - Jewish best-sellers and then persuade their husbands to read them .,0.8615174213689564
read.v.01,"At four o ' clock , or four thirty , the coming of the newsboy marked the end of the day ; he tossed a paper toward every front door , and housewives came down to their steps to pick them up and read what their neighbors had been doing .",0.7676567749484947
