sense,sentence,centroid_cs
paint.v.01,"Out of this background of hunting and fishing , it was only natural that Roy first painted subjects he knew best : hunters in the field , fishermen in the stream , ducks and geese on the wing - almost always against a vast backdrop of weather landscape .",0.8923517954160244
paint.v.01,"In the best tradition , he first taught himself to see , then to draw with accuracy and assurance , and then to paint .",0.9002140328719312
paint.v.01,"It has been my privilege to paint with Roy Mason on numerous occasions , mostly in the vicinity of Batavia .",0.9050312066465614
paint.v.01,"`` Speed in painting a picture is valid only when it imparts spontaneity and crispness , but unless the artist has lots of experience so that he can control rapid execution , he would do well to take these first sketches and soberly reorder their design to achieve a unified composition .",0.8357806038844989
paint.v.01,"From this point , I paint in as direct a manner as possible , by flowing on the washes with as pure a color mixture as I can manage .",0.9003090729763529
paint.v.01,"When painting , Mason 's physical eyes are half closed , while his mind's eye is wide open , and this circumstance accounts in part for the impression he wishes to convey .",0.9021660932997612
paint.v.01,"We all painted in our spare time , and we had all started as easel painters with scholarships , but he was the only one of us who made any regular money at it .",0.8953308369562678
paint.v.01,We used to kid him by saying he only painted that way because he was so nearsighted .,0.8448816410449441
paint.v.01,I wanted to paint again .,0.8966835072180483
paint.v.01,"I kept saying , `` If I could just build up a reputation for myself , make some real money , get to be well known as an illustrator - like Peter Askington , for instance - then I could take some time off and paint '' .",0.8870866145862246
paint.v.01,"Still painting , still a kind of modern impressionist , beautiful canvases of mountains and farms .",0.8593952469383602
paint.v.01,"They sit alone in their rooms and try to paint , and only succeed in isolating themselves still farther from life .",0.9144455049904231
paint.v.01,But most learn to color and paint as and when they are ready with only a very little demonstration .,0.9249700313908472
paint.v.01,"But he painted some of the boldest and most original pictures of his time , and even after nearly half a century , the tense , tormented world he put on canvas has lost none of its fascination .",0.823344131300998
paint.v.01,He himself was once convicted of painting erotica and jailed for 24 days - the first three of which he spent desperately trying to make paintings on the wall with his own spittle .,0.8242445466340524
paint.v.01,"Drafted into the Austrian army , he rebelliously rejected discipline , wangled a Vienna billet , went on painting .",0.8390117276686789
paint.v.03,"In certain other pictures , however , Braque began to paint areas in exact simulation of wood graining or marbleizing .",0.9083109759282
paint.v.03,"`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non time '' .",0.8374455630204504
paint.v.03,It is his relentlessness and unwavering adherence to this revolutionary artistic philosophy that has enabled him to paint such pictures as `` The Invasion of Cuba '' .,0.8980170189159835
paint.v.03,"During all this time Roy continued to paint , first only on weekends , and then , as the family business permitted , for longer periods .",0.8537230366286027
paint.v.03,"In the end , I did the same old picture , the naked girl and the guy in the doorway , only I put a Lord Byron shirt on the guy , gave him a sword instead of a pistol , and painted in furniture from the stills of a costume movie .",0.7475522038172792
paint.v.03,Life had included him in its `` Modern American Artists '' series and had photographed him at his studio in the East Sixties ; the corner of it you could see in the photograph looked as though it ought to have Velasquez in it painting the royalty of Spain .,0.7960332798729796
paint.v.03,"One of these days , I 'm going to organize a gigantic exhibition that will span everything that 's being painted these days , from extreme abstract expressionism to extreme photorealism , and then you 'll be able to see at a glance how much artists have in common with each other .",0.8390886435051669
paint.v.03,"The children he painted were almost always in rags , his portraits were often ruthless to the point of ugliness , and his nudes - including several self-portraits - were stringy , contorted and strangely pathetic .",0.8537003156551434
paint.v.03,"The subject he liked most was the female body , which he painted in every state - naked , half-dressed , muffled to the ears , sitting primly in a chair , lying tauntingly on a bed or locked in an embrace .",0.9061752874559915
paint.v.03,"From early family portraits , painted before he entered the schools of the Pennsylvania Academy of the Fine Arts , the chronology extends to a group of paintings executed in his last year ( 1951 ) and still part of his estate .",0.7971404970550136
paint.v.03,Few who have painted the scenes around them have done so with so little bitterness .,0.9141967196386744
paint.v.02,"In their very first collages , Braque and Picasso draw or paint over and on the affixed paper or cloth , so that certain of the principal features of their subjects as depicted seem to thrust out into real , bas-relief space - or to be about to do so - while the rest of the subject remains imbedded in , or flat upon , the surface .",0.8006490380907427
paint.v.02,"The area adjacent to one edge of a piece of affixed material - or simply of a painted in form - will be shaded to pry that edge away from the surface , while something will be drawn , painted or even pasted over another part of the same shape to drive it back into depth .",0.7757930265923333
paint.v.02,"On the other side of the church was a quiet , well-kept house with shutters and recently painted .",0.7942566996756186
paint.v.02,"I asked Quasimodo recently how he accomplished this , and he replied that he had painted his model `` a beautiful shade of red and then had her breathe on the canvas '' , which was his typical tongue-in-cheek way of chiding me for my lack of sensitivity .",0.849022787184367
paint.v.02,You used them that time you painted the porch at our other house .,0.8755419211725884
paint.v.02,"You used to paint in them , and then you just took them for rags .",0.8586659349044771
paint.v.02,It will be painted to match the paneling in the room .,0.8673216317170438
paint.v.02,Paint continuous lane stripes and install overhead directional lights as on our bridges .,0.7848173684857648
paint.v.02,"With all deck battens in place , the bilge is cleaned and painted up to the floor line .",0.8510904021661562
paint.v.02,Bottoms of the floorboards are also painted and the flooring is then screwed in place .,0.8384448270003104
paint.v.02,"It was all set up so there would be no dust anywhere and so that their children would color in the coloring room , paint in the painting room , play with blocks in the block house , and do all the other things in the proper rooms at exactly the right time .",0.823735559881556
paint.v.02,"I made plans for the afternoon - doing the breakfast and luncheon dishes all at once , making the beds , and then maybe painting the kitchen .",0.8249437980963465
